,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,0.39166666666666666,0.0,2.049999999999983,2.316666666666667,0.0,8.049999999999983,1.0708333333333333,0.0,5.0,13.629166666666666,2.0,31.0,1.0708333333333333,0.0,5.0
1,2,0.39166666666666666,0.0,2.049999999999983,2.316666666666667,0.0,8.049999999999983,1.0708333333333333,0.0,5.0,13.629166666666666,2.0,31.0,1.0708333333333333,0.0,5.0
2,3,0.32916666666666666,0.0,2.0,2.129166666666667,0.0,8.0,0.95,0.0,4.049999999999983,12.595833333333333,1.0,27.0,0.95,0.0,4.049999999999983
3,4,0.32916666666666666,0.0,2.0,2.129166666666667,0.0,8.0,0.95,0.0,4.049999999999983,12.595833333333333,1.0,27.0,0.95,0.0,4.049999999999983
4,5,0.225,0.0,1.0,1.7916666666666667,0.0,7.0,0.6791666666666667,0.0,4.0,11.829166666666667,1.0,27.0,0.6791666666666667,0.0,4.0
5,6,0.17916666666666667,0.0,1.0,1.45,0.0,6.049999999999983,0.49166666666666664,0.0,3.0,10.65,0.9500000000000011,24.0,0.49166666666666664,0.0,3.0
6,7,0.1875,0.0,1.049999999999983,1.3791666666666667,0.0,6.049999999999983,0.4791666666666667,0.0,3.0,9.775,0.9500000000000011,23.0,0.4791666666666667,0.0,3.0
7,8,0.1875,0.0,1.049999999999983,1.3791666666666667,0.0,6.049999999999983,0.4791666666666667,0.0,3.0,9.775,0.9500000000000011,23.0,0.4791666666666667,0.0,3.0
8,9,0.12916666666666668,0.0,1.0,1.1708333333333334,0.0,5.0,0.44583333333333336,0.0,3.0,9.829166666666667,1.0,24.0,0.44583333333333336,0.0,3.0
9,10,0.18333333333333332,0.0,1.049999999999983,1.3625,0.0,5.0,0.42083333333333334,0.0,2.049999999999983,10.7625,1.0,26.0,0.42083333333333334,0.0,2.049999999999983
10,11,0.18333333333333332,0.0,1.049999999999983,1.3625,0.0,5.0,0.42083333333333334,0.0,2.049999999999983,10.7625,1.0,26.0,0.42083333333333334,0.0,2.049999999999983
11,12,0.07083333333333333,0.0,1.0,1.4666666666666666,0.0,6.0,0.45,0.0,3.0,12.054166666666667,1.0,28.0,0.45,0.0,3.0
12,13,0.19583333333333333,0.0,1.0,1.9958333333333333,0.0,8.0,0.8958333333333334,0.0,4.0,13.154166666666667,1.0,31.0,0.8958333333333334,0.0,4.0
13,14,0.2708333333333333,0.0,2.0,2.4375,0.0,8.049999999999983,1.0875,0.0,4.049999999999983,14.2,2.0,31.099999999999966,1.0875,0.0,4.049999999999983
14,15,0.2708333333333333,0.0,2.0,2.4375,0.0,8.049999999999983,1.0875,0.0,4.049999999999983,14.2,2.0,31.099999999999966,1.0875,0.0,4.049999999999983
15,16,0.24583333333333332,0.0,2.0,2.341666666666667,0.0,9.049999999999983,0.9583333333333334,0.0,4.049999999999983,14.275,1.950000000000001,32.04999999999998,0.9583333333333334,0.0,4.049999999999983
16,17,0.30833333333333335,0.0,2.0,2.6375,0.0,10.049999999999983,1.075,0.0,5.0,15.070833333333333,2.0,34.04999999999998,1.075,0.0,5.0
17,18,0.30833333333333335,0.0,2.0,2.6375,0.0,10.049999999999983,1.075,0.0,5.0,15.070833333333333,2.0,34.04999999999998,1.075,0.0,5.0
18,19,0.4,0.0,2.0,2.8916666666666666,0.0,11.0,1.3541666666666667,0.0,6.0,15.316666666666666,2.0,34.04999999999998,1.3541666666666667,0.0,6.0
19,20,0.5583333333333333,0.0,3.0,3.2,0.0,11.0,1.7416666666666667,0.0,7.0,15.845833333333333,2.950000000000001,35.0,1.7416666666666667,0.0,7.0
20,21,0.725,0.0,4.0,3.341666666666667,0.0,11.049999999999983,2.033333333333333,0.0,8.0,16.041666666666668,3.0,34.14999999999995,2.033333333333333,0.0,8.0
21,22,0.725,0.0,4.0,3.341666666666667,0.0,11.049999999999983,2.033333333333333,0.0,8.0,16.041666666666668,3.0,34.14999999999995,2.033333333333333,0.0,8.0
22,23,0.6458333333333334,0.0,3.0,3.408333333333333,0.0,11.0,2.0375,0.0,8.0,17.120833333333334,3.0,37.04999999999998,2.0375,0.0,8.0
23,24,0.43333333333333335,0.0,3.0,2.4791666666666665,0.0,10.0,1.3916666666666666,0.0,6.049999999999983,13.070833333333333,1.0,32.0,1.3916666666666666,0.0,6.049999999999983
24,25,0.3875,0.0,2.049999999999983,2.408333333333333,0.0,8.099999999999966,1.4125,0.0,6.049999999999983,12.491666666666667,1.0,31.099999999999966,1.4125,0.0,6.049999999999983
25,26,0.3875,0.0,2.049999999999983,2.408333333333333,0.0,8.099999999999966,1.4125,0.0,6.049999999999983,12.491666666666667,1.0,31.099999999999966,1.4125,0.0,6.049999999999983
26,27,0.20833333333333334,0.0,2.0,1.5666666666666667,0.0,6.0,0.9291666666666667,0.0,4.0,8.375,0.0,22.049999999999983,0.9291666666666667,0.0,4.0
27,28,0.1625,0.0,1.0,1.3125,0.0,6.0,0.6666666666666666,0.0,3.049999999999983,7.408333333333333,0.0,20.0,0.6666666666666666,0.0,3.049999999999983
28,29,0.1625,0.0,1.0,1.3125,0.0,6.0,0.6666666666666666,0.0,3.049999999999983,7.408333333333333,0.0,20.0,0.6666666666666666,0.0,3.049999999999983
29,30,0.45416666666666666,0.0,3.0,2.175,0.0,9.0,1.1291666666666667,0.0,4.049999999999983,11.320833333333333,0.9500000000000011,28.049999999999983,1.1291666666666667,0.0,4.049999999999983
30,31,0.8625,0.0,4.0,3.7416666666666667,0.0,13.0,2.125,0.0,7.049999999999983,17.5375,3.0,38.04999999999998,2.125,0.0,7.049999999999983
31,32,0.9333333333333333,0.0,4.0,4.354166666666667,0.0,14.0,2.4458333333333333,0.0,9.0,19.879166666666666,3.0,42.0,2.4458333333333333,0.0,9.0
32,33,0.9333333333333333,0.0,4.0,4.354166666666667,0.0,14.0,2.4458333333333333,0.0,9.0,19.879166666666666,3.0,42.0,2.4458333333333333,0.0,9.0
33,34,0.9458333333333333,0.0,4.0,4.175,0.0,14.0,2.4,0.0,9.0,19.870833333333334,3.0,42.0,2.4,0.0,9.0
34,35,0.8583333333333333,0.0,4.0,3.941666666666667,0.0,14.0,2.216666666666667,0.0,9.0,19.804166666666667,3.0,43.0,2.216666666666667,0.0,9.0
35,36,0.8583333333333333,0.0,4.0,3.941666666666667,0.0,14.0,2.216666666666667,0.0,9.0,19.804166666666667,3.0,43.0,2.216666666666667,0.0,9.0
36,37,0.5416666666666666,0.0,3.0,2.9458333333333333,0.0,11.049999999999983,1.8208333333333333,0.0,7.049999999999983,15.670833333333333,1.0,35.04999999999998,1.8208333333333333,0.0,7.049999999999983
37,38,0.2708333333333333,0.0,2.0,1.7458333333333333,0.0,6.049999999999983,0.7416666666666667,0.0,3.0,11.108333333333333,1.0,26.0,0.7416666666666667,0.0,3.0
38,39,0.2708333333333333,0.0,2.0,1.7458333333333333,0.0,6.049999999999983,0.7416666666666667,0.0,3.0,11.108333333333333,1.0,26.0,0.7416666666666667,0.0,3.0
39,40,0.25416666666666665,0.0,2.0,1.9708333333333334,0.0,6.049999999999983,0.7041666666666667,0.0,3.049999999999983,11.954166666666667,1.0,26.0,0.7041666666666667,0.0,3.049999999999983
40,41,0.25416666666666665,0.0,2.0,1.9708333333333334,0.0,6.049999999999983,0.7041666666666667,0.0,3.049999999999983,11.954166666666667,1.0,26.0,0.7041666666666667,0.0,3.049999999999983
41,42,0.25416666666666665,0.0,2.0,1.6291666666666667,0.0,7.0,0.6458333333333334,0.0,3.0,11.129166666666666,1.0,24.049999999999983,0.6458333333333334,0.0,3.0
42,43,0.1625,0.0,1.0,1.3708333333333333,0.0,6.0,0.4875,0.0,3.0,10.216666666666667,0.0,23.049999999999983,0.4875,0.0,3.0
43,44,0.17916666666666667,0.0,1.0,1.2541666666666667,0.0,5.049999999999983,0.4666666666666667,0.0,3.0,9.533333333333333,0.0,23.0,0.4666666666666667,0.0,3.0
44,45,0.17916666666666667,0.0,1.0,1.2541666666666667,0.0,5.049999999999983,0.4666666666666667,0.0,3.0,9.533333333333333,0.0,23.0,0.4666666666666667,0.0,3.0
45,46,0.2708333333333333,0.0,2.0,1.5791666666666666,0.0,7.0,0.7083333333333334,0.0,4.0,10.495833333333334,1.0,25.0,0.7083333333333334,0.0,4.0
46,47,0.2,0.0,1.049999999999983,1.5416666666666667,0.0,6.049999999999983,0.5875,0.0,3.0,11.879166666666666,1.0,27.0,0.5875,0.0,3.0
47,48,0.2,0.0,1.049999999999983,1.5416666666666667,0.0,6.049999999999983,0.5875,0.0,3.0,11.879166666666666,1.0,27.0,0.5875,0.0,3.0
48,49,0.25416666666666665,0.0,2.0,2.058333333333333,0.0,8.0,0.9333333333333333,0.0,4.0,13.345833333333333,1.0,30.0,0.9333333333333333,0.0,4.0
49,50,0.19583333333333333,0.0,1.0,1.9958333333333333,0.0,8.0,0.8958333333333334,0.0,4.0,13.154166666666667,1.0,31.0,0.8958333333333334,0.0,4.0
50,51,0.2708333333333333,0.0,2.0,2.4375,0.0,8.049999999999983,1.0875,0.0,4.049999999999983,14.2,2.0,31.099999999999966,1.0875,0.0,4.049999999999983
51,52,0.2708333333333333,0.0,2.0,2.4375,0.0,8.049999999999983,1.0875,0.0,4.049999999999983,14.2,2.0,31.099999999999966,1.0875,0.0,4.049999999999983
52,53,0.24583333333333332,0.0,2.0,2.341666666666667,0.0,9.049999999999983,0.9583333333333334,0.0,4.049999999999983,14.275,1.950000000000001,32.04999999999998,0.9583333333333334,0.0,4.049999999999983
53,54,0.30833333333333335,0.0,2.0,2.6375,0.0,10.049999999999983,1.075,0.0,5.0,15.070833333333333,2.0,34.04999999999998,1.075,0.0,5.0
54,55,0.30833333333333335,0.0,2.0,2.6375,0.0,10.049999999999983,1.075,0.0,5.0,15.070833333333333,2.0,34.04999999999998,1.075,0.0,5.0
55,56,0.4,0.0,2.0,2.8916666666666666,0.0,11.0,1.3541666666666667,0.0,6.0,15.316666666666666,2.0,34.04999999999998,1.3541666666666667,0.0,6.0
56,57,0.5583333333333333,0.0,3.0,3.2,0.0,11.0,1.7416666666666667,0.0,7.0,15.845833333333333,2.950000000000001,35.0,1.7416666666666667,0.0,7.0
57,58,0.725,0.0,4.0,3.341666666666667,0.0,11.049999999999983,2.033333333333333,0.0,8.0,16.041666666666668,3.0,34.14999999999995,2.033333333333333,0.0,8.0
58,59,0.725,0.0,4.0,3.341666666666667,0.0,11.049999999999983,2.033333333333333,0.0,8.0,16.041666666666668,3.0,34.14999999999995,2.033333333333333,0.0,8.0
59,60,0.6458333333333334,0.0,3.0,3.408333333333333,0.0,11.0,2.0375,0.0,8.0,17.120833333333334,3.0,37.04999999999998,2.0375,0.0,8.0
60,61,0.43333333333333335,0.0,3.0,2.4791666666666665,0.0,10.0,1.3916666666666666,0.0,6.049999999999983,13.070833333333333,1.0,32.0,1.3916666666666666,0.0,6.049999999999983
61,62,0.3875,0.0,2.049999999999983,2.408333333333333,0.0,8.099999999999966,1.4125,0.0,6.049999999999983,12.491666666666667,1.0,31.099999999999966,1.4125,0.0,6.049999999999983
62,63,0.3875,0.0,2.049999999999983,2.408333333333333,0.0,8.099999999999966,1.4125,0.0,6.049999999999983,12.491666666666667,1.0,31.099999999999966,1.4125,0.0,6.049999999999983
63,64,0.20833333333333334,0.0,2.0,1.5666666666666667,0.0,6.0,0.9291666666666667,0.0,4.0,8.375,0.0,22.049999999999983,0.9291666666666667,0.0,4.0
64,65,0.1625,0.0,1.0,1.3125,0.0,6.0,0.6666666666666666,0.0,3.049999999999983,7.408333333333333,0.0,20.0,0.6666666666666666,0.0,3.049999999999983
65,66,0.1625,0.0,1.0,1.3125,0.0,6.0,0.6666666666666666,0.0,3.049999999999983,7.408333333333333,0.0,20.0,0.6666666666666666,0.0,3.049999999999983
66,67,0.7791666666666667,0.0,4.0,3.5458333333333334,0.0,12.0,2.0458333333333334,0.0,8.0,16.654166666666665,2.0,37.0,2.0458333333333334,0.0,8.0
67,68,1.1708333333333334,0.0,5.0,4.720833333333333,0.0,15.049999999999983,2.808333333333333,0.0,9.049999999999983,20.4125,4.0,42.04999999999998,2.808333333333333,0.0,9.049999999999983
68,69,1.2708333333333333,0.0,5.0,4.95,0.0,15.049999999999983,3.0125,0.0,9.049999999999983,21.604166666666668,4.0,44.0,3.0125,0.0,9.049999999999983
69,70,1.2708333333333333,0.0,5.0,4.95,0.0,15.049999999999983,3.0125,0.0,9.049999999999983,21.604166666666668,4.0,44.0,3.0125,0.0,9.049999999999983
70,71,1.3291666666666666,0.0,5.049999999999983,5.291666666666667,0.0,16.0,2.933333333333333,0.0,11.0,23.15,5.0,45.0,2.933333333333333,0.0,11.0
71,72,0.9708333333333333,0.0,4.049999999999983,4.583333333333333,0.0,14.049999999999983,2.575,0.0,9.049999999999983,22.245833333333334,4.0,45.04999999999998,2.575,0.0,9.049999999999983
72,73,0.9708333333333333,0.0,4.049999999999983,4.583333333333333,0.0,14.049999999999983,2.575,0.0,9.049999999999983,22.245833333333334,4.0,45.04999999999998,2.575,0.0,9.049999999999983
73,74,0.6208333333333333,0.0,3.0,3.345833333333333,0.0,12.0,2.1458333333333335,0.0,8.0,17.8625,2.0,40.0,2.1458333333333335,0.0,8.0
74,75,0.20833333333333334,0.0,1.0,1.175,0.0,5.0,0.5166666666666667,0.0,3.0,9.15,0.0,21.049999999999983,0.5166666666666667,0.0,3.0
75,76,0.20833333333333334,0.0,1.0,1.175,0.0,5.0,0.5166666666666667,0.0,3.0,9.15,0.0,21.049999999999983,0.5166666666666667,0.0,3.0
76,77,0.21666666666666667,0.0,1.049999999999983,1.3208333333333333,0.0,5.0,0.45416666666666666,0.0,3.0,9.795833333333333,1.0,23.0,0.45416666666666666,0.0,3.0
77,78,0.21666666666666667,0.0,1.049999999999983,1.3208333333333333,0.0,5.0,0.45416666666666666,0.0,3.0,9.795833333333333,1.0,23.0,0.45416666666666666,0.0,3.0
78,79,0.2375,0.0,2.0,1.4,0.0,5.049999999999983,0.44166666666666665,0.0,3.0,9.8,1.0,22.049999999999983,0.44166666666666665,0.0,3.0
79,80,0.15416666666666667,0.0,1.0,1.3583333333333334,0.0,6.0,0.42083333333333334,0.0,2.0,9.945833333333333,0.9500000000000011,23.0,0.42083333333333334,0.0,2.0
80,81,0.17916666666666667,0.0,1.0,1.2541666666666667,0.0,5.049999999999983,0.4666666666666667,0.0,3.0,9.533333333333333,0.0,23.0,0.4666666666666667,0.0,3.0
81,82,0.17916666666666667,0.0,1.0,1.2541666666666667,0.0,5.049999999999983,0.4666666666666667,0.0,3.0,9.533333333333333,0.0,23.0,0.4666666666666667,0.0,3.0
82,83,0.2708333333333333,0.0,2.0,1.5791666666666666,0.0,7.0,0.7083333333333334,0.0,4.0,10.495833333333334,1.0,25.0,0.7083333333333334,0.0,4.0
83,84,0.2,0.0,1.049999999999983,1.5416666666666667,0.0,6.049999999999983,0.5875,0.0,3.0,11.879166666666666,1.0,27.0,0.5875,0.0,3.0
84,85,0.2,0.0,1.049999999999983,1.5416666666666667,0.0,6.049999999999983,0.5875,0.0,3.0,11.879166666666666,1.0,27.0,0.5875,0.0,3.0
