,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,2578.843913777669,2218.5209838867186,2983.4652221679685,2342.2681381225584,2029.7578979492187,2679.0350952148438,2163.339329528809,1778.0100646972655,2557.025537109375,2342.2681381225584,2029.7578979492187,2679.0350952148438,1551.6590301513672,1216.44384765625,1901.0846618652342
1,2,2578.843913777669,2218.5209838867186,2983.4652221679685,2342.2681381225584,2029.7578979492187,2679.0350952148438,2163.339329528809,1778.0100646972655,2557.025537109375,2342.2681381225584,2029.7578979492187,2679.0350952148438,1551.6590301513672,1216.44384765625,1901.0846618652342
2,3,2627.080475870768,2266.69853515625,3031.258166503906,2386.505602010091,2073.2678100585936,2730.9982055664063,2206.619766743978,1820.5847045898438,2601.2442260742187,2386.505602010091,2073.2678100585936,2730.9982055664063,1585.1151214599608,1250.84228515625,1935.574444580078
3,4,2627.080475870768,2266.69853515625,3031.258166503906,2386.505602010091,2073.2678100585936,2730.9982055664063,2206.619766743978,1820.5847045898438,2601.2442260742187,2386.505602010091,2073.2678100585936,2730.9982055664063,1585.1151214599608,1250.84228515625,1935.574444580078
4,5,2715.5315419514973,2353.574108886719,3129.3201660156246,2470.260720825195,2152.172082519531,2814.5751342773438,2285.665345255534,1893.8680725097656,2687.327038574219,2470.260720825195,2152.172082519531,2814.5751342773438,1651.2222407023112,1315.567626953125,2014.277099609375
5,6,2870.3599639892577,2491.3134521484376,3318.9248168945314,2619.7257517496746,2283.096240234375,2977.0546875,2424.834498087565,2003.0332153320312,2840.61552734375,2619.7257517496746,2283.096240234375,2977.0546875,1767.8309127807618,1409.7744140625,2161.6806640625
6,7,3004.8871724446612,2604.5323120117187,3480.86650390625,2751.3685638427733,2388.259619140625,3146.1032958984374,2550.732162475586,2107.8988037109375,3010.966125488281,2751.3685638427733,2388.259619140625,3146.1032958984374,1874.047338358561,1486.94677734375,2295.994140625
7,8,3004.8871724446612,2604.5323120117187,3480.86650390625,2751.3685638427733,2388.259619140625,3146.1032958984374,2550.732162475586,2107.8988037109375,3010.966125488281,2751.3685638427733,2388.259619140625,3146.1032958984374,1874.047338358561,1486.94677734375,2295.994140625
8,9,3053.408447265625,2646.29580078125,3530.806713867187,2798.4882436116536,2427.3946899414063,3204.021057128906,2594.100488789876,2148.373986816406,3064.968505859375,2798.4882436116536,2427.3946899414063,3204.021057128906,1911.6440424601237,1517.2352294921875,2338.702844238281
9,10,2959.0868530273438,2565.4651733398437,3404.1683471679685,2705.3026580810547,2354.5570434570313,3086.4228393554686,2503.850076293945,2086.7888427734374,2930.6212890624997,2705.3026580810547,2354.5570434570313,3086.4228393554686,1833.0635279337564,1462.8490844726562,2238.129638671875
10,11,2959.0868530273438,2565.4651733398437,3404.1683471679685,2705.3026580810547,2354.5570434570313,3086.4228393554686,2503.850076293945,2086.7888427734374,2930.6212890624997,2705.3026580810547,2354.5570434570313,3086.4228393554686,1833.0635279337564,1462.8490844726562,2238.129638671875
11,12,2878.7249928792316,2489.320751953125,3308.5677856445313,2626.883819580078,2290.1692504882812,2996.606481933594,2427.3234166463217,2026.6261352539063,2835.0312011718747,2626.883819580078,2290.1692504882812,2996.606481933594,1768.8719904581706,1419.68720703125,2149.786376953125
12,13,2841.7708129882812,2454.4670288085936,3270.153515625,2589.759138997396,2252.536975097656,2952.2573608398434,2393.7452677408855,1996.180926513672,2797.9718261718745,2589.759138997396,2252.536975097656,2952.2573608398434,1740.286040242513,1398.7096740722657,2114.774658203125
13,14,2810.4465932210287,2429.3818115234376,3232.8412231445313,2556.9667154947915,2220.46171875,2915.5854858398434,2365.2556594848634,1970.7484375000001,2765.243225097656,2556.9667154947915,2220.46171875,2915.5854858398434,1716.5251363118489,1379.8382995605468,2090.5247436523437
14,15,2810.4465932210287,2429.3818115234376,3232.8412231445313,2556.9667154947915,2220.46171875,2915.5854858398434,2365.2556594848634,1970.7484375000001,2765.243225097656,2556.9667154947915,2220.46171875,2915.5854858398434,1716.5251363118489,1379.8382995605468,2090.5247436523437
15,16,2844.348455810547,2462.219104003906,3273.251745605469,2586.2362559000653,2245.7385009765626,2951.081591796875,2396.14190419515,1998.3990478515625,2801.428857421875,2586.2362559000653,2245.7385009765626,2951.081591796875,1740.9608439127603,1400.7869445800782,2118.8972900390627
16,17,2812.1408548990885,2436.231066894531,3238.527294921875,2555.4326365152997,2225.979943847656,2915.537365722656,2368.58368174235,1970.5142700195313,2772.8353393554685,2555.4326365152997,2225.979943847656,2915.537365722656,1718.0054372151692,1383.3384216308593,2091.5444580078124
17,18,2812.1408548990885,2436.231066894531,3238.527294921875,2555.4326365152997,2225.979943847656,2915.537365722656,2368.58368174235,1970.5142700195313,2772.8353393554685,2555.4326365152997,2225.979943847656,2915.537365722656,1718.0054372151692,1383.3384216308593,2091.5444580078124
18,19,2828.412330118815,2456.049353027344,3257.372607421875,2573.172457885742,2246.077746582031,2934.9584228515623,2383.8854080200194,1987.8356140136718,2787.2801879882813,2573.172457885742,2246.077746582031,2934.9584228515623,1730.2835830688477,1394.0581176757812,2099.3500488281247
19,20,2847.732776896159,2468.4035888671874,3267.4681640625,2591.250616455078,2258.757678222656,2954.516882324219,2401.386883036296,2004.3768676757813,2805.8283569335936,2591.250616455078,2258.757678222656,2954.516882324219,1746.0178721110026,1403.5791748046875,2121.562890625
20,21,2843.2560811360677,2461.9827270507812,3264.467248535156,2587.8215454101564,2255.7894653320313,2949.6633056640626,2395.522679138184,2002.0035766601563,2807.594689941406,2587.8215454101564,2255.7894653320313,2949.6633056640626,1739.6723993937173,1396.811590576172,2115.369458007812
21,22,2843.2560811360677,2461.9827270507812,3264.467248535156,2587.8215454101564,2255.7894653320313,2949.6633056640626,2395.522679138184,2002.0035766601563,2807.594689941406,2587.8215454101564,2255.7894653320313,2949.6633056640626,1739.6723993937173,1396.811590576172,2115.369458007812
22,23,2830.831746419271,2449.280798339844,3254.5630493164062,2578.9805694580077,2255.1194458007812,2933.8258178710935,2385.233386739095,2003.625732421875,2799.219970703125,2578.9805694580077,2255.1194458007812,2933.8258178710935,1731.727421061198,1391.3786743164062,2111.32080078125
23,24,3000.531658935547,2601.4468627929687,3434.3401733398437,2757.4600392659504,2425.3308715820312,3129.69931640625,2532.8464538574217,2141.788916015625,2965.1482543945312,2757.4600392659504,2425.3308715820312,3129.69931640625,1852.4369486490884,1498.121649169922,2242.453857421875
24,25,3022.95446879069,2622.9009765625,3463.882373046875,2751.7078114827473,2428.6406127929686,3111.265393066406,2553.271617635091,2159.5690185546873,2983.8534423828123,2751.7078114827473,2428.6406127929686,3111.265393066406,1861.761669921875,1505.433154296875,2249.491455078125
25,26,3022.95446879069,2622.9009765625,3463.882373046875,2751.7078114827473,2428.6406127929686,3111.265393066406,2553.271617635091,2159.5690185546873,2983.8534423828123,2751.7078114827473,2428.6406127929686,3111.265393066406,1861.761669921875,1505.433154296875,2249.491455078125
26,27,3266.136405436198,2862.719921875,3706.785168457031,2954.08107808431,2606.695446777344,3327.047192382812,2773.8017384847003,2351.0548828125,3225.780627441406,2954.08107808431,2606.695446777344,3327.047192382812,2039.4155817667643,1659.199444580078,2454.89599609375
27,28,3357.9752197265625,2944.178088378906,3811.334729003906,3048.5244211832683,2691.565771484375,3417.378881835937,2861.3381744384765,2425.854833984375,3329.963415527344,3048.5244211832683,2691.565771484375,3417.378881835937,2110.962569173177,1720.4274291992188,2539.380126953125
28,29,3357.9752197265625,2944.178088378906,3811.334729003906,3048.5244211832683,2691.565771484375,3417.378881835937,2861.3381744384765,2425.854833984375,3329.963415527344,3048.5244211832683,2691.565771484375,3417.378881835937,2110.962569173177,1720.4274291992188,2539.380126953125
29,30,3112.074549357096,2713.81455078125,3548.5789916992185,2853.613134765625,2498.3866943359376,3215.3108520507812,2640.2449584960937,2222.05654296875,3098.91015625,2853.613134765625,2498.3866943359376,3215.3108520507812,1926.2014038085938,1548.364483642578,2329.621057128906
30,31,2943.7414866129557,2560.492541503906,3371.871691894531,2697.894152832031,2345.1491821289064,3056.7083496093746,2488.5522654215497,2091.2646240234376,2955.4957641601563,2697.894152832031,2345.1491821289064,3056.7083496093746,1802.3725748697916,1430.312274169922,2185.1513061523433
31,32,2914.4124287923178,2533.4900024414064,3355.5517456054686,2666.4144653320313,2311.2235595703123,3029.887561035156,2463.024120585124,2061.941015625,2929.522497558594,2666.4144653320313,2311.2235595703123,3029.887561035156,1781.4670511881511,1399.3807189941406,2168.7113769531247
32,33,2914.4124287923178,2533.4900024414064,3355.5517456054686,2666.4144653320313,2311.2235595703123,3029.887561035156,2463.024120585124,2061.941015625,2929.522497558594,2666.4144653320313,2311.2235595703123,3029.887561035156,1781.4670511881511,1399.3807189941406,2168.7113769531247
33,34,2918.4966542561847,2529.19326171875,3366.4282714843744,2671.223928833008,2310.4924438476564,3046.793420410156,2465.1223714192706,2055.2975952148436,2942.537390136719,2671.223928833008,2310.4924438476564,3046.793420410156,1780.4946919759116,1393.0499267578125,2171.779052734375
34,35,2926.862240600586,2535.846716308594,3377.6049926757805,2673.2757110595703,2325.3953491210937,3043.5797119140625,2470.279291788737,2052.8990234375,2935.2114990234377,2673.2757110595703,2325.3953491210937,3043.5797119140625,1784.9699137369792,1403.8773864746095,2180.545166015625
35,36,2926.862240600586,2535.846716308594,3377.6049926757805,2673.2757110595703,2325.3953491210937,3043.5797119140625,2470.279291788737,2052.8990234375,2935.2114990234377,2673.2757110595703,2325.3953491210937,3043.5797119140625,1784.9699137369792,1403.8773864746095,2180.545166015625
36,37,3114.235368855794,2716.497668457031,3583.492919921875,2834.993282063802,2476.671667480469,3219.560461425781,2638.1975774129232,2216.9918823242188,3111.706262207031,2834.993282063802,2476.671667480469,3219.560461425781,1927.8348088582356,1534.2677612304688,2323.8027954101562
37,38,2578.8495717366536,2217.6756103515627,2969.718896484375,2343.4360509236653,2038.5313354492187,2681.9104736328127,2162.885275777181,1781.1732788085938,2547.1455810546877,2343.4360509236653,2038.5313354492187,2681.9104736328127,1547.9993682861327,1218.66650390625,1893.526611328125
38,39,2578.8495717366536,2217.6756103515627,2969.718896484375,2343.4360509236653,2038.5313354492187,2681.9104736328127,2162.885275777181,1781.1732788085938,2547.1455810546877,2343.4360509236653,2038.5313354492187,2681.9104736328127,1547.9993682861327,1218.66650390625,1893.526611328125
39,40,2642.087506103516,2284.3869018554688,3046.446057128906,2399.1618143717446,2089.581640625,2739.2010620117185,2218.918250020345,1835.108905029297,2606.8902954101563,2399.1618143717446,2089.581640625,2739.2010620117185,1595.376084391276,1259.339599609375,1945.3983154296875
