,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,4.920833333333333,0.0,15.0,2.6458333333333335,0.0,11.049999999999983,2.2041666666666666,0.0,11.0,2.6458333333333335,0.0,11.049999999999983,0.25416666666666665,0.0,2.0
1,2,4.920833333333333,0.0,15.0,2.6458333333333335,0.0,11.049999999999983,2.2041666666666666,0.0,11.0,2.6458333333333335,0.0,11.049999999999983,0.25416666666666665,0.0,2.0
2,3,5.179166666666666,0.0,15.0,2.8,0.0,12.049999999999983,2.308333333333333,0.0,12.0,2.8,0.0,12.049999999999983,0.24166666666666667,0.0,2.0
3,4,5.179166666666666,0.0,15.0,2.8,0.0,12.049999999999983,2.308333333333333,0.0,12.0,2.8,0.0,12.049999999999983,0.24166666666666667,0.0,2.0
4,5,5.616666666666666,0.0,16.0,2.8291666666666666,0.0,12.099999999999966,2.25,0.0,10.049999999999983,2.8291666666666666,0.0,12.099999999999966,0.15833333333333333,0.0,1.0
5,6,7.608333333333333,0.0,20.14999999999995,4.458333333333333,0.0,17.0,3.3666666666666667,0.0,15.0,4.458333333333333,0.0,17.0,0.30416666666666664,0.0,2.0
6,7,10.9625,0.9500000000000011,27.0,6.7375,0.0,21.049999999999983,5.158333333333333,0.0,19.049999999999983,6.7375,0.0,21.049999999999983,0.9083333333333333,0.0,5.0
7,8,10.9625,0.9500000000000011,27.0,6.7375,0.0,21.049999999999983,5.158333333333333,0.0,19.049999999999983,6.7375,0.0,21.049999999999983,0.9083333333333333,0.0,5.0
8,9,12.4,1.0,29.0,7.8375,0.0,24.0,5.8875,0.0,22.0,7.8375,0.0,24.0,1.2125,0.0,5.0
9,10,9.341666666666667,0.0,25.0,5.470833333333333,0.0,19.049999999999983,4.070833333333334,0.0,17.0,5.470833333333333,0.0,19.049999999999983,0.39166666666666666,0.0,2.0
10,11,9.341666666666667,0.0,25.0,5.470833333333333,0.0,19.049999999999983,4.070833333333334,0.0,17.0,5.470833333333333,0.0,19.049999999999983,0.39166666666666666,0.0,2.0
11,12,7.7875,0.0,21.0,4.225,0.0,16.049999999999983,3.2583333333333333,0.0,13.0,4.225,0.0,16.049999999999983,0.22083333333333333,0.0,2.0
12,13,7.208333333333333,0.0,20.0,4.0875,0.0,17.0,3.245833333333333,0.0,14.0,4.0875,0.0,17.0,0.24583333333333332,0.0,2.0
13,14,6.833333333333333,0.0,19.049999999999983,3.9583333333333335,0.0,16.0,3.1333333333333333,0.0,13.0,3.9583333333333335,0.0,16.0,0.2708333333333333,0.0,2.0
14,15,6.833333333333333,0.0,19.049999999999983,3.9583333333333335,0.0,16.0,3.1333333333333333,0.0,13.0,3.9583333333333335,0.0,16.0,0.2708333333333333,0.0,2.0
15,16,7.35,0.0,20.0,4.341666666666667,0.0,17.0,3.3666666666666667,0.0,13.049999999999983,4.341666666666667,0.0,17.0,0.3458333333333333,0.0,2.0
16,17,7.166666666666667,0.0,19.049999999999983,4.108333333333333,0.0,15.049999999999983,2.879166666666667,0.0,12.049999999999983,4.108333333333333,0.0,15.049999999999983,0.3,0.0,2.0
17,18,7.166666666666667,0.0,19.049999999999983,4.108333333333333,0.0,15.049999999999983,2.879166666666667,0.0,12.049999999999983,4.108333333333333,0.0,15.049999999999983,0.3,0.0,2.0
18,19,7.541666666666667,0.0,21.049999999999983,4.4375,0.0,17.0,3.2083333333333335,0.0,13.049999999999983,4.4375,0.0,17.0,0.3541666666666667,0.0,2.0
19,20,7.820833333333334,0.0,22.0,4.495833333333334,0.0,16.0,3.3875,0.0,13.049999999999983,4.495833333333334,0.0,16.0,0.31666666666666665,0.0,2.0
20,21,8.125,0.0,23.049999999999983,4.4,0.0,14.099999999999966,3.275,0.0,14.0,4.4,0.0,14.099999999999966,0.3125,0.0,2.0
21,22,8.125,0.0,23.049999999999983,4.4,0.0,14.099999999999966,3.275,0.0,14.0,4.4,0.0,14.099999999999966,0.3125,0.0,2.0
22,23,7.358333333333333,0.0,21.0,3.7583333333333333,0.0,13.0,3.033333333333333,0.0,12.049999999999983,3.7583333333333333,0.0,13.0,0.225,0.0,1.0
23,24,10.054166666666667,0.0,26.049999999999983,5.404166666666667,0.0,17.049999999999983,4.479166666666667,0.0,18.049999999999983,5.404166666666667,0.0,17.049999999999983,0.4583333333333333,0.0,2.0
24,25,10.2875,0.0,26.049999999999983,5.545833333333333,0.0,17.049999999999983,4.704166666666667,0.0,18.0,5.545833333333333,0.0,17.049999999999983,0.6375,0.0,3.0
25,26,10.2875,0.0,26.049999999999983,5.545833333333333,0.0,17.049999999999983,4.704166666666667,0.0,18.0,5.545833333333333,0.0,17.049999999999983,0.6375,0.0,3.0
26,27,14.354166666666666,2.0,33.0,9.120833333333334,0.0,26.0,6.983333333333333,0.0,24.0,9.120833333333334,0.0,26.0,0.9708333333333333,0.0,5.0
27,28,16.133333333333333,3.0,35.04999999999998,11.2,1.0,31.0,8.391666666666667,0.0,26.0,11.2,1.0,31.0,1.7958333333333334,0.0,8.0
28,29,16.133333333333333,3.0,35.04999999999998,11.2,1.0,31.0,8.391666666666667,0.0,26.0,11.2,1.0,31.0,1.7958333333333334,0.0,8.0
29,30,12.216666666666667,1.950000000000001,30.049999999999983,7.520833333333333,0.0,23.049999999999983,5.595833333333333,0.0,22.0,7.520833333333333,0.0,23.049999999999983,0.8,0.0,4.049999999999983
30,31,9.120833333333334,0.0,24.049999999999983,5.5625,0.0,19.0,4.345833333333333,0.0,19.0,5.5625,0.0,19.0,0.5666666666666667,0.0,3.049999999999983
31,32,8.575,0.0,24.049999999999983,4.941666666666666,0.0,17.0,4.0125,0.0,17.049999999999983,4.941666666666666,0.0,17.0,0.42916666666666664,0.0,3.0
32,33,8.575,0.0,24.049999999999983,4.941666666666666,0.0,17.0,4.0125,0.0,17.049999999999983,4.941666666666666,0.0,17.0,0.42916666666666664,0.0,3.0
33,34,8.520833333333334,0.0,24.049999999999983,4.6625,0.0,17.0,3.7958333333333334,0.0,17.0,4.6625,0.0,17.0,0.3333333333333333,0.0,2.049999999999983
