,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,227.72083333333333,185.85,269.0,256.65833333333336,218.0,294.04999999999995,244.32083333333333,203.0,284.0,303.3541666666667,259.0,347.0,244.32083333333333,203.0,284.0
1,2,227.72083333333333,185.85,269.0,256.65833333333336,218.0,294.04999999999995,244.32083333333333,203.0,284.0,303.3541666666667,259.0,347.0,244.32083333333333,203.0,284.0
2,3,224.44583333333333,186.0,264.04999999999995,254.6875,218.95,289.09999999999997,240.74166666666667,200.0,278.19999999999993,301.8833333333333,260.9,341.15,240.74166666666667,200.0,278.19999999999993
3,4,224.44583333333333,186.0,264.04999999999995,254.6875,218.95,289.09999999999997,240.74166666666667,200.0,278.19999999999993,301.8833333333333,260.9,341.15,240.74166666666667,200.0,278.19999999999993
4,5,218.44166666666666,180.95,261.0,249.4375,211.95,283.0,235.47083333333333,198.95,274.04999999999995,297.625,256.95,341.15,235.47083333333333,198.95,274.04999999999995
5,6,206.84583333333333,174.9,248.0,235.34166666666667,199.95,273.0,221.48333333333332,193.0,258.0,287.22083333333336,247.0,333.39999999999986,221.48333333333332,193.0,258.0
6,7,196.37916666666666,164.0,231.0,220.55416666666667,184.9,262.0,208.90416666666667,176.0,249.0,273.1166666666667,230.0,313.0,208.90416666666667,176.0,249.0
7,8,196.37916666666666,164.0,231.0,220.55416666666667,184.9,262.0,208.90416666666667,176.0,249.0,273.1166666666667,230.0,313.0,208.90416666666667,176.0,249.0
8,9,193.09166666666667,159.9,230.0,216.60833333333332,181.0,258.09999999999997,206.22083333333333,174.0,247.04999999999998,266.40833333333336,218.9,311.0,206.22083333333333,174.0,247.04999999999998
9,10,200.14166666666668,164.0,237.0,226.875,189.0,272.0,213.9875,180.95,254.04999999999998,281.68333333333334,239.0,325.0,213.9875,180.95,254.04999999999998
10,11,200.14166666666668,164.0,237.0,226.875,189.0,272.0,213.9875,180.95,254.04999999999998,281.68333333333334,239.0,325.0,213.9875,180.95,254.04999999999998
11,12,208.98333333333332,178.9,247.09999999999997,237.75,200.95,273.04999999999995,223.14166666666668,194.0,256.0,287.94166666666666,249.0,325.04999999999995,223.14166666666668,194.0,256.0
12,13,212.74583333333334,180.0,251.0,239.83333333333334,201.0,276.0,226.13333333333333,194.0,261.0,290.22083333333336,249.0,330.54999999999984,226.13333333333333,194.0,261.0
13,14,214.25833333333333,181.95,251.09999999999997,239.7125,202.95,275.04999999999995,227.72083333333333,194.95,262.09999999999997,289.7625,246.95,330.15,227.72083333333333,194.95,262.09999999999997
14,15,214.25833333333333,181.95,251.09999999999997,239.7125,202.95,275.04999999999995,227.72083333333333,194.95,262.09999999999997,289.7625,246.95,330.15,227.72083333333333,194.95,262.09999999999997
15,16,211.03333333333333,179.95,249.04999999999998,236.40833333333333,200.0,275.04999999999995,224.88333333333333,193.95,260.0,289.77916666666664,248.95,332.0,224.88333333333333,193.95,260.0
16,17,214.54583333333332,185.0,253.04999999999998,242.2625,206.95,277.09999999999997,229.525,196.0,264.15,290.05833333333334,248.0,333.0,229.525,196.0,264.15
17,18,214.54583333333332,185.0,253.04999999999998,242.2625,206.95,277.09999999999997,229.525,196.0,264.15,290.05833333333334,248.0,333.0,229.525,196.0,264.15
18,19,212.59166666666667,180.95,250.04999999999998,241.5625,201.95,276.04999999999995,227.17916666666667,194.0,262.0,288.6375,247.0,333.0,227.17916666666667,194.0,262.0
19,20,212.25416666666666,184.85,246.0,240.225,202.95,275.0,225.65833333333333,194.0,257.04999999999995,285.8541666666667,246.95,325.0,225.65833333333333,194.0,257.04999999999995
20,21,211.92916666666667,181.0,247.0,239.34583333333333,202.95,275.04999999999995,225.2,194.95,256.04999999999995,284.85,247.0,325.0,225.2,194.95,256.04999999999995
21,22,211.92916666666667,181.0,247.0,239.34583333333333,202.95,275.04999999999995,225.2,194.95,256.04999999999995,284.85,247.0,325.0,225.2,194.95,256.04999999999995
22,23,213.4375,183.9,248.04999999999998,243.00416666666666,207.85,277.0,227.80833333333334,197.0,258.0,288.2875,249.95,328.04999999999995,227.80833333333334,197.0,258.0
23,24,202.87083333333334,169.0,234.04999999999998,228.84583333333333,196.95,270.09999999999997,214.45833333333334,184.95,249.04999999999998,278.4,239.95,315.04999999999995,214.45833333333334,184.95,249.04999999999998
24,25,201.2125,167.95,236.09999999999997,226.9875,192.95,268.04999999999995,213.2625,184.95,248.04999999999998,278.9791666666667,239.95,313.0,213.2625,184.95,248.04999999999998
25,26,201.2125,167.95,236.09999999999997,226.9875,192.95,268.04999999999995,213.2625,184.95,248.04999999999998,278.9791666666667,239.95,313.0,213.2625,184.95,248.04999999999998
26,27,187.91666666666666,156.9,221.09999999999997,210.56666666666666,181.95,249.09999999999997,200.5,172.95,239.04999999999998,261.8666666666667,219.85,303.04999999999995,200.5,172.95,239.04999999999998
27,28,181.4875,149.95,215.04999999999998,205.63333333333333,174.0,242.04999999999998,195.7875,164.95,223.04999999999998,255.25833333333333,213.0,298.0,195.7875,164.95,223.04999999999998
28,29,181.4875,149.95,215.04999999999998,205.63333333333333,174.0,242.04999999999998,195.7875,164.95,223.04999999999998,255.25833333333333,213.0,298.0,195.7875,164.95,223.04999999999998
29,30,193.9,162.0,227.04999999999998,217.00833333333333,186.0,260.04999999999995,204.57916666666668,173.95,243.04999999999998,270.1,230.0,306.04999999999995,204.57916666666668,173.95,243.04999999999998
30,31,202.68333333333334,170.95,238.0,228.92083333333332,197.0,268.04999999999995,213.3625,183.0,250.04999999999998,280.65833333333336,242.0,320.09999999999997,213.3625,183.0,250.04999999999998
31,32,204.97083333333333,171.95,238.04999999999998,230.74166666666667,196.95,273.0,215.625,187.85,254.04999999999998,281.6333333333333,242.0,324.04999999999995,215.625,187.85,254.04999999999998
32,33,204.97083333333333,171.95,238.04999999999998,230.74166666666667,196.95,273.0,215.625,187.85,254.04999999999998,281.6333333333333,242.0,324.04999999999995,215.625,187.85,254.04999999999998
33,34,205.575,174.9,238.04999999999998,231.40416666666667,198.0,272.0,218.54166666666666,190.95,255.0,280.5541666666667,243.0,323.0,218.54166666666666,190.95,255.0
34,35,204.53333333333333,169.95,238.0,231.6625,198.0,272.0,220.625,192.0,256.04999999999995,279.0208333333333,242.95,322.0,220.625,192.0,256.04999999999995
35,36,204.53333333333333,169.95,238.0,231.6625,198.0,272.0,220.625,192.0,256.04999999999995,279.0208333333333,242.95,322.0,220.625,192.0,256.04999999999995
36,37,197.75416666666666,166.95,229.14999999999995,221.3875,192.0,261.04999999999995,211.15833333333333,181.9,246.04999999999998,269.97083333333336,232.85,310.0,211.15833333333333,181.9,246.04999999999998
