,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,214.2574425060302,173.5314628072083,265.7338516265154,281.4897527452558,207.82432214543223,388.276517059654,250.71789425238967,185.22263615950942,290.35984236747026,401.8608546946198,315.0901518985629,467.8301580399275,250.71789425238967,185.22263615950942,290.35984236747026
1,2,214.2574425060302,173.5314628072083,265.7338516265154,281.4897527452558,207.82432214543223,388.276517059654,250.71789425238967,185.22263615950942,290.35984236747026,401.8608546946198,315.0901518985629,467.8301580399275,250.71789425238967,185.22263615950942,290.35984236747026
2,3,219.22432819753885,176.79885480739176,271.8747148811817,288.4737445823848,216.67334243655205,399.120589889586,254.3729845713824,192.69160547852516,288.78645569086075,413.542672842741,328.65607568621635,480.5283955298364,254.3729845713824,192.69160547852516,288.78645569086075
3,4,219.22432819753885,176.79885480739176,271.8747148811817,288.4737445823848,216.67334243655205,399.120589889586,254.3729845713824,192.69160547852516,288.78645569086075,413.542672842741,328.65607568621635,480.5283955298364,254.3729845713824,192.69160547852516,288.78645569086075
4,5,220.52697998844087,175.33939336426556,279.79157217778265,286.91969769913703,228.377961486578,391.34138898551464,250.93785896524787,192.4998930245638,286.6278124451637,403.95499503426254,326.59049382060766,487.3646508567035,250.93785896524787,192.4998930245638,286.6278124451637
5,6,214.5611581094563,164.49323509261012,272.4152200035751,284.39128363505006,225.821726731956,381.9689454101026,237.4130131714046,189.12982370331883,280.20372220128775,397.45741694420576,310.42216632142663,488.12229449674487,237.4130131714046,189.12982370331883,280.20372220128775
6,7,210.52893021516502,164.99297484755516,273.55525771155953,283.8290679436177,227.30565072596073,379.71625807881355,232.91538863629103,188.43724188953638,282.4376351311803,393.14985083043575,305.13537330552936,489.69389739632607,232.91538863629103,188.43724188953638,282.4376351311803
7,8,210.52893021516502,164.99297484755516,273.55525771155953,283.8290679436177,227.30565072596073,379.71625807881355,232.91538863629103,188.43724188953638,282.4376351311803,393.14985083043575,305.13537330552936,489.69389739632607,232.91538863629103,188.43724188953638,282.4376351311803
8,9,204.12620832771063,162.54147914797068,270.56821336597204,278.54241892695427,223.05789767578244,378.04497723281384,228.90635435469449,180.02544959634542,275.49391543492675,386.0648220255971,299.52334972471,489.4916562885046,228.90635435469449,180.02544959634542,275.49391543492675
9,10,196.6151761673391,164.176663313061,264.61469715461135,270.63128625787795,217.22606037184596,376.66346054151654,227.9348811469972,175.75488256663084,274.90834049507976,388.5493763573468,296.7638290002942,481.2798258755356,227.9348811469972,175.75488256663084,274.90834049507976
