,index,ref_t10,2050hoog_t10,2050laag_t10,2100hoog_t10,2100laag_t10
0,1,255.32183373570436,346.4218958776444,282.0349089879542,466.0335921768099,282.0349089879542
1,2,255.32183373570436,346.4218958776444,282.0349089879542,466.0335921768099,282.0349089879542
2,3,257.5315495539456,356.32715735528615,284.7352666439488,476.9927881684154,284.7352666439488
3,4,257.5315495539456,356.32715735528615,284.7352666439488,476.9927881684154,284.7352666439488
4,5,257.31766512319433,359.96116187740114,283.10639915075154,475.16573873274024,283.10639915075154
5,6,243.13872265890225,354.6323579305783,273.5163551546633,467.0603582806885,273.5163551546633
6,7,241.94839521367086,349.9571820547804,274.23673311434686,468.38791165575384,274.23673311434686
7,8,241.94839521367086,349.9571820547804,274.23673311434686,468.38791165575384,274.23673311434686
8,9,234.87527178693546,346.97680957652625,267.67241957262155,467.59658171124755,267.67241957262155
9,10,232.82165056131763,341.2814859518781,264.26814706809813,467.6597987215966,264.26814706809813
10,11,232.82165056131763,341.2814859518781,264.26814706809813,467.6597987215966,264.26814706809813
11,12,227.59457756690665,334.5862254034728,263.60314628519114,458.8510929089039,263.60314628519114
12,13,229.0508944926782,338.0089198766276,266.50115656480193,463.0766994599253,266.50115656480193
13,14,233.06760207936156,340.4179503861815,272.4658262243494,464.212664212659,272.4658262243494
14,15,233.06760207936156,340.4179503861815,272.4658262243494,464.212664212659,272.4658262243494
15,16,239.28812855593847,345.68396783433855,273.089931743592,465.8180055115371,273.089931743592
16,17,248.57703309003256,345.0400834957137,276.31109953336414,468.9786236919462,276.31109953336414
17,18,248.57703309003256,345.0400834957137,276.31109953336414,468.9786236919462,276.31109953336414
18,19,235.79687813892951,330.6709585808216,268.3359284017235,456.77161478362973,268.3359284017235
19,20,224.8825618263333,323.2111980020999,260.7739140920341,441.15729710422454,260.7739140920341
20,21,216.0664077937602,315.0356596313417,251.16042226627465,427.1786483943462,251.16042226627465
21,22,216.0664077937602,315.0356596313417,251.16042226627465,427.1786483943462,251.16042226627465
22,23,203.15766225904218,294.949543301016,232.85176091026514,403.2951986422762,232.85176091026514
23,24,202.42623738646506,296.9734284233301,216.97144292779265,399.04587207473816,216.97144292779265
24,25,169.28660604991018,267.8908268719911,182.96253917105494,366.0860024139285,182.96253917105494
25,26,169.28660604991018,267.8908268719911,182.96253917105494,366.0860024139285,182.96253917105494
26,27,141.76666290313003,234.70075089149174,162.41099098995326,333.3083497263491,162.41099098995326
27,28,153.090534100309,253.7608514226973,173.37957701012493,350.635399185121,173.37957701012493
28,29,153.090534100309,253.7608514226973,173.37957701012493,350.635399185121,173.37957701012493
29,30,234.16777569018302,331.3432504769414,258.0632440753281,426.4245480783283,258.0632440753281
30,31,263.69306727275244,352.64582324326034,285.46799622289836,455.51322550475595,285.46799622289836
31,32,258.171420909278,348.5534783417359,278.19857128374275,454.61288186237215,278.19857128374275
32,33,258.171420909278,348.5534783417359,278.19857128374275,454.61288186237215,278.19857128374275
33,34,260.6747641256079,349.46078696250913,274.7814823660999,452.71190932895985,274.7814823660999
34,35,218.90177125670013,311.18883772417894,238.83317588716739,416.0324760865419,238.83317588716739
35,36,218.90177125670013,311.18883772417894,238.83317588716739,416.0324760865419,238.83317588716739
36,37,207.61788627915084,305.72546301186077,226.35421419627957,412.5273089729249,226.35421419627957
37,38,255.56379619576032,338.709286166355,278.6371860798448,460.2386923059821,278.6371860798448
38,39,255.56379619576032,338.709286166355,278.6371860798448,460.2386923059821,278.6371860798448
39,40,254.77185833863908,347.0054232349619,277.31950370222324,463.5634658761322,277.31950370222324
40,41,254.77185833863908,347.0054232349619,277.31950370222324,463.5634658761322,277.31950370222324
41,42,248.40191548988213,349.21250687502317,275.9340258616954,467.79085259307175,275.9340258616954
42,43,229.8531112212686,338.261043240875,259.6443756764755,453.45635338500136,259.6443756764755
43,44,225.30599362403134,340.45159072801465,260.4181480128318,463.06714101955293,260.4181480128318
44,45,225.30599362403134,340.45159072801465,260.4181480128318,463.06714101955293,260.4181480128318
45,46,227.42935600485632,339.52989457324145,262.9523168860003,465.2150396700948,262.9523168860003
46,47,230.90657097734493,339.87891531828785,262.99967450834805,462.22017767857756,262.99967450834805
47,48,230.90657097734493,339.87891531828785,262.99967450834805,462.22017767857756,262.99967450834805
48,49,230.21194251365947,336.2080348845571,268.2110374230891,460.4827932525426,268.2110374230891
49,50,229.0508944926782,338.0089198766276,266.50115656480193,463.0766994599253,266.50115656480193
50,51,233.06760207936156,340.4179503861815,272.4658262243494,464.212664212659,272.4658262243494
51,52,233.06760207936156,340.4179503861815,272.4658262243494,464.212664212659,272.4658262243494
52,53,239.28812855593847,345.68396783433855,273.089931743592,465.8180055115371,273.089931743592
53,54,248.57703309003256,345.0400834957137,276.31109953336414,468.9786236919462,276.31109953336414
54,55,248.57703309003256,345.0400834957137,276.31109953336414,468.9786236919462,276.31109953336414
55,56,235.79687813892951,330.6709585808216,268.3359284017235,456.77161478362973,268.3359284017235
56,57,224.8825618263333,323.2111980020999,260.7739140920341,441.15729710422454,260.7739140920341
57,58,216.0664077937602,315.0356596313417,251.16042226627465,427.1786483943462,251.16042226627465
58,59,216.0664077937602,315.0356596313417,251.16042226627465,427.1786483943462,251.16042226627465
59,60,203.15766225904218,294.949543301016,232.85176091026514,403.2951986422762,232.85176091026514
60,61,202.42623738646506,296.9734284233301,216.97144292779265,399.04587207473816,216.97144292779265
61,62,169.28660604991018,267.8908268719911,182.96253917105494,366.0860024139285,182.96253917105494
62,63,169.28660604991018,267.8908268719911,182.96253917105494,366.0860024139285,182.96253917105494
63,64,141.76666290313003,234.70075089149174,162.41099098995326,333.3083497263491,162.41099098995326
64,65,153.090534100309,253.7608514226973,173.37957701012493,350.635399185121,173.37957701012493
65,66,153.090534100309,253.7608514226973,173.37957701012493,350.635399185121,173.37957701012493
66,67,269.0502316039055,364.8018930179998,294.82504306267947,467.38252358473835,294.82504306267947
67,68,285.3632683176547,381.6083996925503,304.9670661922544,484.39196421727536,304.9670661922544
68,69,273.02566987834865,371.34840738438066,299.3737423688173,474.62587029859424,299.3737423688173
69,70,273.02566987834865,371.34840738438066,299.3737423688173,474.62587029859424,299.3737423688173
70,71,259.483569178544,348.96792869623744,272.2962823566049,455.31282688416536,272.2962823566049
71,72,222.7092343388125,316.4910951517522,238.43696830272668,424.57640834506594,238.43696830272668
72,73,222.7092343388125,316.4910951517522,238.43696830272668,424.57640834506594,238.43696830272668
73,74,200.9991317376494,292.467919868417,221.86837882734832,400.9565227236599,221.86837882734832
74,75,256.6390800565481,343.7804991962388,278.78444930221883,465.19327704049647,278.78444930221883
75,76,256.6390800565481,343.7804991962388,278.78444930221883,465.19327704049647,278.78444930221883
76,77,252.20830133706323,343.4183080425486,273.24291728585956,457.26395870391275,273.24291728585956
77,78,252.20830133706323,343.4183080425486,273.24291728585956,457.26395870391275,273.24291728585956
78,79,245.4752737175672,343.7630016256123,273.5127477347851,460.2974738150835,273.5127477347851
79,80,232.14025981537984,336.5348746145143,266.92656930238,455.3489818219095,266.92656930238
80,81,225.30599362403134,340.45159072801465,260.4181480128318,463.06714101955293,260.4181480128318
81,82,225.30599362403134,340.45159072801465,260.4181480128318,463.06714101955293,260.4181480128318
82,83,227.42935600485632,339.52989457324145,262.9523168860003,465.2150396700948,262.9523168860003
83,84,230.90657097734493,339.87891531828785,262.99967450834805,462.22017767857756,262.99967450834805
84,85,230.90657097734493,339.87891531828785,262.99967450834805,462.22017767857756,262.99967450834805
85,86,230.21194251365947,336.2080348845571,268.2110374230891,460.4827932525426,268.2110374230891
86,87,224.43295076433557,331.7618780851364,263.6581728089601,454.4904689164832,263.6581728089601
87,88,235.93779561072577,338.95374013148245,272.58090387433765,460.9621945219114,272.58090387433765
88,89,235.93779561072577,338.95374013148245,272.58090387433765,460.9621945219114,272.58090387433765
89,90,243.44148407876483,351.6543863011524,280.2296464826912,471.11601938772935,280.2296464826912
90,91,269.4947650805115,365.33801716286683,298.52649255543946,480.2637575775384,298.52649255543946
91,92,269.4947650805115,365.33801716286683,298.52649255543946,480.2637575775384,298.52649255543946
92,93,247.70458069853473,349.52670699674627,282.27101925462483,470.3130639638751,282.27101925462483
93,94,228.2465764578431,328.59680478312066,267.59511354006827,447.458368256688,267.59511354006827
94,95,223.92127067055546,324.87968745529645,261.0079243438318,437.95198674052943,261.0079243438318
95,96,223.92127067055546,324.87968745529645,261.0079243438318,437.95198674052943,261.0079243438318
96,97,224.04570575281966,322.62081348150963,254.92732200361783,434.46823927313085,254.92732200361783
