,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,646.3159731547038,591.1436370849609,709.041015625,709.8857566833497,644.2894439697266,777.878042602539,688.004807027181,619.8469940185547,765.1229217529296,779.7332700093588,708.3201293945312,863.1298828125,688.225840250651,623.4726654052735,754.0505523681641
1,2,646.3159731547038,591.1436370849609,709.041015625,709.8857566833497,644.2894439697266,777.878042602539,688.004807027181,619.8469940185547,765.1229217529296,779.7332700093588,708.3201293945312,863.1298828125,688.225840250651,623.4726654052735,754.0505523681641
2,3,653.7721522013346,597.7715240478516,716.5368469238281,717.9614720662435,652.8065155029296,787.7411071777343,695.9563489278157,631.6558349609375,769.9999481201172,788.9529708862304,714.1588745117188,874.502685546875,695.6698984781901,631.4905242919922,764.3206939697266
3,4,653.7721522013346,597.7715240478516,716.5368469238281,717.9614720662435,652.8065155029296,787.7411071777343,695.9563489278157,631.6558349609375,769.9999481201172,788.9529708862304,714.1588745117188,874.502685546875,695.6698984781901,631.4905242919922,764.3206939697266
4,5,648.3329093933105,592.5969635009766,714.5032196044922,712.2555620829264,645.1136871337891,784.4388580322266,690.316500600179,625.8532928466797,763.7399291992188,783.1699780782063,709.7288818359375,871.3947143554688,689.5498135884603,625.711782836914,758.8730743408203
5,6,645.1305549621582,589.2088500976563,709.1035919189453,709.7654627482096,642.4435455322266,779.9842620849608,687.2853947957357,621.95576171875,761.2303070068359,781.1901054382324,704.0829467773438,865.4480590820312,685.6348411560059,620.1592498779297,756.1229919433594
6,7,640.1407803853352,584.1280456542969,706.8011505126954,704.9631390889485,635.2094879150391,774.0255218505858,682.6442423502605,615.955322265625,756.5502258300781,777.5099672953288,702.60009765625,861.4283447265625,679.2221435546875,608.7830474853515,750.8814208984375
7,8,640.1407803853352,584.1280456542969,706.8011505126954,704.9631390889485,635.2094879150391,774.0255218505858,682.6442423502605,615.955322265625,756.5502258300781,777.5099672953288,702.60009765625,861.4283447265625,679.2221435546875,608.7830474853515,750.8814208984375
8,9,637.3181162516277,576.8952850341797,705.2613159179688,701.6921109517415,630.821743774414,770.2898895263671,679.7470845540364,610.6357116699219,753.3066284179688,774.3113873799642,696.9195556640625,857.0634155273438,675.4346115112305,604.7893432617187,748.7454010009766
9,10,639.6338289896647,580.3095550537109,706.7123992919921,704.0557942708333,632.8062927246094,771.2253601074217,681.559711710612,612.5632568359375,755.1994201660157,776.8003013610839,694.22314453125,859.33056640625,677.2712025960286,607.8817565917968,749.1406707763671
10,11,639.6338289896647,580.3095550537109,706.7123992919921,704.0557942708333,632.8062927246094,771.2253601074217,681.559711710612,612.5632568359375,755.1994201660157,776.8003013610839,694.22314453125,859.33056640625,677.2712025960286,607.8817565917968,749.1406707763671
11,12,637.2268600463867,577.9384796142579,704.7544158935547,701.9642573038738,629.4666900634766,768.7051666259764,678.9269304911296,609.07705078125,754.6354461669922,774.1635993957519,691.9960571289063,856.6729125976562,675.6570533752441,605.4559692382812,748.3262756347656
12,13,639.2250147501628,583.4045257568359,705.5786254882812,704.147008005778,632.0520477294922,771.434390258789,680.9310546875,610.8028289794922,754.6162139892577,776.2904256184896,698.3119232177735,857.33984375,678.9858762105306,606.284326171875,749.8751586914062
13,14,642.3319613138834,585.890249633789,708.1848327636719,707.1248659769694,636.7447204589844,776.0797271728516,683.9300608317058,612.9823669433594,759.4071960449219,779.032600402832,704.2188568115234,859.5693359375,683.2006739298503,613.1804321289062,755.3534210205078
