,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,5.720833333333333,2.0,11.0,6.6375,3.0,11.0,6.266666666666667,2.0,10.049999999999983,8.720833333333333,4.0,14.049999999999983,5.770833333333333,2.0,10.0
1,2,5.720833333333333,2.0,11.0,6.6375,3.0,11.0,6.266666666666667,2.0,10.049999999999983,8.720833333333333,4.0,14.049999999999983,5.770833333333333,2.0,10.0
2,3,5.545833333333333,2.0,10.0,6.408333333333333,2.0,11.0,6.025,2.0,10.0,8.6,4.0,14.049999999999983,5.6,2.0,10.0
3,4,5.545833333333333,2.0,10.0,6.408333333333333,2.0,11.0,6.025,2.0,10.0,8.6,4.0,14.049999999999983,5.6,2.0,10.0
4,5,6.066666666666666,3.0,10.049999999999983,6.979166666666667,3.0,11.0,6.7125,2.0,11.0,9.004166666666666,4.0,14.0,6.208333333333333,2.0,11.0
5,6,7.0875,3.0,12.0,7.883333333333334,3.0,13.0,7.708333333333333,3.0,13.0,9.895833333333334,5.0,15.049999999999983,7.108333333333333,3.0,12.0
6,7,7.183333333333334,3.0,12.0,8.15,3.0,13.0,7.975,3.0,13.0,9.954166666666667,4.0,15.049999999999983,7.354166666666667,3.0,12.0
7,8,7.183333333333334,3.0,12.0,8.15,3.0,13.0,7.975,3.0,13.0,9.954166666666667,4.0,15.049999999999983,7.354166666666667,3.0,12.0
8,9,7.3875,3.0,12.0,7.916666666666667,3.0,13.0,7.845833333333333,3.0,14.0,9.725,4.950000000000001,15.0,7.5125,3.0,13.0
9,10,7.620833333333334,3.0,12.0,8.483333333333333,4.0,14.0,8.275,4.0,14.0,9.933333333333334,5.0,15.0,8.066666666666666,3.0,13.049999999999983
10,11,7.620833333333334,3.0,12.0,8.483333333333333,4.0,14.0,8.275,4.0,14.0,9.933333333333334,5.0,15.0,8.066666666666666,3.0,13.049999999999983
11,12,7.483333333333333,3.0,12.0,8.254166666666666,4.0,13.0,8.141666666666667,4.0,13.0,10.158333333333333,5.0,16.0,7.791666666666667,3.0,13.0
12,13,7.554166666666666,3.0,13.0,8.395833333333334,4.0,14.0,8.054166666666667,4.0,14.0,10.3125,5.0,16.0,7.933333333333334,3.0,13.0
13,14,7.254166666666666,3.0,12.0,7.866666666666666,3.0,12.049999999999983,7.716666666666667,3.0,13.0,9.979166666666666,5.0,16.0,7.220833333333333,2.0,12.0
14,15,7.254166666666666,3.0,12.0,7.866666666666666,3.0,12.049999999999983,7.716666666666667,3.0,13.0,9.979166666666666,5.0,16.0,7.220833333333333,2.0,12.0
15,16,6.65,3.0,11.0,7.2375,3.0,12.0,7.0625,3.0,13.0,9.2875,5.0,15.0,6.9375,2.950000000000001,12.0
16,17,5.670833333333333,2.0,10.0,6.408333333333333,3.0,11.0,6.05,2.0,11.0,8.058333333333334,3.950000000000001,13.0,6.05,2.0,11.0
