,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,754.4401042938232,585.9742645263672,919.9960693359375,769.537290318807,606.3936828613281,939.3135986328123,741.7085629781087,555.9530242919922,928.5143737792969,799.2405808766683,635.951513671875,1012.5493652343749,712.5058439890544,559.0138305664062,877.7846374511718
1,2,754.4401042938232,585.9742645263672,919.9960693359375,769.537290318807,606.3936828613281,939.3135986328123,741.7085629781087,555.9530242919922,928.5143737792969,799.2405808766683,635.951513671875,1012.5493652343749,712.5058439890544,559.0138305664062,877.7846374511718
2,3,758.3050577799479,579.3474822998047,910.2474700927733,771.3705706278483,610.1621185302735,952.9384613037107,740.2496737162272,560.7496734619141,925.7039764404296,796.6323744455973,636.8723052978515,988.8840942382812,708.7646779378255,553.0375183105468,873.8842163085938
3,4,758.3050577799479,579.3474822998047,910.2474700927733,771.3705706278483,610.1621185302735,952.9384613037107,740.2496737162272,560.7496734619141,925.7039764404296,796.6323744455973,636.8723052978515,988.8840942382812,708.7646779378255,553.0375183105468,873.8842163085938
4,5,769.0750804901123,577.9143737792969,923.3430938720702,783.3321186065674,616.2809020996094,972.3304382324219,753.2797199249268,560.566162109375,945.1828521728515,810.5610350290934,647.7509796142579,1000.0877075195312,719.3812339782714,555.4930419921875,884.5692077636719
5,6,806.6898300170899,608.380712890625,965.1826324462887,818.7288586934408,641.6615142822266,1012.373910522461,788.4662106831869,587.5533172607422,994.3954223632812,848.829074605306,665.411669921875,1049.348876953125,754.7304878234863,571.7474975585938,931.3892242431641
6,7,798.0462754567465,604.783383178711,951.0482421874999,809.8018294016521,616.0746063232422,998.0185760498047,779.9822750091553,590.3898651123047,976.7483612060546,839.2965890248616,647.6674041748047,1045.2871520996093,745.3096906026204,568.9687866210937,917.0848205566406
7,8,798.0462754567465,604.783383178711,951.0482421874999,809.8018294016521,616.0746063232422,998.0185760498047,779.9822750091553,590.3898651123047,976.7483612060546,839.2965890248616,647.6674041748047,1045.2871520996093,745.3096906026204,568.9687866210937,917.0848205566406
8,9,804.103375752767,592.9445922851562,960.249298095703,814.0776898701986,625.7049865722656,1006.7705505371093,784.6705729166666,588.185546875,991.2662506103516,843.7802193959554,666.0235870361328,1037.3407958984374,749.7870254516602,561.1019897460938,925.9279235839842
9,10,818.6844151814779,605.4752075195313,994.0051208496094,825.608223470052,634.0195343017579,1016.2001220703124,799.9570185343424,594.377685546875,999.4762725830078,860.6937580108643,668.9936462402344,1067.334698486328,762.6958381652832,571.0975341796875,956.4680877685546
10,11,818.6844151814779,605.4752075195313,994.0051208496094,825.608223470052,634.0195343017579,1016.2001220703124,799.9570185343424,594.377685546875,999.4762725830078,860.6937580108643,668.9936462402344,1067.334698486328,762.6958381652832,571.0975341796875,956.4680877685546
11,12,829.2167203267416,627.9079864501953,1006.7700073242186,834.1739583333333,646.421484375,1016.7812683105468,808.9943903605143,602.3255004882812,1003.2789611816405,868.3471480051677,676.2780517578125,1062.2841552734376,765.0779661814372,574.6371459960938,950.4532897949218
12,13,828.18309618632,626.0721374511719,1008.143862915039,835.9037700653076,645.8249114990234,1020.0851806640624,809.948336537679,605.5500732421875,1013.8254028320313,871.8665440877279,684.4673126220703,1071.7940612792968,769.914770634969,576.4833374023438,953.4072753906249
13,14,810.2979395548502,611.8240112304687,986.1177368164062,821.476392364502,636.5317138671875,1015.2058532714843,794.1592826843262,589.3106689453125,995.4294464111327,857.6809932708741,678.8772094726562,1082.4769958496092,757.3046600341797,565.958041381836,934.6276153564453
14,15,810.2979395548502,611.8240112304687,986.1177368164062,821.476392364502,636.5317138671875,1015.2058532714843,794.1592826843262,589.3106689453125,995.4294464111327,857.6809932708741,678.8772094726562,1082.4769958496092,757.3046600341797,565.958041381836,934.6276153564453
15,16,786.248685836792,596.8118865966796,962.9711639404296,802.2182490030924,615.6936920166015,987.4203979492186,774.3592206319173,568.248779296875,975.3475646972655,839.128261311849,656.7737487792969,1067.6947143554687,739.9925530751547,546.5300476074219,916.2831146240234
16,17,756.8201513926189,575.4399261474609,905.4038024902344,770.3888994852701,592.0088500976562,945.4485839843749,739.930791982015,554.3119506835938,922.8768493652343,802.0161861419678,628.4236480712891,1034.3906616210938,706.746455001831,536.6787719726562,870.9335144042968
17,18,756.8201513926189,575.4399261474609,905.4038024902344,770.3888994852701,592.0088500976562,945.4485839843749,739.930791982015,554.3119506835938,922.8768493652343,802.0161861419678,628.4236480712891,1034.3906616210938,706.746455001831,536.6787719726562,870.9335144042968
18,19,767.9969081878662,592.3576263427734,907.2708953857422,776.7603720347087,598.5411712646485,949.8592010498046,743.459151204427,566.377392578125,936.9191955566405,805.0597066243489,624.9265319824219,1026.4463928222656,712.4470989227295,552.1864624023438,887.5713256835935
19,20,797.6105673472086,606.7805755615234,948.9123718261717,808.4901692708333,616.0094940185547,989.0231872558593,773.0255582173666,578.0442108154297,982.5133361816405,838.2200777689616,639.4679534912109,1066.9836120605466,742.2782904307047,576.1661315917969,929.9789154052733
20,21,791.8977133433024,596.5485992431641,979.1462890624997,805.2601596832276,603.74443359375,1003.7027038574217,772.1277267456055,573.6365142822266,992.2750457763665,839.7630241394043,623.8902587890625,1098.022637939453,741.9082052866618,553.7933288574219,946.4141723632813
21,22,791.8977133433024,596.5485992431641,979.1462890624997,805.2601596832276,603.74443359375,1003.7027038574217,772.1277267456055,573.6365142822266,992.2750457763665,839.7630241394043,623.8902587890625,1098.022637939453,741.9082052866618,553.7933288574219,946.4141723632813
22,23,882.9479189554851,662.8772857666015,1083.6683593749995,897.5398006439209,661.733999633789,1131.2356018066405,857.0728331247966,640.9761627197265,1112.1056213378906,931.7111394246419,695.2856414794923,1210.1696350097657,832.1108798980713,623.4568145751953,1072.0613342285153
23,24,916.5050272623698,695.8726470947266,1143.7417846679682,928.3392003377279,684.8570281982422,1179.876446533203,882.7779218037923,670.2137329101563,1140.0286560058591,954.5289034525554,714.3543151855469,1198.5144958496094,847.9575861612956,639.4721405029297,1077.5486206054688
24,25,1040.3880134582519,791.2980834960938,1306.0056823730465,1052.314343770345,786.1690490722656,1328.2273986816406,1000.0818161010742,776.6538757324219,1279.9343444824217,1078.4002118428548,812.5800018310547,1339.5828491210937,952.4507937113444,727.2525634765625,1190.0443115234375
25,26,1040.3880134582519,791.2980834960938,1306.0056823730465,1052.314343770345,786.1690490722656,1328.2273986816406,1000.0818161010742,776.6538757324219,1279.9343444824217,1078.4002118428548,812.5800018310547,1339.5828491210937,952.4507937113444,727.2525634765625,1190.0443115234375
26,27,1085.532553100586,827.9629943847656,1367.6792236328124,1100.09022954305,818.2737854003906,1360.231939697265,1049.5774988810222,813.6846862792969,1319.284912109375,1134.4917017618816,870.9840911865234,1388.4038757324217,1000.3225519816081,763.1375701904296,1259.27568359375
27,28,1043.782468922933,814.73818359375,1314.8913940429686,1065.7820625305176,816.6363037109375,1320.155187988281,1018.6453282674154,792.861865234375,1298.5062011718749,1121.4682070414226,839.4555450439453,1408.60400390625,980.947182973226,738.112109375,1240.0285217285152
28,29,1043.782468922933,814.73818359375,1314.8913940429686,1065.7820625305176,816.6363037109375,1320.155187988281,1018.6453282674154,792.861865234375,1298.5062011718749,1121.4682070414226,839.4555450439453,1408.60400390625,980.947182973226,738.112109375,1240.0285217285152
29,30,739.3224667867024,580.7131225585938,948.7827423095703,771.5529701232911,589.3353240966796,950.7868255615233,733.2301520029704,557.4651916503906,945.057730102539,817.1644247690837,605.4922668457032,1051.462158203125,719.8304222106933,528.3919464111328,913.3152954101562
30,31,602.5483784993489,480.06212158203124,783.7687286376952,631.4528654734294,483.32759552001954,787.3631652832031,597.1679595947265,453.3160095214844,763.2705352783203,668.0892636617025,479.95792083740236,874.784423828125,585.4469263712565,429.10919189453125,757.1073303222656
31,32,622.0098948160808,499.16212463378906,801.0649505615232,651.9838539123535,501.2714385986328,820.1552551269531,616.3361907958985,466.81147918701174,790.9710021972655,682.2671076456705,491.5391540527344,878.2341766357422,600.3251408894856,439.66024017333984,787.0923767089841
32,33,622.0098948160808,499.16212463378906,801.0649505615232,651.9838539123535,501.2714385986328,820.1552551269531,616.3361907958985,466.81147918701174,790.9710021972655,682.2671076456705,491.5391540527344,878.2341766357422,600.3251408894856,439.66024017333984,787.0923767089841
33,34,638.5969150543212,494.68072814941405,816.9621612548827,668.1868755340577,510.98680419921874,849.7882843017578,631.2787581125896,481.81088104248045,830.8773529052734,697.1268723805746,509.97869873046875,893.7203765869137,617.0333394368489,442.0575866699219,807.1390991210938
34,35,740.9959980010987,582.1931671142578,938.0816802978516,770.8934106190999,596.2112915039063,960.9732543945312,732.7804438273112,568.7587005615235,943.2503479003906,798.8877895355224,597.083984375,1041.303466796875,710.4747412363688,526.2744201660156,941.0068969726562
35,36,740.9959980010987,582.1931671142578,938.0816802978516,770.8934106190999,596.2112915039063,960.9732543945312,732.7804438273112,568.7587005615235,943.2503479003906,798.8877895355224,597.083984375,1041.303466796875,710.4747412363688,526.2744201660156,941.0068969726562
36,37,820.6912363688151,629.914404296875,1000.76025390625,846.3632022857666,657.0978790283203,1053.6604858398437,805.0858704884847,610.0761047363281,1008.0726440429687,871.8762393951416,672.3803558349609,1098.9187988281249,776.0778909047444,595.5315002441406,962.5297363281247
37,38,779.56712252299,609.7911499023437,953.1449951171875,795.2194240570068,618.562631225586,973.8325073242188,771.3603820800781,570.6895904541016,960.3763244628905,834.523136138916,658.6879669189453,1070.717218017578,747.3808802286784,572.303466796875,920.8331512451172
