,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,148059862203569.12,1184188.9834277413,889209392651308.9,808157198776397.6,500224.0385815218,1425126264874188.8,1.9798812980498394e+139,0.0,2106452550023470.2,279003233785215.7,0.0,945423669457082.2,1.9798812980498394e+139,0.0,2106452550023470.2
1,2,164518079915995.8,7801484.0213013785,996168063681609.8,710066537477542.6,215441.85678454614,1579622197691291.0,624551071799137.2,0.0,1404213746846187.5,184436695720297.34,0.0,897176691199969.8,624551071799137.2,0.0,1404213746846187.5
2,3,224982341215316.0,9181598.040834576,1361870898931884.0,1802546012270637.5,218450.9497157751,1376312995041471.5,834996665282024.0,0.0,1444861370977394.5,223095478810018.22,0.0,1088032126126458.9,834996665282024.0,0.0,1444861370977394.5
3,4,211915250439220.28,3890592.210346716,1012589361262260.1,1635380220387386.2,39536.736641742005,929768406276870.2,1331342679047708.2,0.0,1541412035130995.8,210162491763303.2,0.0,1072772785440469.6,1331342679047708.2,0.0,1541412035130995.8
4,5,237970303443435.9,2485310.8112213546,843634769949358.9,1702465545495558.5,139708.84910266544,1231873459590032.0,-2.8006921397066065e+198,0.0,1482894433700230.2,232822420936469.44,0.0,1094689647564496.4,-2.8006921397066065e+198,0.0,1482894433700230.2
5,6,315861576130930.0,11653145.502353018,1055122314984444.5,1891146720809116.8,188924.23794395555,1317458897279894.8,,,,319587918140037.1,0.0,1363979191215117.5,,,
6,7,398855938016697.06,43634.26462369054,976791077274926.1,1043530845582057.6,148556.53928784933,2012190956664252.5,,,,373392223470862.94,0.0,1672651833539660.8,,,
7,8,390398732786141.8,14553.638061029296,1880422541102482.8,600368927822201.1,220633.75183375954,2035074448613326.8,,,,337072557853873.9,0.0,1835740009704568.2,,,
8,9,260246158962703.56,14665.278471577152,1825318378883305.0,503345848927565.8,31755.02872720432,1960983403515440.0,1071010439891332.2,0.0,1275767703242183.2,328636167200939.06,0.0,1592476605368459.0,1071010439891332.2,0.0,1275767703242183.2
9,10,203961742457774.16,33593.15305347284,1101874114821563.2,1071560274258656.4,28567.38642751274,1469396264437273.5,,,,299245482677501.06,0.0,1307339202536706.8,,,
10,11,243914507190105.5,175769.58087745143,1273261911991368.2,3607688263227927.5,844.5870951234805,1842501039689744.2,,,,460229252932650.25,0.0,1290515332431845.8,,,
11,12,231903047736112.1,143311.30023488204,1053512400194378.5,490340456823169.3,11705.145323133842,2065802617221408.2,,,,3604845185107958.5,0.0,1218465753055582.8,,,
12,13,208856856716845.5,110520.59965123616,1290340741834135.0,325379650257225.7,34266.54475623092,1098210527495244.5,,,,4859690584438612.0,0.0,1073161077332476.8,,,
13,14,312496705097256.6,138164.6934302507,1210908596784460.8,248266259007139.62,14098.609938195912,913360342840217.0,,,,3631628741254297.0,0.0,1352929958271806.2,,,
14,15,262056272641240.78,217936.58175883512,1452907723820485.5,260617447964600.3,114525.82999670865,1226997221958855.5,,,,592345175751074.2,0.0,1327311820727176.8,,,
15,16,288895916512957.25,251997.94972430082,1606556849872370.8,277004584243938.1,13208.823890248943,1950529184680196.5,,,,615291866020170.0,0.0,1099254070783235.5,,,
16,17,252233478916932.03,107409.17839564208,1760852047474359.5,364213154549302.6,2289.436874275046,2059394472370431.5,,,,476674960861629.2,0.0,774099168712965.5,,,
17,18,202872847799841.34,59798.085112235574,1349768271930578.0,1141060356202121.2,4552.8921272881835,1488155285709934.8,,,,395251486242185.9,0.0,783870434126342.2,,,
18,19,167777033906384.44,21409.940166922388,1024760171150749.1,867717694998785.1,3083.122274995294,1576116699056546.8,,,,321440908678595.75,0.0,962298220104452.5,,,
19,20,140114468375627.7,5384.546173810352,879877234004719.9,1709494587250101.2,28774.419655484657,1466254764207821.8,408342825797687.44,0.0,1486723826774768.5,1375583272706600.5,0.0,863951763711278.0,408342825797687.44,0.0,1486723826774768.5
20,21,164554575697678.06,469967.18326555553,867368973867873.4,959852882069861.4,18399.069704155005,1098433953343641.6,,,,1794129669202440.5,0.0,898344251211639.5,,,
21,22,181245026929284.06,1637006.7174925683,704816809751609.2,588816243813657.6,12664.98393252521,841463985997578.4,,,,1.3153944423455414e+16,0.0,852754112855401.8,,,
22,23,179310519187253.66,1471466.0734069329,988894570680666.0,538479020979873.44,51799.086773050076,780191211142368.6,,,,8191709582715867.0,0.0,907785555698964.1,,,
23,24,228331055370293.94,5210782.673943313,851085974422863.8,733295646209713.2,5869.960804300372,1776552138104315.0,,,,1666844176149003.2,0.0,751941271426746.5,,,
24,25,307014765547970.6,5832043.023525551,898168801743648.5,764561755900714.0,29743.235942133433,1199085571745689.2,,,,481735801480056.94,0.0,967835104092454.0,,,
25,26,348337629898569.3,210551.8771449458,1460041288439340.2,596836216806390.4,165363.15445694272,1555678023302932.2,,,,342306329297951.44,0.0,1964531529579049.2,,,
26,27,204139336935764.6,188907.75770822368,1116993044082771.0,425341814705806.1,74778.10486482334,1537161506734805.8,,,,301834919161339.8,0.0,1508498720458151.2,,,
27,28,164723876466214.16,158666.7432946451,1123499570351371.9,1043955063649624.9,4583.75300094517,1041609274166628.0,,,,1520103848703368.8,0.0,1653587386425325.5,,,
28,29,173988046932812.88,8045.464307147535,986077340463387.1,6177741465312491.0,868.9364515284183,2168340881270602.0,,,,621034183737688.4,0.0,1139835398032551.2,,,
29,30,167053861296125.97,72560.3917778656,1079807720098119.4,3639009915745836.5,6458.2841449010375,1222489546603372.5,,,,471317377122056.9,0.0,1043599749949871.2,,,
30,31,156240741774334.94,109453.61898750023,980585815146901.5,243838392941103.66,10383.20460305747,1205531297728909.5,1.8368131528620225e+239,0.0,789691993866597.4,1198397025302775.2,0.0,806666187920302.8,1.8368131528620225e+239,0.0,789691993866597.4
31,32,276948734559123.44,69328.5326634464,975821675457866.5,199615228392852.12,60024.57821835915,1320958168008893.8,,,,1185377116019314.8,0.0,867042663762738.6,,,
32,33,251918706887080.44,948458.197414594,1027198477808749.0,193351905151870.47,4660.33699921891,891151550187888.9,363206374380674.2,0.0,751050441634313.6,483672324197076.75,0.0,1103586330358118.9,363206374380674.2,0.0,751050441634313.6
33,34,237819098825251.5,754877.1100273253,1066586361206490.8,239419477320405.3,26363.815976900438,1477881294372789.2,,,,596133946046510.8,0.0,877264363814839.5,,,
