,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,328700172531383.06,98394227.59790921,1125997255001365.2,1321563216254015.0,441689.36357911676,1361147036018694.5,197547917237785.78,230096.2137105338,1018649345347222.9,2926846042231270.0,4024009.347457207,4128704548169519.5,197547917237785.78,230096.2137105338,1018649345347222.9
1,2,346242309171163.6,417572659.67235696,1001445082434298.5,1776215609160516.0,419349.3642913024,1070493392614392.9,231773808888613.84,342539.17929127516,1135210738308416.2,2113312059610879.8,3654298.9101281767,4023914112464486.0,231773808888613.84,342539.17929127516,1135210738308416.2
2,3,790692873327465.2,375543310.5341045,1407066840087003.5,499339276987229.4,1359506.8901333476,1632524974126997.0,335228197936044.6,134333.65617881526,1366991520094965.8,1300129420894449.5,3685708.59061024,5421582798085247.0,335228197936044.6,134333.65617881526,1366991520094965.8
3,4,1201943437260881.5,144809017.59575593,1829987062085143.5,382204846610266.6,637633.2724540964,1077032453594812.4,534433959232089.0,459178.97007804725,1089776292557688.8,678062581394305.6,3190168.247688809,3023002555126420.5,534433959232089.0,459178.97007804725,1089776292557688.8
4,5,1682054181757852.8,70249172.61647585,1770482491128813.0,255304057818335.6,239541.31213720818,813264143450780.2,331480175637435.06,54057.55069409235,1357364780409284.8,876729472155466.8,6428114.682815411,3038774321305443.5,331480175637435.06,54057.55069409235,1357364780409284.8
5,6,3284509216460497.5,112818813.24969701,2163577171980227.0,253884394855662.53,146815.38094848156,871126211316558.1,515883227926920.25,147042.36488428822,1106713140076991.6,767612715573914.8,811322.524431939,1815428586486639.2,515883227926920.25,147042.36488428822,1106713140076991.6
6,7,2932577116349273.5,45828499.40029723,2713730981546939.5,1072244809651012.0,342478.3181806392,965714658926962.9,802624256321316.8,223038.06181988987,1444457214466469.5,1846643131338292.2,2459156.794493273,3047670809313749.0,802624256321316.8,223038.06181988987,1444457214466469.5
7,8,3221717180948688.5,40314281.79039569,2872150098670500.0,2678781588016106.5,423311.2385806991,997709534555304.4,724375042287911.9,394567.43849842966,1080926082927614.9,2830941474133688.0,3620369.509911182,2176062226632656.8,724375042287911.9,394567.43849842966,1080926082927614.9
8,9,1763704273143687.2,132835357.18431628,2072608704986029.2,1216313250247919.0,275852.5057987238,1231056073626323.2,994648859021242.4,626285.9116787938,1050357183032692.1,2669714142819542.5,5732797.020866021,2173894019432952.2,994648859021242.4,626285.9116787938,1050357183032692.1
9,10,841175109740527.9,96254214.92501247,1971094307484717.0,944570908750110.5,1511462.4476480829,1253677129509241.2,1362965021366043.2,183788.49468100845,1107853487905488.6,3835585522876534.0,3195745.2981509613,1997238779250820.5,1362965021366043.2,183788.49468100845,1107853487905488.6
10,11,464527613142089.06,82439473.57684666,2443653022142073.5,1039622251254728.5,590260.8540669734,1600966896571370.2,1745863400183139.5,1610073.4700371,1025151845324688.6,4842940008129046.0,1231994.255021601,2461454051409920.5,1745863400183139.5,1610073.4700371,1025151845324688.6
11,12,336555792249885.7,57556507.411953524,1607094365580793.8,809061117679418.5,241592.31534209303,1313445035593974.8,558607874321433.25,598773.9248416912,1008056935881594.6,6515711511146045.0,900663.3847161197,3348371992331360.5,558607874321433.25,598773.9248416912,1008056935881594.6
12,13,244569457488584.94,49172348.99072535,1649925873033647.5,4174722178590157.5,748863.4724814303,1288974190758943.8,571217057269663.5,674676.5992021358,977702039866606.5,2531726578108797.5,7634026.392942103,4469743421489229.5,571217057269663.5,674676.5992021358,977702039866606.5
13,14,335411975741859.75,50396764.78118471,1353677282525605.0,4564021557368119.0,1660199.439280221,1630323803514534.8,317369396068041.4,340436.97539172985,737250792253571.1,3029736771906387.5,3898265.5977588985,6963216430148756.0,317369396068041.4,340436.97539172985,737250792253571.1
14,15,384540116653457.7,169699958.46906447,1759836824414892.5,1727591669084944.2,588376.6262362658,1056773031929899.6,327663425989282.4,159174.88408863466,760833437472855.1,3802409838156969.0,1292626.0496991344,5673800514042638.0,327663425989282.4,159174.88408863466,760833437472855.1
15,16,402736520689526.0,27987764.099750813,1762271709058153.0,3459574410667613.0,1047427.9983077054,1297928607066434.0,254183367244554.88,355794.9124902221,762496046257253.2,5199097759562850.0,758577.1275689497,7264858851834324.0,254183367244554.88,355794.9124902221,762496046257253.2
16,17,350338087972252.8,25307782.394844793,2058718766472553.8,2581441768031192.5,187710.61534776993,1243009826487811.5,240864951357375.5,114514.21093292288,810339351209229.5,3725789946740527.0,722418.7272377968,4504706816934387.0,240864951357375.5,114514.21093292288,810339351209229.5
17,18,334316238833339.25,37251946.23088648,1390261384671269.8,1834549072056475.5,387797.1119771457,1346536470340929.2,253423838747072.4,53512.11388681117,917988465217372.4,2984507712395978.0,6242454.385486364,3978639652280353.5,253423838747072.4,53512.11388681117,917988465217372.4
18,19,301170308947676.6,117303784.65482017,1143779332285937.5,838367283724569.5,787936.046284624,1806661415417954.2,195076823033253.22,17315.639818241565,927406818321039.4,2917759033508281.0,10214509.992319662,6215659115384856.0,195076823033253.22,17315.639818241565,927406818321039.4
19,20,252345813083379.62,280418335.9849834,1009557711928903.4,1981243654914305.2,486699.2554910357,1634509356208474.8,213640368108291.06,264287.0631928894,1127791504315833.0,2074987571498337.2,2154918.5094330446,5741218344156301.0,213640368108291.06,264287.0631928894,1127791504315833.0
20,21,455545443469165.6,458066100.92402345,1670757753003916.5,1138987606328356.5,1261510.7231334131,1245363361262320.5,240634056941317.34,377840.4213445078,1081557443157087.1,2455802316664515.5,12870716.393061476,4023403440962884.0,240634056941317.34,377840.4213445078,1081557443157087.1
21,22,717514706014589.2,248093076.0542371,1325953107518945.2,624071271649787.9,728750.8867486616,1484313813197709.8,281916545763662.5,210728.86242847051,1253029394761436.8,1327563315481968.8,21688136.314162906,4154845839859272.0,281916545763662.5,210728.86242847051,1253029394761436.8
22,23,1040194071679606.8,79177068.61186796,1798130054857246.8,317901136104343.9,1187709.2574473547,1049045480124712.5,373153694465709.06,103599.539027188,1609416707781618.8,1087827372404950.0,12809915.271770272,4202759664436439.5,373153694465709.06,103599.539027188,1609416707781618.8
23,24,1595278065727729.2,77320403.18349035,1924900416889724.5,289287321358625.2,458423.8932448579,893294497102613.9,603366777937085.6,10943.07932040372,1138437627325101.0,1181672991901970.8,8509041.195736907,2263207542092443.0,603366777937085.6,10943.07932040372,1138437627325101.0
