,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,159.16324920654296,136.1642303466797,193.4249267578125,165.0689895629883,136.63172912597656,190.1732177734375,159.522780863444,133.72486877441406,194.6818084716797,164.71378021240236,142.981201171875,193.7588348388672,158.47917785644532,132.88267517089844,180.8381805419922
1,2,159.16324920654296,136.1642303466797,193.4249267578125,165.0689895629883,136.63172912597656,190.1732177734375,159.522780863444,133.72486877441406,194.6818084716797,164.71378021240236,142.981201171875,193.7588348388672,158.47917785644532,132.88267517089844,180.8381805419922
2,3,159.52165044148762,134.91915893554688,191.81558227539062,164.0256322224935,137.33303833007812,187.08448791503906,159.18431243896484,133.30206298828125,195.154296875,165.30507253011066,143.26527404785156,190.0333709716797,158.53016459147136,134.26217651367188,179.79359436035156
3,4,159.52165044148762,134.91915893554688,191.81558227539062,164.0256322224935,137.33303833007812,187.08448791503906,159.18431243896484,133.30206298828125,195.154296875,165.30507253011066,143.26527404785156,190.0333709716797,158.53016459147136,134.26217651367188,179.79359436035156
4,5,158.33453394571941,132.02084350585938,186.89503479003906,163.09976145426432,136.0306854248047,187.785888671875,158.6384511311849,134.9874267578125,197.14549255371094,166.48980051676432,143.61557006835938,193.5325469970703,158.65934143066406,133.876953125,179.38465881347656
5,6,165.4294876098633,137.1696319580078,191.64358520507812,170.2994155883789,142.16978454589844,196.27392578125,166.46368560791015,142.43203735351562,207.86209106445312,174.31946665445963,154.16351318359375,201.08856201171875,165.34350128173827,141.19528198242188,186.43112182617188
6,7,161.4873311360677,132.31068420410156,187.765869140625,164.97543640136718,138.3213348388672,189.49365234375,163.10077616373698,137.488037109375,204.9736785888672,170.45842844645182,148.1232147216797,193.18374633789062,163.0362340291341,140.4501495361328,188.2729949951172
7,8,161.4873311360677,132.31068420410156,187.765869140625,164.97543640136718,138.3213348388672,189.49365234375,163.10077616373698,137.488037109375,204.9736785888672,170.45842844645182,148.1232147216797,193.18374633789062,163.0362340291341,140.4501495361328,188.2729949951172
8,9,160.5352928161621,128.50474548339844,186.6687469482422,162.71903127034506,139.92286682128906,185.54644775390625,161.5865280151367,135.82505798339844,201.7240447998047,169.18838857014973,146.6543731689453,189.72055053710938,162.78562723795574,137.909423828125,192.65216064453125
9,10,164.6563501993815,129.30435180664062,191.86753845214844,167.16537628173828,144.76058959960938,191.6719207763672,166.67369740804037,136.92431640625,202.68136596679688,174.48302307128907,151.41500854492188,198.14797973632812,168.93182957967122,142.63844299316406,197.34010314941406
10,11,164.6563501993815,129.30435180664062,191.86753845214844,167.16537628173828,144.76058959960938,191.6719207763672,166.67369740804037,136.92431640625,202.68136596679688,174.48302307128907,151.41500854492188,198.14797973632812,168.93182957967122,142.63844299316406,197.34010314941406
11,12,169.19760182698568,135.31802368164062,196.593994140625,170.8287846883138,146.8921356201172,197.86695861816406,170.21227645874023,139.01568603515625,202.9702606201172,178.24937133789064,155.6079864501953,206.80735778808594,170.3258260091146,144.73155212402344,196.02610778808594
12,13,170.87908833821615,136.47698974609375,200.3585662841797,172.17332763671874,144.7781982421875,199.00885009765625,171.06475143432618,138.48365783691406,205.81732177734375,180.53947957356772,159.20118713378906,215.25726318359375,171.15345204671223,144.84027099609375,197.05140686035156
13,14,166.39838307698568,133.62747192382812,193.70361328125,167.9609837849935,140.10630798339844,191.68441772460938,166.59351094563803,133.00714111328125,201.9904022216797,176.55738271077473,151.79605102539062,214.23204040527344,165.5833526611328,142.64706420898438,191.4207763671875
14,15,166.39838307698568,133.62747192382812,193.70361328125,167.9609837849935,140.10630798339844,191.68441772460938,166.59351094563803,133.00714111328125,201.9904022216797,176.55738271077473,151.79605102539062,214.23204040527344,165.5833526611328,142.64706420898438,191.4207763671875
15,16,158.27284189860026,127.81083679199219,184.88092041015625,159.72438252766926,131.79544067382812,181.2503662109375,156.80996170043946,125.88368225097656,187.6077423095703,167.69596201578776,143.12506103515625,202.2498016357422,159.652783203125,136.41244506835938,185.42306518554688
16,17,156.03644917805988,128.96426391601562,181.728271484375,157.3594223022461,131.5514678955078,177.60650634765625,154.74453048706056,126.95838928222656,184.33929443359375,163.38066558837892,138.06163024902344,196.29898071289062,157.39899037679035,131.14540100097656,184.12985229492188
17,18,156.03644917805988,128.96426391601562,181.728271484375,157.3594223022461,131.5514678955078,177.60650634765625,154.74453048706056,126.95838928222656,184.33929443359375,163.38066558837892,138.06163024902344,196.29898071289062,157.39899037679035,131.14540100097656,184.12985229492188
18,19,159.30768254597982,130.28712463378906,184.5281524658203,159.9668416341146,131.22357177734375,180.83514404296875,157.8319869995117,126.77119445800781,186.4542999267578,166.4905237833659,140.40390014648438,197.94113159179688,160.17050120035807,134.21807861328125,188.74124145507812
19,20,162.80026575724284,126.70536041259766,188.93182373046875,163.13013865152996,133.81703186035156,187.08804321289062,161.36875661214194,127.24720764160156,192.3748779296875,170.5687505086263,143.21014404296875,204.8785858154297,162.3724235534668,136.44387817382812,190.36624145507812
20,21,159.4660530090332,123.52347564697266,185.91229248046875,159.91725209554036,129.39688110351562,185.63662719726562,158.8773531595866,125.44230651855469,187.3504638671875,167.9982467651367,139.98550415039062,200.4881591796875,157.6823844909668,131.3514862060547,183.67645263671875
21,22,159.4660530090332,123.52347564697266,185.91229248046875,159.91725209554036,129.39688110351562,185.63662719726562,158.8773531595866,125.44230651855469,187.3504638671875,167.9982467651367,139.98550415039062,200.4881591796875,157.6823844909668,131.3514862060547,183.67645263671875
22,23,184.96554921468098,143.40341186523438,214.4552001953125,186.19734954833984,150.12367248535156,216.21026611328125,185.40754292805988,148.08782958984375,219.09500122070312,196.36756083170573,163.7919158935547,238.15325927734375,184.2315241495768,151.72727966308594,214.19125366210938
23,24,186.24012095133463,143.82672119140625,213.68341064453125,188.00718536376954,157.5174560546875,216.40773010253906,187.73534927368163,150.15219116210938,222.3682403564453,198.95877227783203,164.65908813476562,231.77310180664062,190.84564641316732,158.0354461669922,219.19229125976562
24,25,220.34332631429035,176.93609619140625,249.61871337890625,222.6739247639974,192.3571319580078,258.1932678222656,221.57315775553386,179.82740783691406,256.5481872558594,234.15404408772787,197.21937561035156,265.0549011230469,222.3494893391927,183.66604614257812,256.14361572265625
25,26,220.34332631429035,176.93609619140625,249.61871337890625,222.6739247639974,192.3571319580078,258.1932678222656,221.57315775553386,179.82740783691406,256.5481872558594,234.15404408772787,197.21937561035156,265.0549011230469,222.3494893391927,183.66604614257812,256.14361572265625
26,27,234.47788696289064,192.1297607421875,271.4925842285156,236.22086639404296,204.75570678710938,275.0274353027344,233.4577173868815,187.13360595703125,269.4593200683594,245.17814076741536,205.9580841064453,271.0335693359375,234.23060963948566,195.20333862304688,269.8229064941406
27,28,221.36676686604818,186.08168029785156,263.97320556640625,222.0822530110677,186.67352294921875,258.3096008300781,219.9784362792969,174.89627075195312,249.04608154296875,230.3810038248698,186.2798614501953,266.42486572265625,224.66908620198566,186.15057373046875,267.2884521484375
28,29,221.36676686604818,186.08168029785156,263.97320556640625,222.0822530110677,186.67352294921875,258.3096008300781,219.9784362792969,174.89627075195312,249.04608154296875,230.3810038248698,186.2798614501953,266.42486572265625,224.66908620198566,186.15057373046875,267.2884521484375
29,30,164.39547729492188,131.16941833496094,197.33053588867188,168.08926798502605,141.7758331298828,199.4216766357422,163.12066879272462,129.92918395996094,184.2401580810547,171.91207911173504,128.3099822998047,204.09445190429688,169.88601786295573,141.18035888671875,204.57354736328125
30,31,138.05422846476236,110.80488586425781,165.0106964111328,139.1534164428711,116.51258850097656,166.7356719970703,136.6225207010905,111.53351593017578,153.1827392578125,146.22804463704426,112.94195556640625,177.45448303222656,141.76267369588217,119.17414855957031,174.5741424560547
31,32,136.1435640970866,107.87742614746094,159.9475555419922,138.23331502278646,117.68446350097656,161.18804931640625,134.57042490641277,110.72676849365234,156.4702606201172,146.25451253255207,117.25995635986328,174.24594116210938,138.26996714274088,115.39363098144531,167.0936737060547
32,33,136.1435640970866,107.87742614746094,159.9475555419922,138.23331502278646,117.68446350097656,161.18804931640625,134.57042490641277,110.72676849365234,156.4702606201172,146.25451253255207,117.25995635986328,174.24594116210938,138.26996714274088,115.39363098144531,167.0936737060547
33,34,136.54274037679036,109.54264831542969,162.13983154296875,138.26618677775065,120.96168518066406,157.19163513183594,134.0900410970052,107.96449279785156,158.8147430419922,146.95749638875324,117.60540008544922,180.46498107910156,135.44294179280598,114.18616485595703,162.2618408203125
34,35,161.43099161783854,126.72300720214844,190.37518310546875,162.75181986490887,141.44281005859375,192.6654052734375,159.7757349650065,126.6148681640625,188.9675750732422,174.55959828694662,138.79673767089844,212.86904907226562,157.8893898010254,123.7805404663086,188.0286102294922
35,36,161.43099161783854,126.72300720214844,190.37518310546875,162.75181986490887,141.44281005859375,192.6654052734375,159.7757349650065,126.6148681640625,188.9675750732422,174.55959828694662,138.79673767089844,212.86904907226562,157.8893898010254,123.7805404663086,188.0286102294922
36,37,181.53464050292968,145.86898803710938,208.58506774902344,186.5163126627604,164.08935546875,226.87721252441406,181.5335474650065,141.2545623779297,215.47012329101562,198.90450744628907,159.80484008789062,243.7271270751953,178.55458119710286,136.58192443847656,208.14208984375
37,38,156.72799682617188,131.917236328125,191.04400634765625,164.30858510335287,140.6831512451172,188.39727783203125,157.97437235514323,130.22119140625,188.98898315429688,164.22681681315103,140.65890502929688,196.9366912841797,156.48261032104492,126.26589965820312,174.20587158203125
38,39,156.72799682617188,131.917236328125,191.04400634765625,164.30858510335287,140.6831512451172,188.39727783203125,157.97437235514323,130.22119140625,188.98898315429688,164.22681681315103,140.65890502929688,196.9366912841797,156.48261032104492,126.26589965820312,174.20587158203125
39,40,159.01198603312176,131.61376953125,193.8211669921875,164.94385172526043,140.05824279785156,189.19046020507812,159.3828437805176,132.1053466796875,194.07676696777344,166.2434102376302,140.81124877929688,196.24928283691406,158.0106165568034,130.43470764160156,179.9210662841797
40,41,159.01198603312176,131.61376953125,193.8211669921875,164.94385172526043,140.05824279785156,189.19046020507812,159.3828437805176,132.1053466796875,194.07676696777344,166.2434102376302,140.81124877929688,196.24928283691406,158.0106165568034,130.43470764160156,179.9210662841797
41,42,160.95619379679363,132.64759826660156,193.5334930419922,165.5785380045573,137.67312622070312,191.29922485351562,161.23352788289387,135.00128173828125,196.95668029785156,168.68249053955077,147.0415496826172,198.09217834472656,160.45612284342448,133.36224365234375,182.04132080078125
42,43,164.41371180216473,134.92091369628906,193.00537109375,168.0916010538737,141.15432739257812,191.61541748046875,164.23312021891277,139.61813354492188,204.8907928466797,172.17296193440754,151.61187744140625,199.91104125976562,163.31943003336588,137.27017211914062,183.171875
43,44,167.85613861083985,138.0791473388672,195.8994140625,169.37545928955078,143.40103149414062,191.55023193359375,166.54966735839844,141.27310180664062,210.5717010498047,173.2768559773763,152.029296875,197.87347412109375,166.20172373453775,142.7787322998047,187.06735229492188
44,45,167.85613861083985,138.0791473388672,195.8994140625,169.37545928955078,143.40103149414062,191.55023193359375,166.54966735839844,141.27310180664062,210.5717010498047,173.2768559773763,152.029296875,197.87347412109375,166.20172373453775,142.7787322998047,187.06735229492188
45,46,161.1651700337728,130.8059844970703,188.46005249023438,163.05349833170573,139.91868591308594,185.88739013671875,161.68331349690754,134.00706481933594,204.83815002441406,168.81070607503256,146.73590087890625,193.40042114257812,161.42658208211262,138.69332885742188,186.0708770751953
46,47,165.71603240966797,133.05044555664062,195.1343536376953,166.96552632649738,146.16896057128906,186.08486938476562,166.26056620279948,137.51470947265625,204.40988159179688,172.94159647623698,151.68150329589844,199.401611328125,167.6729995727539,141.38150024414062,193.7796173095703
47,48,165.71603240966797,133.05044555664062,195.1343536376953,166.96552632649738,146.16896057128906,186.08486938476562,166.26056620279948,137.51470947265625,204.40988159179688,172.94159647623698,151.68150329589844,199.401611328125,167.6729995727539,141.38150024414062,193.7796173095703
48,49,161.195033009847,127.74665832519531,189.7277069091797,162.35186411539715,136.49526977539062,183.6842041015625,161.47990798950195,129.728515625,196.38319396972656,168.25264383951824,145.00131225585938,200.33958435058594,160.36850229899088,133.74551391601562,186.48037719726562
49,50,170.87908833821615,136.47698974609375,200.3585662841797,172.17332763671874,144.7781982421875,199.00885009765625,171.06475143432618,138.48365783691406,205.81732177734375,180.53947957356772,159.20118713378906,215.25726318359375,171.15345204671223,144.84027099609375,197.05140686035156
50,51,166.39838307698568,133.62747192382812,193.70361328125,167.9609837849935,140.10630798339844,191.68441772460938,166.59351094563803,133.00714111328125,201.9904022216797,176.55738271077473,151.79605102539062,214.23204040527344,165.5833526611328,142.64706420898438,191.4207763671875
51,52,166.39838307698568,133.62747192382812,193.70361328125,167.9609837849935,140.10630798339844,191.68441772460938,166.59351094563803,133.00714111328125,201.9904022216797,176.55738271077473,151.79605102539062,214.23204040527344,165.5833526611328,142.64706420898438,191.4207763671875
52,53,158.27284189860026,127.81083679199219,184.88092041015625,159.72438252766926,131.79544067382812,181.2503662109375,156.80996170043946,125.88368225097656,187.6077423095703,167.69596201578776,143.12506103515625,202.2498016357422,159.652783203125,136.41244506835938,185.42306518554688
53,54,156.03644917805988,128.96426391601562,181.728271484375,157.3594223022461,131.5514678955078,177.60650634765625,154.74453048706056,126.95838928222656,184.33929443359375,163.38066558837892,138.06163024902344,196.29898071289062,157.39899037679035,131.14540100097656,184.12985229492188
54,55,156.03644917805988,128.96426391601562,181.728271484375,157.3594223022461,131.5514678955078,177.60650634765625,154.74453048706056,126.95838928222656,184.33929443359375,163.38066558837892,138.06163024902344,196.29898071289062,157.39899037679035,131.14540100097656,184.12985229492188
55,56,159.30768254597982,130.28712463378906,184.5281524658203,159.9668416341146,131.22357177734375,180.83514404296875,157.8319869995117,126.77119445800781,186.4542999267578,166.4905237833659,140.40390014648438,197.94113159179688,160.17050120035807,134.21807861328125,188.74124145507812
56,57,162.80026575724284,126.70536041259766,188.93182373046875,163.13013865152996,133.81703186035156,187.08804321289062,161.36875661214194,127.24720764160156,192.3748779296875,170.5687505086263,143.21014404296875,204.8785858154297,162.3724235534668,136.44387817382812,190.36624145507812
57,58,159.4660530090332,123.52347564697266,185.91229248046875,159.91725209554036,129.39688110351562,185.63662719726562,158.8773531595866,125.44230651855469,187.3504638671875,167.9982467651367,139.98550415039062,200.4881591796875,157.6823844909668,131.3514862060547,183.67645263671875
58,59,159.4660530090332,123.52347564697266,185.91229248046875,159.91725209554036,129.39688110351562,185.63662719726562,158.8773531595866,125.44230651855469,187.3504638671875,167.9982467651367,139.98550415039062,200.4881591796875,157.6823844909668,131.3514862060547,183.67645263671875
59,60,184.96554921468098,143.40341186523438,214.4552001953125,186.19734954833984,150.12367248535156,216.21026611328125,185.40754292805988,148.08782958984375,219.09500122070312,196.36756083170573,163.7919158935547,238.15325927734375,184.2315241495768,151.72727966308594,214.19125366210938
60,61,186.24012095133463,143.82672119140625,213.68341064453125,188.00718536376954,157.5174560546875,216.40773010253906,187.73534927368163,150.15219116210938,222.3682403564453,198.95877227783203,164.65908813476562,231.77310180664062,190.84564641316732,158.0354461669922,219.19229125976562
61,62,220.34332631429035,176.93609619140625,249.61871337890625,222.6739247639974,192.3571319580078,258.1932678222656,221.57315775553386,179.82740783691406,256.5481872558594,234.15404408772787,197.21937561035156,265.0549011230469,222.3494893391927,183.66604614257812,256.14361572265625
