,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,134764535863191.03,8455493.39650434,585393955499235.6,198623362343543.78,2753883.548433806,565127105510424.6,612912368005982.6,706322.497470729,1128578959721259.0,1433305023417987.2,271622.38693535066,2755175053694613.5,113417141127054.77,1662617.0454160029,823824152729107.6
1,2,128303640710007.36,7136850.021192929,571779446080706.0,321111143288958.06,2212470.395834994,675558633524026.5,165349762256446.4,1433027.4546334196,851413304677929.8,3497912530140654.0,425428.54323717556,3909943153787190.5,131187402719688.66,5238969.636421527,729862482032734.5
2,3,107525488409962.42,2193986.216037695,634735157289893.6,244476473223947.97,2815166.947682673,856361992721989.8,160122682606580.5,1060339.974704851,682407629968544.0,1387933332509875.0,64206.82198931966,3827702905416882.5,173109414745104.0,556663.3102867492,964951302037255.5
3,4,86151989929818.52,3571270.155136728,269460411236042.34,269628175221095.9,1279030.5986170967,1038105305585211.6,166442016392031.5,874432.7772787904,800301314725679.4,1182465480287205.8,221394.5879456758,3458817183902132.5,155346780613501.7,1489039.447358707,664770937368126.5
4,5,100233265914685.84,372781.4010737333,553600326176638.94,354452975580948.4,1749095.5044450369,1134360012664650.2,177302536217464.12,660546.1306722963,890237795724913.8,593194773296723.9,108711.31906567948,2194458215805527.0,223135922398490.06,535648.4364237025,593195441540787.0
5,6,89060307969711.33,2288405.998619885,587972761201658.1,301037325994296.75,6223133.020862995,1116190234105118.1,138112007420847.36,34975.660503397885,528233699149448.94,506959571849354.75,1530566.8697754615,2176043597052847.2,447935384241411.1,752302.6111894918,696720071634081.0
6,7,104893459143873.27,4065453.609622575,739482054358453.5,539685598695712.44,3222865.109613566,692941547301855.0,111422103687272.86,233068.25698737666,443277980685157.1,896308562313912.6,1088745.774763687,3546755564980990.5,613387717566345.8,1435340.2983627564,602122021039955.9
7,8,92548808555724.66,5713093.70192396,433550054044026.9,1528982437242990.2,3051569.909987843,924842293527960.1,88198515733606.03,252887.81931680077,378977612900882.7,1006219416438290.5,42517.21543581905,2749302115323730.0,860763580554477.4,971998.9521512432,698073872144587.5
8,9,130626173612175.31,1410605.9983569975,578592901779650.5,854333689812860.4,2682870.646999789,817545876811715.8,117704713373114.03,1910897.5323833444,592130746139951.5,5988404038860527.0,149618.02578900795,2622800940412556.0,789819260808672.0,1593187.9047654746,902921666298368.0
9,10,146815096652616.56,2136601.674279351,729824256554645.0,152398058362918.66,2917654.49866482,913723697031272.1,124362748836784.17,1356599.5233323209,565373341648465.8,1.0945724345289692e+16,31928.189115710236,3055737723421914.0,1027554260941940.8,2455529.788716296,1724157940378580.0
