,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,15.2,9.950000000000001,22.0,15.916666666666666,10.0,25.0,16.175,10.0,25.0,18.716666666666665,11.0,31.0,15.404166666666667,10.0,23.0
1,2,15.2,9.950000000000001,22.0,15.916666666666666,10.0,25.0,16.175,10.0,25.0,18.716666666666665,11.0,31.0,15.404166666666667,10.0,23.0
2,3,14.9625,9.950000000000001,23.0,15.75,9.0,25.0,15.875,9.950000000000001,24.049999999999983,18.5,11.0,29.0,15.075,10.0,23.0
3,4,14.9625,9.950000000000001,23.0,15.75,9.0,25.0,15.875,9.950000000000001,24.049999999999983,18.5,11.0,29.0,15.075,10.0,23.0
4,5,15.495833333333334,10.0,23.0,16.529166666666665,10.0,25.0,16.225,10.0,26.0,18.845833333333335,11.0,29.0,15.7375,10.0,23.049999999999983
5,6,15.104166666666666,9.0,22.049999999999983,16.258333333333333,10.0,25.049999999999983,16.05,10.0,25.0,19.004166666666666,11.0,28.0,15.470833333333333,10.0,24.0
6,7,15.595833333333333,10.0,24.0,16.5,10.0,25.049999999999983,16.3,9.0,26.049999999999983,19.233333333333334,11.0,29.049999999999983,15.845833333333333,10.0,25.0
7,8,15.595833333333333,10.0,24.0,16.5,10.0,25.049999999999983,16.3,9.0,26.049999999999983,19.233333333333334,11.0,29.049999999999983,15.845833333333333,10.0,25.0
8,9,15.795833333333333,10.0,24.0,16.483333333333334,10.0,26.0,16.3375,9.0,25.0,19.316666666666666,12.0,29.0,15.9625,10.0,25.0
9,10,15.920833333333333,10.0,25.0,16.791666666666668,10.0,25.049999999999983,16.508333333333333,10.0,27.0,19.358333333333334,11.950000000000001,29.0,16.0,10.0,24.049999999999983
10,11,15.920833333333333,10.0,25.0,16.791666666666668,10.0,25.049999999999983,16.508333333333333,10.0,27.0,19.358333333333334,11.950000000000001,29.0,16.0,10.0,24.049999999999983
11,12,15.066666666666666,9.950000000000001,22.0,16.058333333333334,9.0,25.0,15.629166666666666,9.950000000000001,24.049999999999983,18.895833333333332,11.0,29.0,15.716666666666667,10.0,24.049999999999983
12,13,15.595833333333333,10.0,23.0,16.204166666666666,10.0,25.0,16.1875,9.0,25.049999999999983,19.166666666666668,11.0,29.0,15.554166666666667,10.0,23.049999999999983
13,14,15.454166666666667,9.0,24.0,15.858333333333333,10.0,24.0,15.491666666666667,10.0,24.0,18.929166666666667,11.0,29.049999999999983,15.716666666666667,9.950000000000001,24.0
14,15,15.454166666666667,9.0,24.0,15.858333333333333,10.0,24.0,15.491666666666667,10.0,24.0,18.929166666666667,11.0,29.049999999999983,15.716666666666667,9.950000000000001,24.0
15,16,15.283333333333333,9.0,24.0,15.8125,10.0,25.0,15.275,9.0,23.0,18.870833333333334,11.0,29.0,15.466666666666667,10.0,23.0
16,17,14.866666666666667,9.0,22.0,15.325,10.0,23.0,15.195833333333333,10.0,24.0,18.4,11.0,28.0,15.216666666666667,10.0,23.0
17,18,14.866666666666667,9.0,22.0,15.325,10.0,23.0,15.195833333333333,10.0,24.0,18.4,11.0,28.0,15.216666666666667,10.0,23.0
18,19,14.65,9.0,22.049999999999983,15.670833333333333,10.0,24.049999999999983,15.079166666666667,9.950000000000001,23.0,17.804166666666667,11.0,27.049999999999983,15.270833333333334,10.0,23.0
19,20,15.204166666666667,9.0,22.049999999999983,16.2,10.0,25.049999999999983,15.654166666666667,10.0,24.0,18.270833333333332,11.0,28.0,15.745833333333334,10.0,25.0
20,21,15.879166666666666,10.0,26.0,16.891666666666666,11.0,28.0,16.083333333333332,11.0,24.049999999999983,18.8375,11.950000000000001,30.049999999999983,16.2125,10.0,25.049999999999983
21,22,15.879166666666666,10.0,26.0,16.891666666666666,11.0,28.0,16.083333333333332,11.0,24.049999999999983,18.8375,11.950000000000001,30.049999999999983,16.2125,10.0,25.049999999999983
22,23,15.8,10.0,25.0,16.704166666666666,10.0,27.0,16.0125,10.0,25.0,18.5,12.0,31.0,16.0875,10.0,25.049999999999983
23,24,15.4875,10.0,24.0,16.633333333333333,10.0,25.0,15.804166666666667,9.950000000000001,24.0,17.945833333333333,12.0,27.0,16.083333333333332,10.0,24.0
24,25,14.025,9.0,23.0,14.8625,9.0,23.0,14.033333333333333,9.0,21.049999999999983,16.670833333333334,10.0,26.0,14.479166666666666,9.0,22.0
25,26,14.025,9.0,23.0,14.8625,9.0,23.0,14.033333333333333,9.0,21.049999999999983,16.670833333333334,10.0,26.0,14.479166666666666,9.0,22.0
26,27,13.425,8.0,21.049999999999983,14.191666666666666,9.0,22.0,13.495833333333334,8.0,20.0,15.7875,10.0,25.0,14.104166666666666,8.950000000000001,22.0
27,28,13.783333333333333,9.0,22.0,14.254166666666666,9.0,22.0,13.545833333333333,8.0,21.049999999999983,15.604166666666666,10.0,26.0,14.170833333333333,9.0,22.0
28,29,13.783333333333333,9.0,22.0,14.254166666666666,9.0,22.0,13.545833333333333,8.0,21.049999999999983,15.604166666666666,10.0,26.0,14.170833333333333,9.0,22.0
29,30,14.7125,10.0,23.0,15.604166666666666,10.0,25.0,14.675,9.0,22.0,17.225,10.950000000000001,25.049999999999983,15.291666666666666,9.950000000000001,24.0
