,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,4.61724374294281,3.8970136642456055,5.586355209350586,5.885847043991089,4.761492729187012,6.874764442443848,5.3034072081247965,4.592535495758057,5.762015342712402,8.409417756398518,7.274908542633057,9.930587768554688,5.3034072081247965,4.592535495758057,5.762015342712402
1,2,4.61724374294281,3.8970136642456055,5.586355209350586,5.885847043991089,4.761492729187012,6.874764442443848,5.3034072081247965,4.592535495758057,5.762015342712402,8.409417756398518,7.274908542633057,9.930587768554688,5.3034072081247965,4.592535495758057,5.762015342712402
2,3,4.432326992352803,3.71030855178833,5.387032508850098,5.70760547320048,4.6068220138549805,6.689483642578125,5.1290045261383055,4.415200233459473,5.58292818069458,8.238791195551554,7.1401190757751465,9.716858863830566,5.1290045261383055,4.415200233459473,5.58292818069458
3,4,4.432326992352803,3.71030855178833,5.387032508850098,5.70760547320048,4.6068220138549805,6.689483642578125,5.1290045261383055,4.415200233459473,5.58292818069458,8.238791195551554,7.1401190757751465,9.716858863830566,5.1290045261383055,4.415200233459473,5.58292818069458
4,5,4.135878451665243,3.41091251373291,5.076840400695801,5.412077895800272,4.317349910736084,6.39534854888916,4.830879243214925,4.113150119781494,5.303275108337402,7.935174338022867,6.830160617828369,9.41077995300293,4.830879243214925,4.113150119781494,5.303275108337402
5,6,3.6481624444325766,2.932316541671753,4.582372665405273,4.914927236239115,3.8722732067108154,5.9010210037231445,4.3352255582809445,3.6097073554992676,4.82797908782959,7.447645537058512,6.324895858764648,8.962599754333496,4.3352255582809445,3.6097073554992676,4.82797908782959
6,7,3.1808900117874144,2.451904773712158,4.161949634552002,4.452733596165975,3.358530282974243,5.485334396362305,3.8762889305750527,3.113825798034668,4.413666248321533,6.998810450236003,5.815460205078125,8.56554889678955,3.8762889305750527,3.113825798034668,4.413666248321533
7,8,3.1808900117874144,2.451904773712158,4.161949634552002,4.452733596165975,3.358530282974243,5.485334396362305,3.8762889305750527,3.113825798034668,4.413666248321533,6.998810450236003,5.815460205078125,8.56554889678955,3.8762889305750527,3.113825798034668,4.413666248321533
8,9,3.01165718237559,2.273641586303711,4.005830764770508,4.292238934834798,3.2071776390075684,5.321188449859619,3.71530388991038,2.929358720779419,4.25167989730835,6.824949995676676,5.619691848754883,8.405632972717285,3.71530388991038,2.929358720779419,4.25167989730835
9,10,3.2852572202682495,2.545670509338379,4.243035316467285,4.565739719072978,3.4974684715270996,5.561211109161377,3.990806253751119,3.219292640686035,4.496042728424072,7.1034934520721436,5.928336143493652,8.646910667419434,3.990806253751119,3.219292640686035,4.496042728424072
10,11,3.2852572202682495,2.545670509338379,4.243035316467285,4.565739719072978,3.4974684715270996,5.561211109161377,3.990806253751119,3.219292640686035,4.496042728424072,7.1034934520721436,5.928336143493652,8.646910667419434,3.990806253751119,3.219292640686035,4.496042728424072
11,12,3.535287340482076,2.7683260440826416,4.49574089050293,4.821130649248759,3.770379066467285,5.800959587097168,4.2398559808731076,3.4635167121887207,4.741598129272461,7.3528883775075276,6.167166709899902,8.909870147705078,4.2398559808731076,3.4635167121887207,4.741598129272461
12,13,3.6390822172164916,2.8765697479248047,4.603514671325684,4.926658542950948,3.8436028957366943,5.911789417266846,4.343514442443848,3.5688908100128174,4.8421478271484375,7.472719526290893,6.290497779846191,9.058398246765137,4.343514442443848,3.5688908100128174,4.8421478271484375
