,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,0.6140565872192383,0.0,0.0,0.7108200073242188,0.0,0.0,0.6673736572265625,0.0,0.0,0.8346069971720378,0.0,0.0,0.6673736572265625,0.0,0.0
1,2,0.6140565872192383,0.0,0.0,0.7108200073242188,0.0,0.0,0.6673736572265625,0.0,0.0,0.8346069971720378,0.0,0.0,0.6673736572265625,0.0,0.0
2,3,0.6109201431274414,0.0,0.0,0.7067521413167318,0.0,0.0,0.6642653783162434,0.0,0.0,0.8318640391031901,0.0,0.0,0.6642653783162434,0.0,0.0
3,4,0.6109201431274414,0.0,0.0,0.7067521413167318,0.0,0.0,0.6642653783162434,0.0,0.0,0.8318640391031901,0.0,0.0,0.6642653783162434,0.0,0.0
4,5,0.6022884368896484,0.0,0.0,0.6983386357625325,0.0,0.0,0.6564406712849935,0.0,0.0,0.8257699966430664,0.0,0.0,0.6564406712849935,0.0,0.0
5,6,0.5879237492879231,0.0,0.0,0.6847838719685873,0.0,0.0,0.6421575546264648,0.0,0.0,0.8152338027954101,0.0,0.0,0.6421575546264648,0.0,0.0
6,7,0.5778863271077473,0.0,0.0,0.6760646184285481,0.0,0.0,0.6327045440673829,0.0,0.0,0.809768549601237,0.0,0.0,0.6327045440673829,0.0,0.0
7,8,0.5778863271077473,0.0,0.0,0.6760646184285481,0.0,0.0,0.6327045440673829,0.0,0.0,0.809768549601237,0.0,0.0,0.6327045440673829,0.0,0.0
8,9,0.5741206487019856,0.0,0.0,0.6727534612019856,0.0,0.0,0.6300607681274414,0.0,0.0,0.8093736012776692,0.0,0.0,0.6300607681274414,0.0,0.0
9,10,0.5816375096638997,0.0,0.0,0.67994384765625,0.0,0.0,0.6382386525472005,0.0,0.0,0.8180885950724284,0.0,0.0,0.6382386525472005,0.0,0.0
10,11,0.5816375096638997,0.0,0.0,0.67994384765625,0.0,0.0,0.6382386525472005,0.0,0.0,0.8180885950724284,0.0,0.0,0.6382386525472005,0.0,0.0
11,12,0.5888554255167643,0.0,0.0,0.6870999018351237,0.0,0.0,0.6469376246134441,0.0,0.0,0.8268716176350911,0.0,0.0,0.6469376246134441,0.0,0.0
12,13,0.5927632013956706,0.0,0.0,0.690462875366211,0.0,0.0,0.6518773396809896,0.0,0.0,0.8307893753051758,0.0,0.0,0.6518773396809896,0.0,0.0
13,14,0.5977024714152018,0.0,0.0,0.6950686772664388,0.0,0.0,0.6569238026936849,0.0,0.0,0.8351881027221679,0.0,0.0,0.6569238026936849,0.0,0.0
14,15,0.5977024714152018,0.0,0.0,0.6950686772664388,0.0,0.0,0.6569238026936849,0.0,0.0,0.8351881027221679,0.0,0.0,0.6569238026936849,0.0,0.0
15,16,0.5949169158935547,0.0,0.0,0.6921247482299805,0.0,0.0,0.6547133127848307,0.0,0.0,0.8336872100830078,0.0,0.0,0.6547133127848307,0.0,0.0
16,17,0.5994790395100912,0.0,0.0,0.6974480946858724,0.0,0.0,0.6597712834676107,0.0,0.0,0.8391558329264323,0.0,0.0,0.6597712834676107,0.0,0.0
17,18,0.5994790395100912,0.0,0.0,0.6974480946858724,0.0,0.0,0.6597712834676107,0.0,0.0,0.8391558329264323,0.0,0.0,0.6597712834676107,0.0,0.0
18,19,0.5999209721883138,0.0,0.0,0.698567008972168,0.0,0.0,0.6603922526041667,0.0,0.0,0.8404673894246419,0.0,0.0,0.6603922526041667,0.0,0.0
19,20,0.6001983006795247,0.0,0.0,0.6992286046346029,0.0,0.0,0.6611661275227865,0.0,0.0,0.8422709147135417,0.0,0.0,0.6611661275227865,0.0,0.0
20,21,0.6027126948038737,0.0,0.0,0.7037359873453776,0.0,0.0,0.6639120737711589,0.0,0.0,0.8467535654703776,0.0,0.0,0.6639120737711589,0.0,0.0
