,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,11.837879784901936,10.740718841552734,12.83047866821289,13.646795431772867,12.276390075683594,14.80381965637207,12.87747859954834,12.044645309448242,13.415771484375,17.02424538930257,15.463489532470703,18.39851188659668,12.87747859954834,12.044645309448242,13.415771484375
1,2,11.837879784901936,10.740718841552734,12.83047866821289,13.646795431772867,12.276390075683594,14.80381965637207,12.87747859954834,12.044645309448242,13.415771484375,17.02424538930257,15.463489532470703,18.39851188659668,12.87747859954834,12.044645309448242,13.415771484375
2,3,11.653666559855143,10.57382583618164,12.652936935424805,13.472656122843425,12.109674453735352,14.61962890625,12.698588466644287,11.880627632141113,13.243658065795898,16.85810775756836,15.291757583618164,18.237070083618164,12.698588466644287,11.880627632141113,13.243658065795898
3,4,11.653666559855143,10.57382583618164,12.652936935424805,13.472656122843425,12.109674453735352,14.61962890625,12.698588466644287,11.880627632141113,13.243658065795898,16.85810775756836,15.291757583618164,18.237070083618164,12.698588466644287,11.880627632141113,13.243658065795898
4,5,11.36918773651123,10.286548614501953,12.384963989257812,13.18188419342041,11.801405906677246,14.33504581451416,12.403279113769532,11.579197883605957,12.963711738586426,16.57999849319458,15.019318580627441,17.988136291503906,12.403279113769532,11.579197883605957,12.963711738586426
5,6,10.866833019256593,9.715009689331055,11.933979988098145,12.68255755106608,11.243066787719727,13.893117904663086,11.881757799784342,11.022395133972168,12.482461929321289,16.089972082773844,14.474923133850098,17.57081413269043,11.881757799784342,11.022395133972168,12.482461929321289
6,7,10.453637599945068,9.216486930847168,11.600325584411621,12.262826951344808,10.732088088989258,13.574694633483887,11.452751350402831,10.554573059082031,12.09748363494873,15.697628784179688,13.97331714630127,17.272905349731445,11.452751350402831,10.554573059082031,12.09748363494873
7,8,10.453637599945068,9.216486930847168,11.600325584411621,12.262826951344808,10.732088088989258,13.574694633483887,11.452751350402831,10.554573059082031,12.09748363494873,15.697628784179688,13.97331714630127,17.272905349731445,11.452751350402831,10.554573059082031,12.09748363494873
8,9,10.290769577026367,9.04658317565918,11.449015617370605,12.103328768412272,10.554368019104004,13.451325416564941,11.275353050231933,10.360820770263672,11.931020736694336,15.537447102864583,13.804628372192383,17.1457462310791,11.275353050231933,10.360820770263672,11.931020736694336
9,10,10.541834386189779,9.384231567382812,11.645536422729492,12.370020421346029,10.900897979736328,13.665246963500977,11.535672728220622,10.677542686462402,12.15970516204834,15.794368680318197,14.162912368774414,17.30605697631836,11.535672728220622,10.677542686462402,12.15970516204834
10,11,10.541834386189779,9.384231567382812,11.645536422729492,12.370020421346029,10.900897979736328,13.665246963500977,11.535672728220622,10.677542686462402,12.15970516204834,15.794368680318197,14.162912368774414,17.30605697631836,11.535672728220622,10.677542686462402,12.15970516204834
11,12,10.765267976125081,9.661279678344727,11.810344696044922,12.595526599884034,11.17047119140625,13.835735321044922,11.762091318766275,10.943222045898438,12.382072448730469,16.01553792953491,14.431598663330078,17.45061492919922,11.762091318766275,10.943222045898438,12.382072448730469
12,13,10.860699653625488,9.773360252380371,11.876688003540039,12.692741680145264,11.252896308898926,13.910202980041504,11.870987161000569,11.064476013183594,12.484110832214355,16.11992581685384,14.575909614562988,17.526187896728516,11.870987161000569,11.064476013183594,12.484110832214355
13,14,10.943937555948894,9.882303237915039,11.947197914123535,12.77414534886678,11.32247543334961,13.977460861206055,11.964590167999267,11.145003318786621,12.575865745544434,16.20139675140381,14.680885314941406,17.613906860351562,11.964590167999267,11.145003318786621,12.575865745544434
14,15,10.943937555948894,9.882303237915039,11.947197914123535,12.77414534886678,11.32247543334961,13.977460861206055,11.964590167999267,11.145003318786621,12.575865745544434,16.20139675140381,14.680885314941406,17.613906860351562,11.964590167999267,11.145003318786621,12.575865745544434
15,16,10.829347928365072,9.768087387084961,11.828514099121094,12.654984537760416,11.18106746673584,13.856447219848633,11.862547651926677,11.03908920288086,12.463114738464355,16.090559673309325,14.566665649414062,17.501211166381836,11.862547651926677,11.03908920288086,12.463114738464355
16,17,10.932565816243489,9.875807762145996,11.934699058532715,12.756431516011556,11.288559913635254,13.950655937194824,11.960862096150716,11.132892608642578,12.559074401855469,16.191320514678956,14.684365272521973,17.603790283203125,11.960862096150716,11.132892608642578,12.559074401855469
17,18,10.932565816243489,9.875807762145996,11.934699058532715,12.756431516011556,11.288559913635254,13.950655937194824,11.960862096150716,11.132892608642578,12.559074401855469,16.191320514678956,14.684365272521973,17.603790283203125,11.960862096150716,11.132892608642578,12.559074401855469
18,19,10.871709283192953,9.828022003173828,11.870387077331543,12.702062892913819,11.228225708007812,13.911846160888672,11.896620718638102,11.075568199157715,12.490437507629395,16.133803621927896,14.638466835021973,17.55245018005371,11.896620718638102,11.075568199157715,12.490437507629395
19,20,10.82181412378947,9.7711820602417,11.839858055114746,12.656415430704753,11.177136421203613,13.877820014953613,11.841622193654379,11.011421203613281,12.43626880645752,16.091205914815266,14.582062721252441,17.53824806213379,11.841622193654379,11.011421203613281,12.43626880645752
20,21,10.840753682454427,9.786641120910645,11.876470565795898,12.678062311808269,11.178059577941895,13.908170700073242,11.854070981343588,11.013147354125977,12.428133964538574,16.12061643600464,14.643354415893555,17.5704402923584,11.854070981343588,11.013147354125977,12.428133964538574
21,22,10.840753682454427,9.786641120910645,11.876470565795898,12.678062311808269,11.178059577941895,13.908170700073242,11.854070981343588,11.013147354125977,12.428133964538574,16.12061643600464,14.643354415893555,17.5704402923584,11.854070981343588,11.013147354125977,12.428133964538574
22,23,10.855251948038736,9.829497337341309,11.884706497192383,12.69003709157308,11.21327018737793,13.930027961730957,11.856459140777588,11.018457412719727,12.42718505859375,16.125821844736734,14.680258750915527,17.58963394165039,11.856459140777588,11.018457412719727,12.42718505859375
23,24,10.364607079823811,9.321414947509766,11.45504379272461,12.209191576639812,10.75037670135498,13.478229522705078,11.269899654388428,10.46371078491211,11.898904800415039,15.636772219340006,14.211504936218262,17.102453231811523,11.269899654388428,10.46371078491211,11.898904800415039
24,25,10.305156739552816,9.249332427978516,11.444038391113281,12.129145971934001,10.688478469848633,13.382563591003418,11.31973253885905,10.438846588134766,11.90998363494873,15.537234242757162,14.124983787536621,16.973346710205078,11.31973253885905,10.438846588134766,11.90998363494873
