,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,7.132691211005052,4.775162720680237,9.303661251068116,8.330999277035396,6.0144527673721315,10.393808412551879,7.841303347547849,5.382534909248352,9.762591028213501,10.613068866729737,8.31856632232666,12.714593982696533,7.841303347547849,5.382534909248352,9.762591028213501
1,2,7.132691211005052,4.775162720680237,9.303661251068116,8.330999277035396,6.0144527673721315,10.393808412551879,7.841303347547849,5.382534909248352,9.762591028213501,10.613068866729737,8.31856632232666,12.714593982696533,7.841303347547849,5.382534909248352,9.762591028213501
2,3,6.9166868274410565,4.475887656211853,9.083093070983887,8.116569123665492,5.791071033477783,10.168769454956054,7.648681814471881,5.179326772689819,9.576323556900023,10.39222794175148,8.127190017700196,12.472341680526734,7.648681814471881,5.179326772689819,9.576323556900023
3,4,6.9166868274410565,4.475887656211853,9.083093070983887,8.116569123665492,5.791071033477783,10.168769454956054,7.648681814471881,5.179326772689819,9.576323556900023,10.39222794175148,8.127190017700196,12.472341680526734,7.648681814471881,5.179326772689819,9.576323556900023
4,5,6.598403477668763,4.250773906707764,8.690112829208374,7.794012725353241,5.546759390830994,9.825735855102538,7.3298932353655495,4.889146018028259,9.232116746902467,10.063370970884959,7.881031036376953,12.098542976379393,7.3298932353655495,4.889146018028259,9.232116746902467
5,6,6.002946176379919,3.5831769466400147,8.071751165390014,7.198744185765585,4.821980047225952,9.29801845550537,6.73400950183471,4.209882640838623,8.691040420532227,9.461481471856436,7.297753119468689,11.539813137054443,6.73400950183471,4.209882640838623,8.691040420532227
6,7,5.489179273446401,2.850590717792511,7.653761386871336,6.689507846037547,4.213382339477539,8.855052852630614,6.227725149691105,3.607249176502228,8.274185800552369,8.955033139387767,6.630432271957398,11.120341730117797,6.227725149691105,3.607249176502228,8.274185800552369
7,8,5.489179273446401,2.850590717792511,7.653761386871336,6.689507846037547,4.213382339477539,8.855052852630614,6.227725149691105,3.607249176502228,8.274185800552369,8.955033139387767,6.630432271957398,11.120341730117797,6.227725149691105,3.607249176502228,8.274185800552369
8,9,5.315479290485382,2.6972976207733157,7.522283911705016,6.51468567053477,4.0417760014534,8.739115524291991,6.064244891703129,3.427625644207001,8.127429008483887,8.781028904517491,6.425590968132019,10.957445669174195,6.064244891703129,3.427625644207001,8.127429008483887
9,10,5.687032802651326,3.163999104499817,7.808020424842834,6.891548007726669,4.495220947265625,8.962256574630736,6.441704765955607,3.8215179085731505,8.447432804107665,9.168624705076217,6.91481761932373,11.283797931671142,6.441704765955607,3.8215179085731505,8.447432804107665
10,11,5.687032802651326,3.163999104499817,7.808020424842834,6.891548007726669,4.495220947265625,8.962256574630736,6.441704765955607,3.8215179085731505,8.447432804107665,9.168624705076217,6.91481761932373,11.283797931671142,6.441704765955607,3.8215179085731505,8.447432804107665
11,12,6.008728419989348,3.592136096954346,8.093040943145752,7.210217925906181,4.879453897476196,9.25301580429077,6.77019091496865,4.2553400039672855,8.754131364822388,9.492481690645217,7.292342662811279,11.569266271591186,6.77019091496865,4.2553400039672855,8.754131364822388
12,13,6.165794513374567,3.6693736791610716,8.267213439941406,7.36545297006766,4.9475555419921875,9.398091220855711,6.923035587867101,4.406543874740601,8.906131982803345,9.666531924406687,7.451025485992432,11.773691940307616,6.923035587867101,4.406543874740601,8.906131982803345
13,14,6.327197729051113,3.806509292125702,8.464225244522094,7.53844257692496,5.138828182220459,9.595309162139891,7.0911576444904005,4.529780292510987,9.148148536682129,9.838194704055786,7.598802208900452,11.965099859237668,7.0911576444904005,4.529780292510987,9.148148536682129
14,15,6.327197729051113,3.806509292125702,8.464225244522094,7.53844257692496,5.138828182220459,9.595309162139891,7.0911576444904005,4.529780292510987,9.148148536682129,9.838194704055786,7.598802208900452,11.965099859237668,7.0911576444904005,4.529780292510987,9.148148536682129
15,16,6.193648504962524,3.6499718546867372,8.38791627883911,7.409089806675911,5.001031732559204,9.48094253540039,6.966138879954815,4.394419884681701,8.991750335693359,9.710629808902741,7.4514037609100345,11.822010374069212,6.966138879954815,4.394419884681701,8.991750335693359
16,17,6.323029407610496,3.7605231285095213,8.52626838684082,7.54371108909448,5.137112927436829,9.603970527648924,7.098164582252503,4.4989665985107425,9.149734354019165,9.848660139242808,7.584198069572449,11.970916032791136,7.098164582252503,4.4989665985107425,9.149734354019165
17,18,6.323029407610496,3.7605231285095213,8.52626838684082,7.54371108909448,5.137112927436829,9.603970527648924,7.098164582252503,4.4989665985107425,9.149734354019165,9.848660139242808,7.584198069572449,11.970916032791136,7.098164582252503,4.4989665985107425,9.149734354019165
18,19,6.229845221464832,3.652746832370758,8.46163077354431,7.457904952764511,5.031636738777161,9.533772182464599,7.007892705996832,4.363183856010437,9.103289604187012,9.765477593739828,7.461208152770996,11.913372993469235,7.007892705996832,4.363183856010437,9.103289604187012
19,20,6.146173741916815,3.446863663196564,8.415138244628906,7.376524469256401,4.956609845161438,9.444165420532226,6.936322904129823,4.272034096717834,9.006224298477171,9.689212755362194,7.358138871192932,11.943127679824828,6.936322904129823,4.272034096717834,9.006224298477171
20,21,6.146637696524461,3.3903085231781005,8.400951385498047,7.405684366822243,5.014952778816223,9.431402111053465,6.966487249732017,4.28561840057373,9.03095483779907,9.737727910280228,7.3531008005142215,11.988305854797362,6.966487249732017,4.28561840057373,9.03095483779907
21,22,6.146637696524461,3.3903085231781005,8.400951385498047,7.405684366822243,5.014952778816223,9.431402111053465,6.966487249732017,4.28561840057373,9.03095483779907,9.737727910280228,7.3531008005142215,11.988305854797362,6.966487249732017,4.28561840057373,9.03095483779907
22,23,6.219869906703631,3.5373117446899416,8.460288858413696,7.44342194100221,5.113326621055603,9.42726593017578,7.006940498948097,4.34929940700531,9.036835098266602,9.782543327411016,7.431279563903809,12.000914621353148,7.006940498948097,4.34929940700531,9.036835098266602
23,24,5.604334887862206,2.909738874435425,7.894108700752258,6.854036599397659,4.557960724830628,8.829181909561154,6.495965372522672,3.845888602733612,8.497686004638672,9.172637508312862,6.79811499118805,11.407519149780272,6.495965372522672,3.845888602733612,8.497686004638672
24,25,5.542237838357687,2.806001269817352,7.8601971626281735,6.801741573214531,4.50766396522522,8.765206146240232,6.431113021572431,3.8065051794052125,8.425901508331298,9.144011477629343,6.743179059028625,11.455845308303832,6.431113021572431,3.8065051794052125,8.425901508331298
25,26,5.542237838357687,2.806001269817352,7.8601971626281735,6.801741573214531,4.50766396522522,8.765206146240232,6.431113021572431,3.8065051794052125,8.425901508331298,9.144011477629343,6.743179059028625,11.455845308303832,6.431113021572431,3.8065051794052125,8.425901508331298
26,27,4.776171081761519,2.1154216051101686,7.056650829315186,6.0599621345599495,3.7619449973106383,8.141226243972778,5.695407526940107,3.0519723296165466,7.690805435180664,8.411381576458613,6.012673926353455,10.739727592468261,5.695407526940107,3.0519723296165466,7.690805435180664
27,28,4.446432653193672,1.7577167510986331,6.6994321823120115,5.716550313929717,3.299709916114807,7.830548524856567,5.330095289585491,2.5296878814697266,7.4004387855529785,8.082335015137991,5.573049473762512,10.439085006713867,5.330095289585491,2.5296878814697266,7.4004387855529785
28,29,4.446432653193672,1.7577167510986331,6.6994321823120115,5.716550313929717,3.299709916114807,7.830548524856567,5.330095289585491,2.5296878814697266,7.4004387855529785,8.082335015137991,5.573049473762512,10.439085006713867,5.330095289585491,2.5296878814697266,7.4004387855529785
29,30,5.313651341510316,2.5784652113914492,7.652300953865051,6.577941906452179,4.097048211097717,8.68207049369812,6.1875038264940185,3.3642450094223024,8.36260986328125,8.953268953164418,6.513216519355774,11.338241958618163,6.1875038264940185,3.3642450094223024,8.36260986328125
30,31,5.936494857693712,3.194176006317139,8.351548480987548,7.205367330710093,4.656723999977112,9.35235300064087,6.8052225371201835,3.905343282222748,9.030374336242676,9.612011380990346,7.215654182434082,12.015372085571288,6.8052225371201835,3.905343282222748,9.030374336242676
31,32,6.009915329391758,3.322786927223206,8.429151725769042,7.286000040173531,4.630355453491211,9.536499309539794,6.8569040045142176,3.817939007282257,9.09087085723877,9.70314667224884,7.276723504066467,12.098667860031126,6.8569040045142176,3.817939007282257,9.09087085723877
32,33,6.009915329391758,3.322786927223206,8.429151725769042,7.286000040173531,4.630355453491211,9.536499309539794,6.8569040045142176,3.817939007282257,9.09087085723877,9.70314667224884,7.276723504066467,12.098667860031126,6.8569040045142176,3.817939007282257,9.09087085723877
33,34,6.000519162261238,3.264383721351624,8.49809055328369,7.299817339579264,4.465112948417664,9.63623833656311,6.867700496812661,3.7304452061653137,9.098809480667114,9.732924791177114,7.268804550170898,12.133726978302002,6.867700496812661,3.7304452061653137,9.098809480667114
34,35,5.868199280075108,3.0374122619628907,8.478023862838743,7.198785896102588,4.349309325218201,9.479416847229002,6.645143493016561,3.561014401912689,8.872969007492065,9.640456801652908,7.23023293018341,11.966432332992554,6.645143493016561,3.561014401912689,8.872969007492065
35,36,5.868199280075108,3.0374122619628907,8.478023862838743,7.198785896102588,4.349309325218201,9.479416847229002,6.645143493016561,3.561014401912689,8.872969007492065,9.640456801652908,7.23023293018341,11.966432332992554,6.645143493016561,3.561014401912689,8.872969007492065
36,37,4.971816142648459,2.128739833831787,7.5891053676605225,6.309091373781363,3.4792730808258057,8.516992950439452,5.852790836431086,2.8202795028686523,8.095517826080322,8.740202393134435,6.389336776733399,10.99887418746948,5.852790836431086,2.8202795028686523,8.095517826080322
37,38,7.158257487416267,4.773174047470093,9.302912664413451,8.35235965847969,6.045160031318664,10.326959609985352,7.877763702472051,5.449079799652099,9.771766805648802,10.622462405761082,8.414094829559327,12.672545480728148,7.877763702472051,5.449079799652099,9.771766805648802
38,39,7.158257487416267,4.773174047470093,9.302912664413451,8.35235965847969,6.045160031318664,10.326959609985352,7.877763702472051,5.449079799652099,9.771766805648802,10.622462405761082,8.414094829559327,12.672545480728148,7.877763702472051,5.449079799652099,9.771766805648802
39,40,6.890822663406531,4.442162656784058,9.018619441986084,8.091406253973643,5.838509845733642,10.113661956787109,7.604457171758016,5.148573541641236,9.50573592185974,10.379647642374039,8.174570560455322,12.450743770599365,7.604457171758016,5.148573541641236,9.50573592185974
40,41,6.890822663406531,4.442162656784058,9.018619441986084,8.091406253973643,5.838509845733642,10.113661956787109,7.604457171758016,5.148573541641236,9.50573592185974,10.379647642374039,8.174570560455322,12.450743770599365,7.604457171758016,5.148573541641236,9.50573592185974
41,42,6.662424846490224,4.309957194328308,8.763066911697388,7.852367170651754,5.609335899353027,9.865984058380127,7.389825202027956,4.940566921234131,9.267845726013183,10.133502672115961,7.972979021072388,12.144016695022582,7.389825202027956,4.940566921234131,9.267845726013183
42,43,6.155459475268921,3.7778329968452455,8.238689470291137,7.342780891060829,5.007342600822449,9.426340436935424,6.877463137110074,4.376226019859314,8.785460758209227,9.620140395561855,7.463246011734009,11.663392972946166,6.877463137110074,4.376226019859314,8.785460758209227
43,44,5.756239761660496,3.3320194244384767,7.8795274734497065,6.944449112812678,4.586983776092529,9.042634153366087,6.490323114891847,3.9549464702606203,8.443365430831909,9.220608202616374,7.005376887321472,11.291453456878662,6.490323114891847,3.9549464702606203,8.443365430831909
44,45,5.756239761660496,3.3320194244384767,7.8795274734497065,6.944449112812678,4.586983776092529,9.042634153366087,6.490323114891847,3.9549464702606203,8.443365430831909,9.220608202616374,7.005376887321472,11.291453456878662,6.490323114891847,3.9549464702606203,8.443365430831909
45,46,5.867637829110026,3.371943545341492,8.026798391342163,7.065813151995341,4.650639367103577,9.182797622680663,6.605520115296046,4.076964616775513,8.602838802337647,9.338955442110697,7.073331212997436,11.419584321975707,6.605520115296046,4.076964616775513,8.602838802337647
46,47,6.081910043706497,3.6393783926963805,8.194146633148192,7.280493109424909,4.883293032646179,9.357392358779906,6.825046385327975,4.312286901473999,8.793911504745484,9.556975942850112,7.356859850883484,11.60484595298767,6.825046385327975,4.312286901473999,8.793911504745484
47,48,6.081910043706497,3.6393783926963805,8.194146633148192,7.280493109424909,4.883293032646179,9.357392358779906,6.825046385327975,4.312286901473999,8.793911504745484,9.556975942850112,7.356859850883484,11.60484595298767,6.825046385327975,4.312286901473999,8.793911504745484
48,49,6.468953201174736,3.9905818462371827,8.590910577774048,7.683355521162351,5.218289208412171,9.705256032943725,7.223656654854616,4.666690969467163,9.20388798713684,9.980361288785934,7.763588333129883,12.061569023132323,7.223656654854616,4.666690969467163,9.20388798713684
