,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,14.87056569258372,13.063765048980713,16.844317626953124,16.222408211231233,14.277353096008301,18.775352478027344,15.497785727183023,13.63535280227661,17.351006603240968,18.34523639281591,16.162967681884766,20.764256477355953,15.497785727183023,13.63535280227661,17.351006603240968
1,2,14.87056569258372,13.063765048980713,16.844317626953124,16.222408211231233,14.277353096008301,18.775352478027344,15.497785727183023,13.63535280227661,17.351006603240968,18.34523639281591,16.162967681884766,20.764256477355953,15.497785727183023,13.63535280227661,17.351006603240968
2,3,14.766558865706125,12.918477392196655,16.723987102508545,16.103939402103425,14.174237203598022,18.645029067993164,15.4097673813502,13.491960811614991,17.214685535430906,18.21318923632304,16.09263801574707,20.57157707214355,15.4097673813502,13.491960811614991,17.214685535430906
3,4,14.766558865706125,12.918477392196655,16.723987102508545,16.103939402103425,14.174237203598022,18.645029067993164,15.4097673813502,13.491960811614991,17.214685535430906,18.21318923632304,16.09263801574707,20.57157707214355,15.4097673813502,13.491960811614991,17.214685535430906
4,5,14.51278137365977,12.609721088409424,16.526407051086426,15.840101798375448,13.83625249862671,18.40509796142578,15.167307090759277,13.175201177597046,17.016035556793213,17.94060392777125,15.791813135147095,20.328772926330565,15.167307090759277,13.175201177597046,17.016035556793213
5,6,14.023610242207845,11.960863018035889,16.040252304077146,15.340843856334686,13.327617883682251,17.87035446166992,14.686236437161764,12.649466180801392,16.639828586578368,17.42959490219752,15.18503680229187,19.891186809539793,14.686236437161764,12.649466180801392,16.639828586578368
6,7,13.643815155824026,11.39629340171814,15.7739586353302,14.970669047037761,12.788425159454345,17.5844181060791,14.319356894493103,12.129554224014282,16.413242053985595,17.05181916952133,14.658444786071778,19.65583724975586,14.319356894493103,12.129554224014282,16.413242053985595
7,8,13.643815155824026,11.39629340171814,15.7739586353302,14.970669047037761,12.788425159454345,17.5844181060791,14.319356894493103,12.129554224014282,16.413242053985595,17.05181916952133,14.658444786071778,19.65583724975586,14.319356894493103,12.129554224014282,16.413242053985595
8,9,13.570538612206777,11.258009576797486,15.73434133529663,14.895596063137054,12.653976678848267,17.59286489486694,14.267124791940054,12.025577449798584,16.37459735870361,16.98202617963155,14.52567653656006,19.642818641662597,14.267124791940054,12.025577449798584,16.37459735870361
9,10,13.993832727273306,11.79302544593811,16.037702369689942,15.313726437091827,13.213205575942993,17.975556659698483,14.709861787160238,12.609553909301757,16.70992097854614,17.416705934206643,15.104042053222656,19.926313686370847,14.709861787160238,12.609553909301757,16.70992097854614
10,11,13.993832727273306,11.79302544593811,16.037702369689942,15.313726437091827,13.213205575942993,17.975556659698483,14.709861787160238,12.609553909301757,16.70992097854614,17.416705934206643,15.104042053222656,19.926313686370847,14.709861787160238,12.609553909301757,16.70992097854614
11,12,14.354980484644573,12.315453577041627,16.35663652420044,15.680983714262645,13.661766147613525,18.317960739135742,15.075504700342814,13.03745927810669,17.009862422943115,17.796739768981933,15.521663665771484,20.19541139602661,15.075504700342814,13.03745927810669,17.009862422943115
12,13,14.536525173981984,12.507686185836793,16.531427097320556,15.863948965072632,13.792446374893188,18.438094234466554,15.253026779492696,13.28867154121399,17.11457595825195,17.986989649136863,15.728705406188965,20.355084705352784,15.253026779492696,13.28867154121399,17.11457595825195
13,14,14.757833309968312,12.737955474853516,16.7487491607666,16.084103226661682,14.051724195480347,18.618218612670898,15.493981504440308,13.573944187164306,17.3434549331665,18.206615090370178,15.984710693359375,20.543283939361572,15.493981504440308,13.573944187164306,17.3434549331665
14,15,14.757833309968312,12.737955474853516,16.7487491607666,16.084103226661682,14.051724195480347,18.618218612670898,15.493981504440308,13.573944187164306,17.3434549331665,18.206615090370178,15.984710693359375,20.543283939361572,15.493981504440308,13.573944187164306,17.3434549331665
15,16,14.67008095184962,12.605600786209106,16.662955284118652,15.987876458962758,13.960132789611816,18.469375610351562,15.41338357925415,13.476558542251587,17.296794128417968,18.105114992459615,15.858851432800293,20.478857040405273,15.41338357925415,13.476558542251587,17.296794128417968
16,17,14.851893997192382,12.784990549087524,16.858470916748047,16.17537913322449,14.15254454612732,18.651521682739258,15.622765537103017,13.691719913482666,17.519636631011963,18.29298777580261,16.087159824371337,20.67228889465332,15.622765537103017,13.691719913482666,17.519636631011963
17,18,14.851893997192382,12.784990549087524,16.858470916748047,16.17537913322449,14.15254454612732,18.651521682739258,15.622765537103017,13.691719913482666,17.519636631011963,18.29298777580261,16.087159824371337,20.67228889465332,15.622765537103017,13.691719913482666,17.519636631011963
18,19,14.831017072995504,12.730525779724122,16.85144500732422,16.166451009114585,14.115545225143432,18.653173446655273,15.609129452705384,13.652011108398437,17.525114250183105,18.28343914349874,16.077131271362305,20.619985580444336,15.609129452705384,13.652011108398437,17.525114250183105
19,20,14.784203286965688,12.676774168014527,16.8436017036438,16.12385766108831,14.146936511993408,18.605451583862305,15.587273677190145,13.622115564346313,17.49161329269409,18.24511255820592,16.061356163024904,20.60426139831543,15.587273677190145,13.622115564346313,17.49161329269409
20,21,14.775631392002106,12.641960906982423,16.816209030151366,16.148314770062765,14.122637128829956,18.63355255126953,15.611818846066793,13.650023126602173,17.578611278533934,18.278996992111207,16.092506408691406,20.606547355651855,15.611818846066793,13.650023126602173,17.578611278533934
21,22,14.775631392002106,12.641960906982423,16.816209030151366,16.148314770062765,14.122637128829956,18.63355255126953,15.611818846066793,13.650023126602173,17.578611278533934,18.278996992111207,16.092506408691406,20.606547355651855,15.611818846066793,13.650023126602173,17.578611278533934
22,23,14.84275305668513,12.74815559387207,16.92090015411377,16.143751462300617,14.100470638275146,18.571680068969727,15.60929106871287,13.577215671539307,17.617811965942384,18.28182299931844,16.112272262573242,20.62390670776367,15.60929106871287,13.577215671539307,17.617811965942384
23,24,14.053860445817312,11.906709671020508,16.122800159454346,15.437184139092762,13.327990531921387,17.845870971679688,15.00168162981669,12.92305293083191,17.02149085998535,17.53327966928482,15.407443237304687,19.97825756072998,15.00168162981669,12.92305293083191,17.02149085998535
24,25,13.915438834826151,11.727855491638184,15.998964595794677,15.314974999427795,13.202362060546875,17.682939529418945,14.925593252976736,12.838823699951172,16.94657182693481,17.42691386938095,15.283260202407837,19.862331962585447,14.925593252976736,12.838823699951172,16.94657182693481
