,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,15.336576688289643,13.464218902587891,17.23996992111206,17.225119837125142,14.993613862991333,19.411977767944336,16.50225079456965,14.69533748626709,18.141676712036134,20.608107789357504,18.326219654083253,23.13578987121582,16.50225079456965,14.69533748626709,18.141676712036134
1,2,15.336576688289643,13.464218902587891,17.23996992111206,17.225119837125142,14.993613862991333,19.411977767944336,16.50225079456965,14.69533748626709,18.141676712036134,20.608107789357504,18.326219654083253,23.13578987121582,16.50225079456965,14.69533748626709,18.141676712036134
2,3,15.140026986598969,13.226028728485108,17.075067806243897,17.034134964148205,14.837599515914917,19.21856622695923,16.31565437714259,14.546932983398438,17.98665323257446,20.430749011039733,18.1833402633667,22.850046157836914,16.31565437714259,14.546932983398438,17.98665323257446
3,4,15.140026986598969,13.226028728485108,17.075067806243897,17.034134964148205,14.837599515914917,19.21856622695923,16.31565437714259,14.546932983398438,17.98665323257446,20.430749011039733,18.1833402633667,22.850046157836914,16.31565437714259,14.546932983398438,17.98665323257446
4,5,14.824637877941132,12.8663969039917,16.801008796691896,16.714456196626028,14.44950304031372,18.974550819396974,15.999102222919465,14.186068773269653,17.702471923828124,20.13925057252248,17.92016019821167,22.60332679748535,15.999102222919465,14.186068773269653,17.702471923828124
5,6,14.299944003423056,12.236364793777465,16.407757568359376,16.193930224577585,13.777485275268555,18.570797061920164,15.45991803407669,13.53197159767151,17.201215934753414,19.64534179766973,17.289434051513673,22.20990562438965,15.45991803407669,13.53197159767151,17.201215934753414
6,7,13.861434614658355,11.54820737838745,16.14655303955078,15.755094893773396,13.109220504760742,18.277832603454588,15.010547995567322,12.847872734069824,16.883796310424803,19.236463244756063,16.58418207168579,22.058792114257812,15.010547995567322,12.847872734069824,16.883796310424803
7,8,13.861434614658355,11.54820737838745,16.14655303955078,15.755094893773396,13.109220504760742,18.277832603454588,15.010547995567322,12.847872734069824,16.883796310424803,19.236463244756063,16.58418207168579,22.058792114257812,15.010547995567322,12.847872734069824,16.883796310424803
8,9,13.708502161502839,11.332883930206298,16.03032360076904,15.606027734279632,12.892468929290771,18.17231101989746,14.87111254533132,12.631391382217407,16.902347660064695,19.10499705473582,16.45058078765869,22.012723922729492,14.87111254533132,12.631391382217407,16.902347660064695
9,10,14.0517702460289,11.888819456100464,16.223078155517577,15.970411932468414,13.424741411209107,18.44493064880371,15.23260093530019,13.170505714416503,17.21253604888916,19.456775307655334,17.020018291473388,22.25334358215332,15.23260093530019,13.170505714416503,17.21253604888916
