,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,7.446135197083155,6.219548511505127,8.565268182754515,9.08941842118899,7.785173845291138,10.457759571075439,8.28856494029363,7.199428749084473,9.258842945098877,12.049349391460419,10.488584995269775,13.510139465332031,8.28856494029363,7.199428749084473,9.258842945098877
1,2,7.446135197083155,6.219548511505127,8.565268182754515,9.08941842118899,7.785173845291138,10.457759571075439,8.28856494029363,7.199428749084473,9.258842945098877,12.049349391460419,10.488584995269775,13.510139465332031,8.28856494029363,7.199428749084473,9.258842945098877
2,3,7.262379070123036,6.056915616989135,8.377131509780883,8.903814552227656,7.609410572052002,10.235780763626098,8.072409135103225,6.984680485725403,8.98756103515625,11.875245157877604,10.369208145141602,13.319624900817871,8.072409135103225,6.984680485725403,8.98756103515625
3,4,7.262379070123036,6.056915616989135,8.377131509780883,8.903814552227656,7.609410572052002,10.235780763626098,8.072409135103225,6.984680485725403,8.98756103515625,11.875245157877604,10.369208145141602,13.319624900817871,8.072409135103225,6.984680485725403,8.98756103515625
4,5,6.903449662526449,5.709362959861755,8.019658136367797,8.536437445878983,7.228758549690247,9.883445262908936,7.703642640511195,6.615523386001587,8.613382244110108,11.510635010401408,10.004079294204711,12.964400291442871,7.703642640511195,6.615523386001587,8.613382244110108
5,6,6.392793936530749,5.144167900085449,7.538239693641662,8.028367469708124,6.66680908203125,9.41431541442871,7.182379198074341,6.085414886474609,8.131647634506226,11.002073492606481,9.455192565917969,12.467300415039062,7.182379198074341,6.085414886474609,8.131647634506226
6,7,5.904832717776299,4.602189397811889,7.091638660430908,7.546051766475042,6.120349740982055,8.982826709747314,6.684555490811666,5.5555541038513185,7.670209670066833,10.529423755407333,8.923681402206421,12.051899909973145,6.684555490811666,5.5555541038513185,7.670209670066833
7,8,5.904832717776299,4.602189397811889,7.091638660430908,7.546051766475042,6.120349740982055,8.982826709747314,6.684555490811666,5.5555541038513185,7.670209670066833,10.529423755407333,8.923681402206421,12.051899909973145,6.684555490811666,5.5555541038513185,7.670209670066833
8,9,5.748402305444082,4.455215287208557,6.9398946285247805,7.390142925580343,5.980996894836426,8.832868719100953,6.50547770857811,5.31493718624115,7.487829160690308,10.373500496149063,8.74804973602295,11.873539924621582,6.50547770857811,5.31493718624115,7.487829160690308
9,10,6.077255195379257,4.815097284317017,7.211814141273498,7.716687438885371,6.392951583862304,9.106047916412352,6.81420573592186,5.713788151741028,7.7761637449264525,10.708407278855642,9.161108684539794,12.157380104064941,6.81420573592186,5.713788151741028,7.7761637449264525
10,11,6.077255195379257,4.815097284317017,7.211814141273498,7.716687438885371,6.392951583862304,9.106047916412352,6.81420573592186,5.713788151741028,7.7761637449264525,10.708407278855642,9.161108684539794,12.157380104064941,6.81420573592186,5.713788151741028,7.7761637449264525
11,12,6.40905498166879,5.160702395439148,7.501469087600708,8.053145396709443,6.729068684577942,9.414808368682861,7.141143264373143,6.044669485092163,8.084018516540526,11.038796190420786,9.515132999420166,12.475574493408203,7.141143264373143,6.044669485092163,8.084018516540526
12,13,6.549258753657341,5.307852411270142,7.661079716682434,8.186853460470836,6.8949483871459964,9.534450817108153,7.29942254225413,6.2191612243652346,8.235739135742188,11.18299020131429,9.654884672164917,12.5758638381958,7.29942254225413,6.2191612243652346,8.235739135742188
13,14,6.560469257831573,5.316701221466064,7.652045965194702,8.195978931585948,6.925085234642029,9.510802507400511,7.322737344106039,6.221328544616699,8.274389791488648,11.192914907137553,9.657930183410645,12.595657348632812,7.322737344106039,6.221328544616699,8.274389791488648
14,15,6.560469257831573,5.316701221466064,7.652045965194702,8.195978931585948,6.925085234642029,9.510802507400511,7.322737344106039,6.221328544616699,8.274389791488648,11.192914907137553,9.657930183410645,12.595657348632812,7.322737344106039,6.221328544616699,8.274389791488648
15,16,6.461963576078415,5.222694301605225,7.555990076065063,8.096317629019419,6.822340989112854,9.391620874404905,7.247710311412812,6.14736168384552,8.173289108276368,11.098988517125447,9.537143516540528,12.490876197814941,7.247710311412812,6.14736168384552,8.173289108276368
16,17,6.4874277730782826,5.24086754322052,7.594927835464477,8.121800088882447,6.823799896240234,9.406168460845945,7.272660752137502,6.167505550384521,8.216561365127562,11.133132966359456,9.567029762268067,12.513980770111083,7.272660752137502,6.167505550384521,8.216561365127562
