,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,0.06354789895315965,0.0,0.0,0.13509243230024973,0.0,0.0,0.09046982477108638,0.0,0.0,0.24986152251561483,0.0,0.0,0.09046982477108638,0.0,0.0
1,2,0.06354789895315965,0.0,0.0,0.13509243230024973,0.0,0.0,0.09046982477108638,0.0,0.0,0.24986152251561483,0.0,0.0,0.09046982477108638,0.0,0.0
2,3,0.054930327491213876,0.0,0.0,0.12668587987621624,0.0,0.0,0.08088230043649673,0.0,0.0,0.2405815621217092,0.0,0.0,0.08088230043649673,0.0,0.0
3,4,0.054930327491213876,0.0,0.0,0.12668587987621624,0.0,0.0,0.08088230043649673,0.0,0.0,0.2405815621217092,0.0,0.0,0.08088230043649673,0.0,0.0
4,5,0.04312146790325642,0.0,0.0,0.11359283650914828,0.0,0.0,0.06822568252682686,0.0,0.0,0.22834895451863607,0.0,0.0,0.06822568252682686,0.0,0.0
5,6,0.02396396311620871,0.0,0.0,0.09626052941506108,0.0,0.0,0.04894116371870041,0.0,0.0,0.21012696822484334,0.0,0.0,0.04894116371870041,0.0,0.0
6,7,0.004657594487071037,0.0,0.0,0.07800051669279734,0.0,0.0,0.02860290395716826,0.0,0.0,0.19252790013949075,0.0,0.0,0.02860290395716826,0.0,0.0
7,8,0.004657594487071037,0.0,0.0,0.07800051669279734,0.0,0.0,0.02860290395716826,0.0,0.0,0.19252790013949075,0.0,0.0,0.02860290395716826,0.0,0.0
8,9,-0.0006485090280572574,0.0,0.0,0.07256337702274322,0.0,0.0,0.02123314340909322,0.0,0.0,0.1874237020810445,0.0,0.0,0.02123314340909322,0.0,0.0
9,10,0.010928600778182347,0.0,0.0,0.08295618096987406,0.0,0.0,0.03449650245408217,0.0,0.0,0.1976599266131719,0.0,0.0,0.03449650245408217,0.0,0.0
