,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,6.23886006573836,4.638097524642944,7.84488980770111,7.6697774767875675,6.037844204902649,9.229485177993773,6.853235210975011,5.450551390647888,8.311772251129149,9.993934994935989,8.554795980453491,11.510054779052734,6.853235210975011,5.450551390647888,8.311772251129149
1,2,6.23886006573836,4.638097524642944,7.84488980770111,7.6697774767875675,6.037844204902649,9.229485177993773,6.853235210975011,5.450551390647888,8.311772251129149,9.993934994935989,8.554795980453491,11.510054779052734,6.853235210975011,5.450551390647888,8.311772251129149
2,3,6.073319057623546,4.467055249214172,7.63579397201538,7.506795483827591,5.880370783805847,9.044184255599975,6.651606245835622,5.277425408363342,8.099467611312866,9.839362422625223,8.42071533203125,11.385132694244385,6.651606245835622,5.277425408363342,8.099467611312866
3,4,6.073319057623546,4.467055249214172,7.63579397201538,7.506795483827591,5.880370783805847,9.044184255599975,6.651606245835622,5.277425408363342,8.099467611312866,9.839362422625223,8.42071533203125,11.385132694244385,6.651606245835622,5.277425408363342,8.099467611312866
4,5,5.712977054715156,4.11423089504242,7.298268318176269,7.143693443139394,5.459488582611084,8.6658851146698,6.292180397113165,4.948290061950684,7.755142450332641,9.463352807362874,8.0508243560791,10.993455171585083,6.292180397113165,4.948290061950684,7.755142450332641
5,6,5.218396311004956,3.4800808787345887,6.821305441856384,6.654461658000946,4.901910257339478,8.215439939498902,5.78610650797685,4.363069415092468,7.304713010787964,8.975613327821096,7.464277601242065,10.576320934295653,5.78610650797685,4.363069415092468,7.304713010787964
6,7,4.762503632903099,2.8596606612205506,6.436041760444641,6.208567529916763,4.339795780181885,7.858695721626281,5.317064907153448,3.815083944797516,6.892621040344237,8.527436077594757,6.86819314956665,10.215445518493652,5.317064907153448,3.815083944797516,6.892621040344237
7,8,4.762503632903099,2.8596606612205506,6.436041760444641,6.208567529916763,4.339795780181885,7.858695721626281,5.317064907153448,3.815083944797516,6.892621040344237,8.527436077594757,6.86819314956665,10.215445518493652,5.317064907153448,3.815083944797516,6.892621040344237
8,9,4.59857615629832,2.7066594481468202,6.246103405952453,6.054672544201215,4.248006868362427,7.731534075736999,5.121833281715711,3.5728885650634767,6.697186517715454,8.367579287290573,6.653604030609131,10.048062133789061,5.121833281715711,3.5728885650634767,6.697186517715454
9,10,4.917757912476858,3.129579854011536,6.524508571624755,6.3750059515237805,4.799253058433533,8.049092864990234,5.417859869201978,3.8762564182281496,6.987166762351989,8.693134739001591,7.117547512054443,10.305342674255371,5.417859869201978,3.8762564182281496,6.987166762351989
