,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,5.833333333333333,0.0,17.0,16.783333333333335,4.0,34.04999999999998,10.941666666666666,2.0,24.0,48.729166666666664,21.0,79.0,10.941666666666666,2.0,24.0
1,2,5.833333333333333,0.0,17.0,16.783333333333335,4.0,34.04999999999998,10.941666666666666,2.0,24.0,48.729166666666664,21.0,79.0,10.941666666666666,2.0,24.0
2,3,5.558333333333334,0.0,16.049999999999983,16.104166666666668,3.950000000000001,33.0,10.345833333333333,2.0,24.0,46.954166666666666,20.950000000000003,76.0,10.345833333333333,2.0,24.0
3,4,5.558333333333334,0.0,16.049999999999983,16.104166666666668,3.950000000000001,33.0,10.345833333333333,2.0,24.0,46.954166666666666,20.950000000000003,76.0,10.345833333333333,2.0,24.0
4,5,5.175,0.0,16.0,15.2875,4.0,32.0,9.35,1.0,22.0,45.1375,18.0,75.0,9.35,1.0,22.0
5,6,4.2875,0.0,14.049999999999983,13.475,3.0,31.0,8.091666666666667,0.0,20.049999999999983,42.1125,16.0,73.0,8.091666666666667,0.0,20.049999999999983
6,7,3.95,0.0,13.0,12.916666666666666,2.0,30.0,7.479166666666667,0.0,20.0,41.42916666666667,15.900000000000002,72.0,7.479166666666667,0.0,20.0
7,8,3.95,0.0,13.0,12.916666666666666,2.0,30.0,7.479166666666667,0.0,20.0,41.42916666666667,15.900000000000002,72.0,7.479166666666667,0.0,20.0
8,9,3.8875,0.0,13.0,12.933333333333334,2.0,30.049999999999983,7.779166666666667,0.0,20.0,41.4,14.0,73.0,7.779166666666667,0.0,20.0
9,10,4.245833333333334,0.0,13.0,13.858333333333333,2.950000000000001,30.099999999999966,8.4125,0.0,21.0,43.69583333333333,18.900000000000002,75.0,8.4125,0.0,21.0
10,11,4.245833333333334,0.0,13.0,13.858333333333333,2.950000000000001,30.099999999999966,8.4125,0.0,21.0,43.69583333333333,18.900000000000002,75.0,8.4125,0.0,21.0
11,12,4.683333333333334,0.0,14.0,15.2,3.0,33.0,9.504166666666666,1.0,24.0,45.61666666666667,20.0,77.0,9.504166666666666,1.0,24.0
12,13,5.5125,0.0,15.0,16.320833333333333,4.0,35.0,10.191666666666666,1.0,25.0,47.045833333333334,20.0,78.0,10.191666666666666,1.0,25.0
13,14,6.279166666666667,0.0,16.049999999999983,17.541666666666668,4.0,37.0,11.379166666666666,2.0,27.0,48.94583333333333,20.950000000000003,82.0,11.379166666666666,2.0,27.0
14,15,6.279166666666667,0.0,16.049999999999983,17.541666666666668,4.0,37.0,11.379166666666666,2.0,27.0,48.94583333333333,20.950000000000003,82.0,11.379166666666666,2.0,27.0
15,16,6.258333333333334,0.0,16.0,17.533333333333335,4.0,38.0,11.454166666666667,2.0,28.0,48.24166666666667,20.0,83.0,11.454166666666667,2.0,28.0
16,17,6.895833333333333,0.9500000000000011,18.049999999999983,18.891666666666666,5.0,40.099999999999966,12.333333333333334,2.0,29.0,50.475,22.0,83.0,12.333333333333334,2.0,29.0
17,18,6.895833333333333,0.9500000000000011,18.049999999999983,18.891666666666666,5.0,40.099999999999966,12.333333333333334,2.0,29.0,50.475,22.0,83.0,12.333333333333334,2.0,29.0
18,19,7.033333333333333,0.0,18.099999999999966,19.4125,5.0,41.0,12.6125,2.0,29.0,50.458333333333336,20.0,84.0,12.6125,2.0,29.0
19,20,7.4625,1.0,19.049999999999983,19.508333333333333,5.0,40.0,13.158333333333333,3.0,29.049999999999983,50.266666666666666,20.0,83.0,13.158333333333333,3.0,29.049999999999983
20,21,7.379166666666666,1.0,18.049999999999983,19.554166666666667,6.0,40.04999999999998,13.370833333333334,2.950000000000001,30.0,50.99166666666667,22.0,83.0,13.370833333333334,2.950000000000001,30.0
21,22,7.379166666666666,1.0,18.049999999999983,19.554166666666667,6.0,40.04999999999998,13.370833333333334,2.950000000000001,30.0,50.99166666666667,22.0,83.0,13.370833333333334,2.950000000000001,30.0
22,23,7.275,1.0,18.099999999999966,19.895833333333332,6.0,40.0,13.4375,2.950000000000001,30.0,52.354166666666664,23.0,83.0,13.4375,2.950000000000001,30.0
23,24,5.645833333333333,0.0,15.0,16.145833333333332,4.0,33.14999999999995,10.670833333333333,2.0,27.0,45.983333333333334,18.0,77.0,10.670833333333333,2.0,27.0
24,25,5.541666666666667,0.0,15.0,15.408333333333333,4.0,32.099999999999966,11.133333333333333,2.0,27.0,44.725,17.950000000000003,76.0,11.133333333333333,2.0,27.0
25,26,5.541666666666667,0.0,15.0,15.408333333333333,4.0,32.099999999999966,11.133333333333333,2.0,27.0,44.725,17.950000000000003,76.0,11.133333333333333,2.0,27.0
26,27,4.158333333333333,0.0,12.049999999999983,10.883333333333333,2.0,26.049999999999983,8.370833333333334,1.0,21.0,35.545833333333334,12.0,63.0,8.370833333333334,1.0,21.0
27,28,3.5541666666666667,0.0,11.0,9.533333333333333,2.0,24.049999999999983,6.870833333333334,0.0,19.0,32.74583333333333,10.0,57.0,6.870833333333334,0.0,19.0
28,29,3.5541666666666667,0.0,11.0,9.533333333333333,2.0,24.049999999999983,6.870833333333334,0.0,19.0,32.74583333333333,10.0,57.0,6.870833333333334,0.0,19.0
29,30,5.095833333333333,0.0,14.049999999999983,13.841666666666667,3.0,31.0,9.525,1.0,24.0,42.4125,17.0,71.09999999999997,9.525,1.0,24.0
30,31,8.120833333333334,1.0,20.049999999999983,20.825,6.0,40.04999999999998,14.495833333333334,3.0,33.0,53.28333333333333,24.950000000000003,82.14999999999995,14.495833333333334,3.0,33.0
31,32,9.508333333333333,1.0,21.099999999999966,23.441666666666666,7.0,44.04999999999998,16.65,4.950000000000001,36.04999999999998,56.80833333333333,28.0,88.0,16.65,4.950000000000001,36.04999999999998
32,33,9.508333333333333,1.0,21.099999999999966,23.441666666666666,7.0,44.04999999999998,16.65,4.950000000000001,36.04999999999998,56.80833333333333,28.0,88.0,16.65,4.950000000000001,36.04999999999998
33,34,9.141666666666667,1.0,21.049999999999983,23.333333333333332,7.0,45.0,16.675,4.0,36.0,57.291666666666664,28.0,88.04999999999998,16.675,4.0,36.0
34,35,8.783333333333333,1.0,22.0,23.208333333333332,7.0,43.099999999999966,15.55,4.0,35.0,57.391666666666666,27.0,87.04999999999998,15.55,4.0,35.0
35,36,8.783333333333333,1.0,22.0,23.208333333333332,7.0,43.099999999999966,15.55,4.0,35.0,57.391666666666666,27.0,87.04999999999998,15.55,4.0,35.0
36,37,6.458333333333333,0.0,18.0,18.725,5.950000000000001,38.04999999999998,13.1875,3.0,31.049999999999983,49.97083333333333,22.0,77.04999999999998,13.1875,3.0,31.049999999999983
37,38,5.208333333333333,0.0,16.0,14.966666666666667,3.0,31.099999999999966,9.695833333333333,1.950000000000001,22.0,43.59583333333333,17.950000000000003,71.0,9.695833333333333,1.950000000000001,22.0
38,39,5.208333333333333,0.0,16.0,14.966666666666667,3.0,31.099999999999966,9.695833333333333,1.950000000000001,22.0,43.59583333333333,17.950000000000003,71.0,9.695833333333333,1.950000000000001,22.0
39,40,5.0875,0.0,15.0,15.320833333333333,3.0,32.0,9.658333333333333,1.0,22.0,45.34583333333333,18.900000000000002,75.0,9.658333333333333,1.0,22.0
40,41,5.0875,0.0,15.0,15.320833333333333,3.0,32.0,9.658333333333333,1.0,22.0,45.34583333333333,18.900000000000002,75.0,9.658333333333333,1.0,22.0
41,42,4.979166666666667,0.0,15.0,14.620833333333334,3.0,31.049999999999983,8.995833333333334,1.0,22.0,43.4,17.900000000000002,73.0,8.995833333333334,1.0,22.0
42,43,4.345833333333333,0.0,15.0,13.483333333333333,2.950000000000001,30.049999999999983,8.016666666666667,0.0,20.0,41.11666666666667,15.0,72.0,8.016666666666667,0.0,20.0
43,44,3.9125,0.0,13.049999999999983,12.545833333333333,2.0,29.049999999999983,7.504166666666666,0.0,20.0,40.06666666666667,12.950000000000001,71.0,7.504166666666666,0.0,20.0
44,45,3.9125,0.0,13.049999999999983,12.545833333333333,2.0,29.049999999999983,7.504166666666666,0.0,20.0,40.06666666666667,12.950000000000001,71.0,7.504166666666666,0.0,20.0
45,46,4.579166666666667,0.0,15.0,13.6,2.950000000000001,29.14999999999995,8.4125,0.0,21.0,43.075,16.950000000000003,74.0,8.4125,0.0,21.0
46,47,4.729166666666667,0.0,15.0,15.183333333333334,3.0,31.099999999999966,9.145833333333334,1.0,23.0,45.104166666666664,18.900000000000002,75.0,9.145833333333334,1.0,23.0
47,48,4.729166666666667,0.0,15.0,15.183333333333334,3.0,31.099999999999966,9.145833333333334,1.0,23.0,45.104166666666664,18.900000000000002,75.0,9.145833333333334,1.0,23.0
48,49,5.758333333333334,0.0,16.0,17.058333333333334,4.0,35.0,10.775,2.0,25.0,48.983333333333334,20.950000000000003,78.0,10.775,2.0,25.0
49,50,5.5125,0.0,15.0,16.320833333333333,4.0,35.0,10.191666666666666,1.0,25.0,47.045833333333334,20.0,78.0,10.191666666666666,1.0,25.0
50,51,6.279166666666667,0.0,16.049999999999983,17.541666666666668,4.0,37.0,11.379166666666666,2.0,27.0,48.94583333333333,20.950000000000003,82.0,11.379166666666666,2.0,27.0
51,52,6.279166666666667,0.0,16.049999999999983,17.541666666666668,4.0,37.0,11.379166666666666,2.0,27.0,48.94583333333333,20.950000000000003,82.0,11.379166666666666,2.0,27.0
52,53,6.258333333333334,0.0,16.0,17.533333333333335,4.0,38.0,11.454166666666667,2.0,28.0,48.24166666666667,20.0,83.0,11.454166666666667,2.0,28.0
53,54,6.895833333333333,0.9500000000000011,18.049999999999983,18.891666666666666,5.0,40.099999999999966,12.333333333333334,2.0,29.0,50.475,22.0,83.0,12.333333333333334,2.0,29.0
54,55,6.895833333333333,0.9500000000000011,18.049999999999983,18.891666666666666,5.0,40.099999999999966,12.333333333333334,2.0,29.0,50.475,22.0,83.0,12.333333333333334,2.0,29.0
55,56,7.033333333333333,0.0,18.099999999999966,19.4125,5.0,41.0,12.6125,2.0,29.0,50.458333333333336,20.0,84.0,12.6125,2.0,29.0
56,57,7.4625,1.0,19.049999999999983,19.508333333333333,5.0,40.0,13.158333333333333,3.0,29.049999999999983,50.266666666666666,20.0,83.0,13.158333333333333,3.0,29.049999999999983
57,58,7.379166666666666,1.0,18.049999999999983,19.554166666666667,6.0,40.04999999999998,13.370833333333334,2.950000000000001,30.0,50.99166666666667,22.0,83.0,13.370833333333334,2.950000000000001,30.0
58,59,7.379166666666666,1.0,18.049999999999983,19.554166666666667,6.0,40.04999999999998,13.370833333333334,2.950000000000001,30.0,50.99166666666667,22.0,83.0,13.370833333333334,2.950000000000001,30.0
59,60,7.275,1.0,18.099999999999966,19.895833333333332,6.0,40.0,13.4375,2.950000000000001,30.0,52.354166666666664,23.0,83.0,13.4375,2.950000000000001,30.0
60,61,5.645833333333333,0.0,15.0,16.145833333333332,4.0,33.14999999999995,10.670833333333333,2.0,27.0,45.983333333333334,18.0,77.0,10.670833333333333,2.0,27.0
61,62,5.541666666666667,0.0,15.0,15.408333333333333,4.0,32.099999999999966,11.133333333333333,2.0,27.0,44.725,17.950000000000003,76.0,11.133333333333333,2.0,27.0
62,63,5.541666666666667,0.0,15.0,15.408333333333333,4.0,32.099999999999966,11.133333333333333,2.0,27.0,44.725,17.950000000000003,76.0,11.133333333333333,2.0,27.0
