,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,0.6208333333333333,0.0,4.0,6.733333333333333,0.0,20.0,1.9458333333333333,0.0,8.0,42.59166666666667,11.0,76.0,1.9458333333333333,0.0,8.0
1,2,0.6208333333333333,0.0,4.0,6.733333333333333,0.0,20.0,1.9458333333333333,0.0,8.0,42.59166666666667,11.0,76.0,1.9458333333333333,0.0,8.0
2,3,0.5875,0.0,3.0,6.383333333333334,0.0,20.0,1.7125,0.0,6.049999999999983,41.075,11.0,74.0,1.7125,0.0,6.049999999999983
3,4,0.5875,0.0,3.0,6.383333333333334,0.0,20.0,1.7125,0.0,6.049999999999983,41.075,11.0,74.0,1.7125,0.0,6.049999999999983
4,5,0.3333333333333333,0.0,2.0,5.1125,0.0,17.049999999999983,1.1833333333333333,0.0,5.049999999999983,36.425,8.950000000000001,69.04999999999998,1.1833333333333333,0.0,5.049999999999983
5,6,0.2833333333333333,0.0,2.0,4.091666666666667,0.0,14.049999999999983,0.8208333333333333,0.0,4.049999999999983,31.529166666666665,7.0,63.0,0.8208333333333333,0.0,4.049999999999983
6,7,0.2791666666666667,0.0,2.0,3.2625,0.0,13.0,0.6875,0.0,3.049999999999983,29.05,6.0,60.0,0.6875,0.0,3.049999999999983
7,8,0.2791666666666667,0.0,2.0,3.2625,0.0,13.0,0.6875,0.0,3.049999999999983,29.05,6.0,60.0,0.6875,0.0,3.049999999999983
8,9,0.25416666666666665,0.0,2.0,2.9583333333333335,0.0,11.049999999999983,0.6791666666666667,0.0,4.0,27.325,5.0,58.0,0.6791666666666667,0.0,4.0
9,10,0.4083333333333333,0.0,3.0,3.4541666666666666,0.0,13.0,0.8958333333333334,0.0,4.0,28.995833333333334,5.950000000000001,58.0,0.8958333333333334,0.0,4.0
10,11,0.4083333333333333,0.0,3.0,3.4541666666666666,0.0,13.0,0.8958333333333334,0.0,4.0,28.995833333333334,5.950000000000001,58.0,0.8958333333333334,0.0,4.0
11,12,0.6291666666666667,0.0,3.0,4.420833333333333,0.0,15.0,1.3833333333333333,0.0,6.0,32.454166666666666,8.0,61.19999999999993,1.3833333333333333,0.0,6.0
12,13,0.8125,0.0,4.0,4.954166666666667,0.0,17.0,1.7208333333333334,0.0,6.049999999999983,33.40416666666667,8.0,62.14999999999995,1.7208333333333334,0.0,6.049999999999983
13,14,0.7666666666666667,0.0,4.0,4.925,0.0,16.049999999999983,1.7708333333333333,0.0,7.0,33.5375,8.0,65.0,1.7708333333333333,0.0,7.0
14,15,0.7666666666666667,0.0,4.0,4.925,0.0,16.049999999999983,1.7708333333333333,0.0,7.0,33.5375,8.0,65.0,1.7708333333333333,0.0,7.0
15,16,0.5041666666666667,0.0,3.0,4.458333333333333,0.0,15.049999999999983,1.5666666666666667,0.0,6.0,31.7375,7.0,60.0,1.5666666666666667,0.0,6.0
16,17,0.4625,0.0,2.049999999999983,4.508333333333334,0.0,15.049999999999983,1.3375,0.0,6.0,32.44583333333333,7.0,62.0,1.3375,0.0,6.0
17,18,0.4625,0.0,2.049999999999983,4.508333333333334,0.0,15.049999999999983,1.3375,0.0,6.0,32.44583333333333,7.0,62.0,1.3375,0.0,6.0
18,19,0.48333333333333334,0.0,3.0,4.441666666666666,0.0,15.0,1.4833333333333334,0.0,6.049999999999983,32.1875,7.0,63.0,1.4833333333333334,0.0,6.049999999999983
19,20,0.7208333333333333,0.0,4.0,5.05,0.0,16.049999999999983,1.8458333333333334,0.0,8.0,33.47083333333333,8.0,63.0,1.8458333333333334,0.0,8.0
20,21,1.125,0.0,6.0,5.858333333333333,0.0,18.049999999999983,2.3625,0.0,9.0,36.2375,8.950000000000001,65.14999999999995,2.3625,0.0,9.0
21,22,1.125,0.0,6.0,5.858333333333333,0.0,18.049999999999983,2.3625,0.0,9.0,36.2375,8.950000000000001,65.14999999999995,2.3625,0.0,9.0
22,23,0.6125,0.0,3.0,5.695833333333334,0.0,17.049999999999983,1.4541666666666666,0.0,7.0,36.4125,9.950000000000001,66.0,1.4541666666666666,0.0,7.0
23,24,0.43333333333333335,0.0,2.0,4.745833333333334,0.0,14.049999999999983,0.6375,0.0,3.049999999999983,31.675,7.0,59.099999999999966,0.6375,0.0,3.049999999999983
