,index,ref,ref_p5,ref_p95,2050laag,2050laag_p5,2050laag_p95,2050hoog,2050hoog_p5,2050hoog_p95,2100laag,2100laag_p5,2100laag_p95,2100hoog,2100hoog_p5,2100hoog_p95
0,1,36.06666666666667,15.0,59.0,24.691666666666666,8.0,48.0,18.770833333333332,4.0,39.04999999999998,24.691666666666666,8.0,48.0,5.8,0.0,17.049999999999983
1,2,36.06666666666667,15.0,59.0,24.691666666666666,8.0,48.0,18.770833333333332,4.0,39.04999999999998,24.691666666666666,8.0,48.0,5.8,0.0,17.049999999999983
2,3,39.225,17.950000000000003,62.04999999999998,27.733333333333334,11.0,50.04999999999998,20.35,5.0,41.0,27.733333333333334,11.0,50.04999999999998,6.154166666666667,0.0,17.0
3,4,39.225,17.950000000000003,62.04999999999998,27.733333333333334,11.0,50.04999999999998,20.35,5.0,41.0,27.733333333333334,11.0,50.04999999999998,6.154166666666667,0.0,17.0
4,5,43.8625,20.0,68.0,32.00833333333333,14.0,57.0,23.145833333333332,7.0,44.0,32.00833333333333,14.0,57.0,7.55,0.0,20.0
5,6,51.05833333333333,27.900000000000002,76.0,39.9,19.950000000000003,65.0,28.670833333333334,10.0,51.099999999999966,39.9,19.950000000000003,65.0,10.0,1.0,24.0
6,7,59.875,33.95,86.0,48.479166666666664,26.0,74.04999999999998,36.275,15.950000000000001,61.0,48.479166666666664,26.0,74.04999999999998,12.845833333333333,1.0,28.049999999999983
7,8,59.875,33.95,86.0,48.479166666666664,26.0,74.04999999999998,36.275,15.950000000000001,61.0,48.479166666666664,26.0,74.04999999999998,12.845833333333333,1.0,28.049999999999983
8,9,63.13333333333333,36.95,89.0,51.725,28.0,78.0,38.18333333333333,17.0,63.0,51.725,28.0,78.0,13.7875,1.0,29.049999999999983
9,10,56.733333333333334,30.0,83.04999999999998,45.8625,25.0,72.0,32.979166666666664,14.0,56.04999999999998,45.8625,25.0,72.0,11.208333333333334,1.0,25.049999999999983
10,11,56.733333333333334,30.0,83.04999999999998,45.8625,25.0,72.0,32.979166666666664,14.0,56.04999999999998,45.8625,25.0,72.0,11.208333333333334,1.0,25.049999999999983
