,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,99.4875,72.0,125.0,131.92916666666667,108.0,155.0,117.9375,94.0,144.0,168.97083333333333,145.0,190.0,117.9375,94.0,144.0
1,2,99.4875,72.0,125.0,131.92916666666667,108.0,155.0,117.9375,94.0,144.0,168.97083333333333,145.0,190.0,117.9375,94.0,144.0
2,3,97.475,69.0,123.04999999999998,130.32916666666668,105.95,153.0,116.70833333333333,92.0,142.04999999999998,167.5125,142.95,189.0,116.70833333333333,92.0,142.04999999999998
3,4,97.475,69.0,123.04999999999998,130.32916666666668,105.95,153.0,116.70833333333333,92.0,142.04999999999998,167.5125,142.95,189.0,116.70833333333333,92.0,142.04999999999998
4,5,93.77916666666667,67.95,122.0,126.9625,101.9,149.04999999999998,112.74166666666666,86.95,139.0,164.66666666666666,139.0,187.0,112.74166666666666,86.95,139.0
5,6,87.60416666666667,60.95,116.0,120.04583333333333,92.0,144.09999999999997,105.3125,79.9,132.0,158.6125,133.0,182.0,105.3125,79.9,132.0
6,7,84.19166666666666,57.900000000000006,112.04999999999998,115.4375,86.0,143.0,101.47083333333333,72.95,130.04999999999998,153.88333333333333,124.95,177.0,101.47083333333333,72.95,130.04999999999998
7,8,84.19166666666666,57.900000000000006,112.04999999999998,115.4375,86.0,143.0,101.47083333333333,72.95,130.04999999999998,153.88333333333333,124.95,177.0,101.47083333333333,72.95,130.04999999999998
8,9,83.4375,56.95,112.04999999999998,114.39166666666667,85.95,142.0,100.84583333333333,71.95,128.14999999999995,152.8875,123.0,177.0,100.84583333333333,71.95,128.14999999999995
9,10,87.1125,60.800000000000004,115.04999999999998,119.50833333333334,90.0,147.0,105.59583333333333,77.95,132.19999999999993,157.65416666666667,131.0,181.04999999999998,105.59583333333333,77.95,132.19999999999993
10,11,87.1125,60.800000000000004,115.04999999999998,119.50833333333334,90.0,147.0,105.59583333333333,77.95,132.19999999999993,157.65416666666667,131.0,181.04999999999998,105.59583333333333,77.95,132.19999999999993
