,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,32.61666666666667,15.0,56.04999999999998,61.645833333333336,35.95,91.0,45.85,23.0,69.0,107.40416666666667,75.95,130.04999999999998,45.85,23.0,69.0
1,2,32.61666666666667,15.0,56.04999999999998,61.645833333333336,35.95,91.0,45.85,23.0,69.0,107.40416666666667,75.95,130.04999999999998,45.85,23.0,69.0
2,3,32.079166666666666,15.0,55.04999999999998,60.62083333333333,34.0,89.04999999999998,45.416666666666664,22.0,69.0,105.275,74.0,128.04999999999998,45.416666666666664,22.0,69.0
3,4,32.079166666666666,15.0,55.04999999999998,60.62083333333333,34.0,89.04999999999998,45.416666666666664,22.0,69.0,105.275,74.0,128.04999999999998,45.416666666666664,22.0,69.0
4,5,30.754166666666666,14.0,53.04999999999998,58.175,32.95,88.04999999999998,43.704166666666666,21.950000000000003,69.0,102.38333333333334,71.0,125.09999999999997,43.704166666666666,21.950000000000003,69.0
5,6,27.870833333333334,11.0,50.04999999999998,54.375,29.0,84.0,40.50416666666667,19.0,65.0,97.925,66.9,122.0,40.50416666666667,19.0,65.0
6,7,26.729166666666668,11.0,49.04999999999998,52.579166666666666,28.0,82.04999999999998,39.204166666666666,17.950000000000003,62.04999999999998,94.8,64.0,120.04999999999998,39.204166666666666,17.950000000000003,62.04999999999998
7,8,26.729166666666668,11.0,49.04999999999998,52.579166666666666,28.0,82.04999999999998,39.204166666666666,17.950000000000003,62.04999999999998,94.8,64.0,120.04999999999998,39.204166666666666,17.950000000000003,62.04999999999998
8,9,26.45,10.0,47.099999999999966,52.27916666666667,26.0,82.04999999999998,39.3875,17.950000000000003,62.04999999999998,94.05,62.0,120.0,39.3875,17.950000000000003,62.04999999999998
9,10,28.625,12.0,52.04999999999998,55.05416666666667,29.0,85.09999999999997,41.99166666666667,20.0,66.0,97.95833333333333,67.0,122.0,41.99166666666667,20.0,66.0
10,11,28.625,12.0,52.04999999999998,55.05416666666667,29.0,85.09999999999997,41.99166666666667,20.0,66.0,97.95833333333333,67.0,122.0,41.99166666666667,20.0,66.0
11,12,30.4,13.0,53.04999999999998,57.5125,32.0,87.04999999999998,43.875,20.950000000000003,68.0,101.075,70.0,125.04999999999998,43.875,20.950000000000003,68.0
12,13,31.6125,14.950000000000001,55.0,58.329166666666666,32.0,87.04999999999998,45.17916666666667,21.950000000000003,69.04999999999998,102.92083333333333,73.0,128.04999999999998,45.17916666666667,21.950000000000003,69.04999999999998
13,14,33.32083333333333,15.0,57.04999999999998,60.958333333333336,33.95,91.0,47.266666666666666,23.950000000000003,73.04999999999998,105.68333333333334,76.0,130.04999999999998,47.266666666666666,23.950000000000003,73.04999999999998
14,15,33.32083333333333,15.0,57.04999999999998,60.958333333333336,33.95,91.0,47.266666666666666,23.950000000000003,73.04999999999998,105.68333333333334,76.0,130.04999999999998,47.266666666666666,23.950000000000003,73.04999999999998
15,16,32.983333333333334,15.0,56.04999999999998,59.90416666666667,34.0,91.0,46.59583333333333,23.0,71.04999999999998,104.24583333333334,74.0,130.0,46.59583333333333,23.0,71.04999999999998
16,17,34.99166666666667,17.0,58.04999999999998,62.204166666666666,35.0,91.04999999999998,49.55,25.0,74.04999999999998,106.46666666666667,77.95,131.04999999999998,49.55,25.0,74.04999999999998
17,18,34.99166666666667,17.0,58.04999999999998,62.204166666666666,35.0,91.04999999999998,49.55,25.0,74.04999999999998,106.46666666666667,77.95,131.04999999999998,49.55,25.0,74.04999999999998
18,19,35.12916666666667,16.950000000000003,59.0,62.25833333333333,35.0,91.0,49.9125,25.0,74.04999999999998,106.43333333333334,77.0,132.0,49.9125,25.0,74.04999999999998
19,20,35.166666666666664,17.0,58.0,61.99166666666667,34.95,91.0,49.6625,25.950000000000003,74.04999999999998,106.475,76.0,131.0,49.6625,25.950000000000003,74.04999999999998
20,21,35.56666666666667,18.0,59.04999999999998,62.916666666666664,35.0,93.0,51.02916666666667,27.0,76.0,107.325,77.0,132.0,51.02916666666667,27.0,76.0
21,22,35.56666666666667,18.0,59.04999999999998,62.916666666666664,35.0,93.0,51.02916666666667,27.0,76.0,107.325,77.0,132.0,51.02916666666667,27.0,76.0
22,23,36.2875,18.0,59.04999999999998,63.07083333333333,36.0,93.0,51.375,28.0,76.09999999999997,107.50416666666666,77.0,133.09999999999997,51.375,28.0,76.09999999999997
23,24,30.6375,13.0,52.04999999999998,56.11666666666667,31.0,86.0,45.625,24.0,71.0,99.7375,69.0,126.0,45.625,24.0,71.0
24,25,30.079166666666666,12.0,51.0,55.15,30.0,84.0,45.8625,24.950000000000003,70.0,98.2875,68.0,124.04999999999998,45.8625,24.950000000000003,70.0
25,26,30.079166666666666,12.0,51.0,55.15,30.0,84.0,45.8625,24.950000000000003,70.0,98.2875,68.0,124.04999999999998,45.8625,24.950000000000003,70.0
