,index,ref,ref_p5,ref_p95,2050hoog,2050hoog_p5,2050hoog_p95,2050laag,2050laag_p5,2050laag_p95,2100hoog,2100hoog_p5,2100hoog_p95,2100laag,2100laag_p5,2100laag_p95
0,1,8.1375,3.0,19.0,16.016666666666666,7.0,31.0,11.245833333333334,4.0,22.0,47.329166666666666,16.0,83.19999999999993,11.245833333333334,4.0,22.0
1,2,8.1375,3.0,19.0,16.016666666666666,7.0,31.0,11.245833333333334,4.0,22.0,47.329166666666666,16.0,83.19999999999993,11.245833333333334,4.0,22.0
2,3,7.925,3.0,17.049999999999983,15.345833333333333,6.0,30.049999999999983,10.9125,4.0,22.0,43.266666666666666,13.950000000000001,79.0,10.9125,4.0,22.0
3,4,7.925,3.0,17.049999999999983,15.345833333333333,6.0,30.049999999999983,10.9125,4.0,22.0,43.266666666666666,13.950000000000001,79.0,10.9125,4.0,22.0
4,5,7.6125,3.0,16.0,14.529166666666667,6.0,29.0,10.408333333333333,4.0,19.049999999999983,39.954166666666666,12.0,75.0,10.408333333333333,4.0,19.049999999999983
5,6,7.108333333333333,3.0,15.0,13.2125,6.0,25.0,9.7625,4.0,19.0,35.3,11.0,68.0,9.7625,4.0,19.0
6,7,6.883333333333334,3.0,15.0,12.745833333333334,5.0,25.0,9.4875,3.950000000000001,19.0,30.829166666666666,10.0,65.0,9.4875,3.950000000000001,19.0
7,8,6.883333333333334,3.0,15.0,12.745833333333334,5.0,25.0,9.4875,3.950000000000001,19.0,30.829166666666666,10.0,65.0,9.4875,3.950000000000001,19.0
8,9,6.854166666666667,3.0,15.0,12.558333333333334,5.0,24.0,9.504166666666666,3.0,19.0,30.158333333333335,9.0,65.0,9.504166666666666,3.0,19.0
9,10,7.3,3.0,15.0,13.566666666666666,6.0,25.049999999999983,10.0,4.0,22.0,34.854166666666664,11.950000000000001,67.04999999999998,10.0,4.0,22.0
10,11,7.3,3.0,15.0,13.566666666666666,6.0,25.049999999999983,10.0,4.0,22.0,34.854166666666664,11.950000000000001,67.04999999999998,10.0,4.0,22.0
11,12,7.629166666666666,3.0,15.049999999999983,14.175,6.0,27.099999999999966,10.441666666666666,4.0,22.0,37.8875,12.0,72.09999999999997,10.441666666666666,4.0,22.0
