Titel;Indicatornaamtabel;Subtitel;kwantitatief / categoraal / multiline;Plot titel (enkel bij kwalitatief);Categorie;Tekst vraagteken;KEA;Link kaartverhaal;Bron;Kleur;Domein;Opmerking Arjen voor Daniël;klassenthresholds
Water depth during heavy rainfall;perc5_10mm,perc10_15mm,perc15_20mm,perc20_30mm,perc30mmME,percNODATA;Water depth during a heavy rainfall of 70 mm / 2 hours;Multiline;;Effects;These statistics show the water depth that occurs during a heavy summer rainstorm. The graphs display the percentage of an area per water depth class. Buildings, surface water, and areas with less than 5 mm are not shown with colored bars. The statistics are based on an equal sewer storage and discharge capacity and on the height map of 2012. This means that this information is not useful for areas developed or modified after 2012. Want to know more about the background of these statistics? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/waterdiepte-bij-kortdurende-hevige-neerslag;Klimaateffectatlas: Deltares / ROR (2018);#B6EEF0,#74B4E9,#2084E0,#1D45B8,#002674;5 - 10mm, 10 - 15mm, 15 - 20mm, 20 - 30mm, >30mm;;
Perceived temperature;F23_28perc,F29_34perc,F35_40perc,F41_49perc;Perceived temperature (°C) on a hot summer day;Multiline;;Effects;These percentages show how high the perceived temperature in outdoor spaces becomes on a hot summer day. Such a hot summer day occurs once every 5.5 years in the current climate. Especially neighborhoods with little shade and a lot of pavement heat up significantly. Want to know what these percentages are based on? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/hittekaart-gevoelstemperatuur;Klimaateffectatlas: Witteveen+Bos (2021);#954A86,#87E3F0,#FFF469,#DA2600;23 - 28°C, 29 - 34°C, 35 - 40°C, 41 - 49°C;Graag naast de vier oppervlakte ook het percentage oppervalkte zonder hittestress data toevoegen,dit zit in attribuut NDPETperc;
Current groundwater level;GLGHuidigMean;Current groundwater level (meters below ground level);Kwantitatief;Meters below ground level;Effects;These statistics show the Average Lowest Groundwater Level (GLG) for the current climate. The numbers show the number of meters below ground level. The GLG is modeled with the National Water Model. The maps provide a rough overview and are therefore intended only as an indication.;ja;https://www.klimaateffectatlas.nl/nl/laagste-grondwaterstanden;Klimaateffectatlas: NWM (2019);#CBCBCB,#a0b7c7,steelblue;;;
Groundwater level 2050 high;GLG2050HoogMean;Difference in groundwater level now - 2050 High (meters);Kwantitatief;Difference in m;Effects;These statistics show how the Average Lowest Groundwater Level (GLG) changes between now and 2050 under severe climate change. The numbers show the number of meters below ground level. The GLG is modeled with the National Water Model. The maps provide a rough overview and are therefore intended only as an indication.;ja;https://www.klimaateffectatlas.nl/nl/laagste-grondwaterstanden;Klimaateffectatlas: NWM (2019);#CBCBCB,#a0b7c7,steelblue;;;
Risk of pile rot current;Paal_Huidig;Risk of post rot in the current climate;categoraal;;Effects;These statistics show the risks of pile rot in the current climate. The risk is calculated by combining the percentage of buildings with wooden piles at a location with the susceptibility of that location to pile rot. Want to know more about the background of these statistics? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/risicokaarten-funderingen;Klimaateffectatlas: Deltares (2021);#333333,#CCCCCC,#FEFEBB,#D0B867,#A26B29,#742600;No data, Very low, Low, Medium, High, Very high;Let op: gebieden met een 0 waarde moeten niet in geen data,maar in zeer laag;0,0.8,3,6,15,10000
Risk of pile rot 2050 high;Paalrot_2050_Hoog;Risk of post rot in 2050 (high scenario);categoraal;;Effects;These statistics show what the risks of pile rot will be in 2050 if the climate changes drastically. Due to changes in groundwater levels, the risk of pile rot may change. The risk is calculated by combining the percentage of buildings with wooden piles at a location with the susceptibility of that location to pile rot. Want to know more about the background of these statistics? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/risicokaarten-funderingen;Klimaateffectatlas: Deltares (2021);#333333,#CCCCCC,#FEFEBB,#D0B867,#A26B29,#742600;No data, Very low, Low, Medium, High, Very high;Let op: gebieden met een 0 waarde moeten niet in geen data,maar in zeer laag;0,0.8,3,6,15,10000
Risk of differential settlement 2050H;Verschilzetting_2050_Hoog;Risk of differential settlement in 2050 (high scenario);categoraal;;Effects;These statistics show the risks for differential settlement in 2050 under severe climate change. The risk is calculated by combining the percentage of buildings on shallow foundations at a location with the susceptibility of that location to differential settlement. Want to know more about the background of these statistics? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/risicokaarten-funderingen;Klimaateffectatlas: Deltares (2021);#333333,#CCCCCC,#B3CEE3,#8D96C6,#8857A8,#810F7C;No data, Very low, Low, Moderate, High, Very high;Let op: gebieden met een 0 waarde moeten niet in geen data,maar in zeer laag;0,1.0,5.0,10.0,25.0,10000
Shade on walking and cycling paths;P_schaduw_fw;Percentage of shade on walking and cycling paths;Kwantitatief;% shade;Area characteristics;These statistics show the percentage of shade on walking and cycling paths. The shade map is based on the shade on June 21 at 3:30 PM, as this is the longest day of the year with the shortest shadows. The Green Climate Adaptive Urban Environment Scale sets a target of 30% shade at the neighborhood level. The cycling and walking paths are taken from the Large-scale Topographic Base Map. Want more information about these statistics? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/schaduw-op-wandel-en-fietspaden;Klimaateffectatlas: Cobra Groeninzicht (2024);#AB815A,#E2C78F,#F3E4C1,#DCE9E4,#87C8C1,#528F8A;;Arjen verwerkt opmerkingen gebruikersgroep in kaartverhaal;
Green/Gray/Blue;perc_laaggroen,perc_boom,perc_nietgroen,perc_water;Percentage of green, gray, and blue areas, excluding agricultural land;Multiline;;Area characteristics;These statistics show the percentage of an area that consists of trees, low vegetation, pavement (gray), and water. The results are based on the Green and Gray Base Map. Aerial photos were used to differentiate between low vegetation, trees, and pavement (gray). Agricultural areas were not included in the analysis. Want to know more about the background of these statistics? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#63995C,#9DC182,#CBCBCB,#5b93e1;Tree, Low Vegetation, Gray, Water;Graag naast de vier oppervlaktes ook Agrarisch toevoegen en tonen zoals bij waterdiepte. Berekenen agrarisch = is totaal oppervlakte buurt - (som deze 4 indicatoren) Agrarisch = buurt_opp_incl_agrarisch - m2LaagGroen_excl_agrarisch - m2Boom_excl_agrarisch - m2Grijs_excl_agrarisch - m2Water;
Percentage of green;perc_groen_zonder_agr;Percentage of green areas, excluding agricultural land;Kwantitatief;% green;Area characteristics;These statistics show the total amount of green (low vegetation and trees) per area. The results are based on the Green and Gray Base Map. Agricultural areas were not included in the analysis. Want to know more about the background of these statistics? Then go to the map story.;ja;https://www.klimaateffectatlas.nl/nl/basiskaart-groen-en-grijs;Klimaateffectatlas: Cobra Groeninzicht (2021);#CBCBCB,#9DC182,#63995C;;Percentage groen =  (m2Groen_excl_agrarisch / 100) * buurt_opp_zonderagr;
